year,value,variable,country,unit,transform_id
1957,0.85,fx_usdjpy_pctrank,jp,pct_rank,H3-PCTRANK-jp-fx_usdjpy
1958,0.85,fx_usdjpy_pctrank,jp,pct_rank,H3-PCTRANK-jp-fx_usdjpy
1959,0.8857142857142857,fx_usdjpy_pctrank,jp,pct_rank,H3-PCTRANK-jp-fx_usdjpy
1960,0.8714285714285714,fx_usdjpy_pctrank,jp,pct_rank,H3-PCTRANK-jp-fx_usdjpy
1961,0.9285714285714286,fx_usdjpy_pctrank,jp,pct_rank,H3-PCTRANK-jp-fx_usdjpy
1962,0.9142857142857143,fx_usdjpy_pctrank,jp,pct_rank,H3-PCTRANK-jp-fx_usdjpy
1963,0.9428571428571428,fx_usdjpy_pctrank,jp,pct_rank,H3-PCTRANK-jp-fx_usdjpy
1964,0.9714285714285714,fx_usdjpy_pctrank,jp,pct_rank,H3-PCTRANK-jp-fx_usdjpy
1965,0.9571428571428572,fx_usdjpy_pctrank,jp,pct_rank,H3-PCTRANK-jp-fx_usdjpy
1966,1.0,fx_usdjpy_pctrank,jp,pct_rank,H3-PCTRANK-jp-fx_usdjpy
1967,0.9857142857142858,fx_usdjpy_pctrank,jp,pct_rank,H3-PCTRANK-jp-fx_usdjpy
1968,0.9,fx_usdjpy_pctrank,jp,pct_rank,H3-PCTRANK-jp-fx_usdjpy
1969,0.8285714285714286,fx_usdjpy_pctrank,jp,pct_rank,H3-PCTRANK-jp-fx_usdjpy
1970,0.8142857142857143,fx_usdjpy_pctrank,jp,pct_rank,H3-PCTRANK-jp-fx_usdjpy
1971,0.8,fx_usdjpy_pctrank,jp,pct_rank,H3-PCTRANK-jp-fx_usdjpy
1972,0.7857142857142857,fx_usdjpy_pctrank,jp,pct_rank,H3-PCTRANK-jp-fx_usdjpy
1973,0.7285714285714285,fx_usdjpy_pctrank,jp,pct_rank,H3-PCTRANK-jp-fx_usdjpy
1974,0.7428571428571429,fx_usdjpy_pctrank,jp,pct_rank,H3-PCTRANK-jp-fx_usdjpy
1975,0.7714285714285715,fx_usdjpy_pctrank,jp,pct_rank,H3-PCTRANK-jp-fx_usdjpy
1976,0.7571428571428571,fx_usdjpy_pctrank,jp,pct_rank,H3-PCTRANK-jp-fx_usdjpy
1977,0.7142857142857143,fx_usdjpy_pctrank,jp,pct_rank,H3-PCTRANK-jp-fx_usdjpy
1978,0.6,fx_usdjpy_pctrank,jp,pct_rank,H3-PCTRANK-jp-fx_usdjpy
1979,0.6142857142857143,fx_usdjpy_pctrank,jp,pct_rank,H3-PCTRANK-jp-fx_usdjpy
1980,0.6428571428571429,fx_usdjpy_pctrank,jp,pct_rank,H3-PCTRANK-jp-fx_usdjpy
1981,0.6285714285714286,fx_usdjpy_pctrank,jp,pct_rank,H3-PCTRANK-jp-fx_usdjpy
1982,0.7,fx_usdjpy_pctrank,jp,pct_rank,H3-PCTRANK-jp-fx_usdjpy
1983,0.6571428571428571,fx_usdjpy_pctrank,jp,pct_rank,H3-PCTRANK-jp-fx_usdjpy
1984,0.6714285714285714,fx_usdjpy_pctrank,jp,pct_rank,H3-PCTRANK-jp-fx_usdjpy
1985,0.6857142857142857,fx_usdjpy_pctrank,jp,pct_rank,H3-PCTRANK-jp-fx_usdjpy
1986,0.5857142857142857,fx_usdjpy_pctrank,jp,pct_rank,H3-PCTRANK-jp-fx_usdjpy
1987,0.5142857142857142,fx_usdjpy_pctrank,jp,pct_rank,H3-PCTRANK-jp-fx_usdjpy
1988,0.42857142857142855,fx_usdjpy_pctrank,jp,pct_rank,H3-PCTRANK-jp-fx_usdjpy
1989,0.4857142857142857,fx_usdjpy_pctrank,jp,pct_rank,H3-PCTRANK-jp-fx_usdjpy
