year,value,variable,country,unit,transform_id
1957,3.4360374311998627,fx_usdjpy_robustz,jp,robust_z,H3-ROBUSTZ-jp-fx_usdjpy
1958,3.4360374311998627,fx_usdjpy_robustz,jp,robust_z,H3-ROBUSTZ-jp-fx_usdjpy
1959,3.437921958136665,fx_usdjpy_robustz,jp,robust_z,H3-ROBUSTZ-jp-fx_usdjpy
1960,3.4371048905644024,fx_usdjpy_robustz,jp,robust_z,H3-ROBUSTZ-jp-fx_usdjpy
1961,3.4567145129576415,fx_usdjpy_robustz,jp,robust_z,H3-ROBUSTZ-jp-fx_usdjpy
1962,3.4515353583264714,fx_usdjpy_robustz,jp,robust_z,H3-ROBUSTZ-jp-fx_usdjpy
1963,3.4619068455007556,fx_usdjpy_robustz,jp,robust_z,H3-ROBUSTZ-jp-fx_usdjpy
1964,3.469734879698577,fx_usdjpy_robustz,jp,robust_z,H3-ROBUSTZ-jp-fx_usdjpy
1965,3.462170415732118,fx_usdjpy_robustz,jp,robust_z,H3-ROBUSTZ-jp-fx_usdjpy
1966,3.475731102033797,fx_usdjpy_robustz,jp,robust_z,H3-ROBUSTZ-jp-fx_usdjpy
1967,3.472581438355445,fx_usdjpy_robustz,jp,robust_z,H3-ROBUSTZ-jp-fx_usdjpy
1968,3.4473445922935397,fx_usdjpy_robustz,jp,robust_z,H3-ROBUSTZ-jp-fx_usdjpy
1969,3.4127773619390753,fx_usdjpy_robustz,jp,robust_z,H3-ROBUSTZ-jp-fx_usdjpy
1970,3.4094036633466214,fx_usdjpy_robustz,jp,robust_z,H3-ROBUSTZ-jp-fx_usdjpy
1971,3.2637211516448583,fx_usdjpy_robustz,jp,robust_z,H3-ROBUSTZ-jp-fx_usdjpy
1972,2.6162513754303327,fx_usdjpy_robustz,jp,robust_z,H3-ROBUSTZ-jp-fx_usdjpy
1973,2.03889627915635,fx_usdjpy_robustz,jp,robust_z,H3-ROBUSTZ-jp-fx_usdjpy
1974,2.3598757266846295,fx_usdjpy_robustz,jp,robust_z,H3-ROBUSTZ-jp-fx_usdjpy
1975,2.43941523430789,fx_usdjpy_robustz,jp,robust_z,H3-ROBUSTZ-jp-fx_usdjpy
1976,2.4349434765330233,fx_usdjpy_robustz,jp,robust_z,H3-ROBUSTZ-jp-fx_usdjpy
1977,1.9912117514536165,fx_usdjpy_robustz,jp,robust_z,H3-ROBUSTZ-jp-fx_usdjpy
1978,1.073385305591166,fx_usdjpy_robustz,jp,robust_z,H3-ROBUSTZ-jp-fx_usdjpy
1979,1.2119038412967966,fx_usdjpy_robustz,jp,robust_z,H3-ROBUSTZ-jp-fx_usdjpy
1980,1.3304934270172606,fx_usdjpy_robustz,jp,robust_z,H3-ROBUSTZ-jp-fx_usdjpy
1981,1.233958055307354,fx_usdjpy_robustz,jp,robust_z,H3-ROBUSTZ-jp-fx_usdjpy
1982,1.684426260821862,fx_usdjpy_robustz,jp,robust_z,H3-ROBUSTZ-jp-fx_usdjpy
1983,1.5009827611907063,fx_usdjpy_robustz,jp,robust_z,H3-ROBUSTZ-jp-fx_usdjpy
1984,1.5021920646751012,fx_usdjpy_robustz,jp,robust_z,H3-ROBUSTZ-jp-fx_usdjpy
1985,1.5191064962115297,fx_usdjpy_robustz,jp,robust_z,H3-ROBUSTZ-jp-fx_usdjpy
1986,0.4104620335321339,fx_usdjpy_robustz,jp,robust_z,H3-ROBUSTZ-jp-fx_usdjpy
1987,0.032544772702498975,fx_usdjpy_robustz,jp,robust_z,H3-ROBUSTZ-jp-fx_usdjpy
1988,-0.2281919856955396,fx_usdjpy_robustz,jp,robust_z,H3-ROBUSTZ-jp-fx_usdjpy
1989,-0.0725853586789159,fx_usdjpy_robustz,jp,robust_z,H3-ROBUSTZ-jp-fx_usdjpy
1990,0.035289256750520095,fx_usdjpy_robustz,jp,robust_z,H3-ROBUSTZ-jp-fx_usdjpy
1991,-0.12758605675439447,fx_usdjpy_robustz,jp,robust_z,H3-ROBUSTZ-jp-fx_usdjpy
1992,-0.2513062663936324,fx_usdjpy_robustz,jp,robust_z,H3-ROBUSTZ-jp-fx_usdjpy
1993,-0.4963867245016655,fx_usdjpy_robustz,jp,robust_z,H3-ROBUSTZ-jp-fx_usdjpy
1994,-0.6378768035985182,fx_usdjpy_robustz,jp,robust_z,H3-ROBUSTZ-jp-fx_usdjpy
1995,-0.7669716001813375,fx_usdjpy_robustz,jp,robust_z,H3-ROBUSTZ-jp-fx_usdjpy
1996,-0.5336847725325021,fx_usdjpy_robustz,jp,robust_z,H3-ROBUSTZ-jp-fx_usdjpy
1997,-0.34107418124996036,fx_usdjpy_robustz,jp,robust_z,H3-ROBUSTZ-jp-fx_usdjpy
1998,-0.18454562682647846,fx_usdjpy_robustz,jp,robust_z,H3-ROBUSTZ-jp-fx_usdjpy
1999,-0.45349099045848623,fx_usdjpy_robustz,jp,robust_z,H3-ROBUSTZ-jp-fx_usdjpy
2000,-0.5492194477921002,fx_usdjpy_robustz,jp,robust_z,H3-ROBUSTZ-jp-fx_usdjpy
2001,-0.3333688045993266,fx_usdjpy_robustz,jp,robust_z,H3-ROBUSTZ-jp-fx_usdjpy
2002,-0.2737310102482421,fx_usdjpy_robustz,jp,robust_z,H3-ROBUSTZ-jp-fx_usdjpy
2003,-0.4210981672143899,fx_usdjpy_robustz,jp,robust_z,H3-ROBUSTZ-jp-fx_usdjpy
2004,-0.5442823964786322,fx_usdjpy_robustz,jp,robust_z,H3-ROBUSTZ-jp-fx_usdjpy
2005,-0.5128687085282772,fx_usdjpy_robustz,jp,robust_z,H3-ROBUSTZ-jp-fx_usdjpy
2006,-0.41448700703756675,fx_usdjpy_robustz,jp,robust_z,H3-ROBUSTZ-jp-fx_usdjpy
2007,-0.3923354622749571,fx_usdjpy_robustz,jp,robust_z,H3-ROBUSTZ-jp-fx_usdjpy
2008,-0.6195387686870985,fx_usdjpy_robustz,jp,robust_z,H3-ROBUSTZ-jp-fx_usdjpy
2009,-0.7747813203591135,fx_usdjpy_robustz,jp,robust_z,H3-ROBUSTZ-jp-fx_usdjpy
2010,-0.8666765189109168,fx_usdjpy_robustz,jp,robust_z,H3-ROBUSTZ-jp-fx_usdjpy
2011,-0.9940431284977598,fx_usdjpy_robustz,jp,robust_z,H3-ROBUSTZ-jp-fx_usdjpy
2012,-0.9923538027695488,fx_usdjpy_robustz,jp,robust_z,H3-ROBUSTZ-jp-fx_usdjpy
2013,-0.7111047153546723,fx_usdjpy_robustz,jp,robust_z,H3-ROBUSTZ-jp-fx_usdjpy
2014,-0.5806458518420587,fx_usdjpy_robustz,jp,robust_z,H3-ROBUSTZ-jp-fx_usdjpy
2015,-0.34098356557902865,fx_usdjpy_robustz,jp,robust_z,H3-ROBUSTZ-jp-fx_usdjpy
2016,-0.5339113958611292,fx_usdjpy_robustz,jp,robust_z,H3-ROBUSTZ-jp-fx_usdjpy
2017,-0.4804535970258138,fx_usdjpy_robustz,jp,robust_z,H3-ROBUSTZ-jp-fx_usdjpy
2018,-0.5080534818472009,fx_usdjpy_robustz,jp,robust_z,H3-ROBUSTZ-jp-fx_usdjpy
2019,-0.5300660595349362,fx_usdjpy_robustz,jp,robust_z,H3-ROBUSTZ-jp-fx_usdjpy
2020,-0.566177351018558,fx_usdjpy_robustz,jp,robust_z,H3-ROBUSTZ-jp-fx_usdjpy
2021,-0.5186890326632546,fx_usdjpy_robustz,jp,robust_z,H3-ROBUSTZ-jp-fx_usdjpy
2022,-0.17610391476743514,fx_usdjpy_robustz,jp,robust_z,H3-ROBUSTZ-jp-fx_usdjpy
2023,-0.032544772702498975,fx_usdjpy_robustz,jp,robust_z,H3-ROBUSTZ-jp-fx_usdjpy
2024,0.1403624232355522,fx_usdjpy_robustz,jp,robust_z,H3-ROBUSTZ-jp-fx_usdjpy
2025,0.11229812165754927,fx_usdjpy_robustz,jp,robust_z,H3-ROBUSTZ-jp-fx_usdjpy
2026,0.25568036600916955,fx_usdjpy_robustz,jp,robust_z,H3-ROBUSTZ-jp-fx_usdjpy
