year,value,variable,country,unit,transform_id
1955,,gdp_deflator_yoy_robustz,jp,robust_z,H3-PRE-jp-gdp_deflator_yoy-YOY+ROBUSTZ
1956,0.0709188045248346,gdp_deflator_yoy_robustz,jp,robust_z,H3-PRE-jp-gdp_deflator_yoy-YOY+ROBUSTZ
1957,0.6744907594765952,gdp_deflator_yoy_robustz,jp,robust_z,H3-PRE-jp-gdp_deflator_yoy-YOY+ROBUSTZ
1958,-1.2412160050082615,gdp_deflator_yoy_robustz,jp,robust_z,H3-PRE-jp-gdp_deflator_yoy-YOY+ROBUSTZ
1959,0.0,gdp_deflator_yoy_robustz,jp,robust_z,H3-PRE-jp-gdp_deflator_yoy-YOY+ROBUSTZ
1960,0.8057978147188525,gdp_deflator_yoy_robustz,jp,robust_z,H3-PRE-jp-gdp_deflator_yoy-YOY+ROBUSTZ
1961,0.9809197802932913,gdp_deflator_yoy_robustz,jp,robust_z,H3-PRE-jp-gdp_deflator_yoy-YOY+ROBUSTZ
1962,0.004595055462362079,gdp_deflator_yoy_robustz,jp,robust_z,H3-PRE-jp-gdp_deflator_yoy-YOY+ROBUSTZ
1963,0.20322599952258966,gdp_deflator_yoy_robustz,jp,robust_z,H3-PRE-jp-gdp_deflator_yoy-YOY+ROBUSTZ
1964,0.3697778742682488,gdp_deflator_yoy_robustz,jp,robust_z,H3-PRE-jp-gdp_deflator_yoy-YOY+ROBUSTZ
1965,0.22503272543455383,gdp_deflator_yoy_robustz,jp,robust_z,H3-PRE-jp-gdp_deflator_yoy-YOY+ROBUSTZ
1966,0.2418261393030179,gdp_deflator_yoy_robustz,jp,robust_z,H3-PRE-jp-gdp_deflator_yoy-YOY+ROBUSTZ
1967,0.2845811568596279,gdp_deflator_yoy_robustz,jp,robust_z,H3-PRE-jp-gdp_deflator_yoy-YOY+ROBUSTZ
1968,0.37808161492268066,gdp_deflator_yoy_robustz,jp,robust_z,H3-PRE-jp-gdp_deflator_yoy-YOY+ROBUSTZ
1969,0.1254127386771033,gdp_deflator_yoy_robustz,jp,robust_z,H3-PRE-jp-gdp_deflator_yoy-YOY+ROBUSTZ
1970,0.6710165569553914,gdp_deflator_yoy_robustz,jp,robust_z,H3-PRE-jp-gdp_deflator_yoy-YOY+ROBUSTZ
1971,0.2590741627981536,gdp_deflator_yoy_robustz,jp,robust_z,H3-PRE-jp-gdp_deflator_yoy-YOY+ROBUSTZ
1972,0.31524664516934175,gdp_deflator_yoy_robustz,jp,robust_z,H3-PRE-jp-gdp_deflator_yoy-YOY+ROBUSTZ
1973,2.3047226677605184,gdp_deflator_yoy_robustz,jp,robust_z,H3-PRE-jp-gdp_deflator_yoy-YOY+ROBUSTZ
1974,4.575148164453327,gdp_deflator_yoy_robustz,jp,robust_z,H3-PRE-jp-gdp_deflator_yoy-YOY+ROBUSTZ
1975,0.7560452561727301,gdp_deflator_yoy_robustz,jp,robust_z,H3-PRE-jp-gdp_deflator_yoy-YOY+ROBUSTZ
1976,0.9886737481986574,gdp_deflator_yoy_robustz,jp,robust_z,H3-PRE-jp-gdp_deflator_yoy-YOY+ROBUSTZ
1977,0.635971292366646,gdp_deflator_yoy_robustz,jp,robust_z,H3-PRE-jp-gdp_deflator_yoy-YOY+ROBUSTZ
1978,0.03502642984182164,gdp_deflator_yoy_robustz,jp,robust_z,H3-PRE-jp-gdp_deflator_yoy-YOY+ROBUSTZ
1979,-0.4838532326287096,gdp_deflator_yoy_robustz,jp,robust_z,H3-PRE-jp-gdp_deflator_yoy-YOY+ROBUSTZ
1980,0.26869801134942845,gdp_deflator_yoy_robustz,jp,robust_z,H3-PRE-jp-gdp_deflator_yoy-YOY+ROBUSTZ
1981,-0.10463685636603677,gdp_deflator_yoy_robustz,jp,robust_z,H3-PRE-jp-gdp_deflator_yoy-YOY+ROBUSTZ
1982,-0.7540894966122709,gdp_deflator_yoy_robustz,jp,robust_z,H3-PRE-jp-gdp_deflator_yoy-YOY+ROBUSTZ
1983,-0.7606937788211601,gdp_deflator_yoy_robustz,jp,robust_z,H3-PRE-jp-gdp_deflator_yoy-YOY+ROBUSTZ
1984,-0.5143762405999438,gdp_deflator_yoy_robustz,jp,robust_z,H3-PRE-jp-gdp_deflator_yoy-YOY+ROBUSTZ
1985,-0.6619371335310374,gdp_deflator_yoy_robustz,jp,robust_z,H3-PRE-jp-gdp_deflator_yoy-YOY+ROBUSTZ
1986,-0.7652087163251714,gdp_deflator_yoy_robustz,jp,robust_z,H3-PRE-jp-gdp_deflator_yoy-YOY+ROBUSTZ
1987,-1.2265744091332418,gdp_deflator_yoy_robustz,jp,robust_z,H3-PRE-jp-gdp_deflator_yoy-YOY+ROBUSTZ
