year,value,variable,country,unit,transform_id
1955,0.021739130434782608,investment_gdp_pctrank,jp,pct_rank,H3-PCTRANK-jp-investment_gdp
1956,0.043478260869565216,investment_gdp_pctrank,jp,pct_rank,H3-PCTRANK-jp-investment_gdp
1957,0.13043478260869565,investment_gdp_pctrank,jp,pct_rank,H3-PCTRANK-jp-investment_gdp
1958,0.06521739130434782,investment_gdp_pctrank,jp,pct_rank,H3-PCTRANK-jp-investment_gdp
1959,0.08695652173913043,investment_gdp_pctrank,jp,pct_rank,H3-PCTRANK-jp-investment_gdp
1960,0.3695652173913043,investment_gdp_pctrank,jp,pct_rank,H3-PCTRANK-jp-investment_gdp
1961,0.782608695652174,investment_gdp_pctrank,jp,pct_rank,H3-PCTRANK-jp-investment_gdp
1962,0.8260869565217391,investment_gdp_pctrank,jp,pct_rank,H3-PCTRANK-jp-investment_gdp
1963,0.6956521739130435,investment_gdp_pctrank,jp,pct_rank,H3-PCTRANK-jp-investment_gdp
1964,0.7391304347826086,investment_gdp_pctrank,jp,pct_rank,H3-PCTRANK-jp-investment_gdp
1965,0.4782608695652174,investment_gdp_pctrank,jp,pct_rank,H3-PCTRANK-jp-investment_gdp
1966,0.5217391304347826,investment_gdp_pctrank,jp,pct_rank,H3-PCTRANK-jp-investment_gdp
1967,0.8043478260869565,investment_gdp_pctrank,jp,pct_rank,H3-PCTRANK-jp-investment_gdp
1968,0.8695652173913043,investment_gdp_pctrank,jp,pct_rank,H3-PCTRANK-jp-investment_gdp
1969,0.9347826086956522,investment_gdp_pctrank,jp,pct_rank,H3-PCTRANK-jp-investment_gdp
1970,0.9782608695652174,investment_gdp_pctrank,jp,pct_rank,H3-PCTRANK-jp-investment_gdp
1971,0.9130434782608695,investment_gdp_pctrank,jp,pct_rank,H3-PCTRANK-jp-investment_gdp
1972,0.8913043478260869,investment_gdp_pctrank,jp,pct_rank,H3-PCTRANK-jp-investment_gdp
1973,1.0,investment_gdp_pctrank,jp,pct_rank,H3-PCTRANK-jp-investment_gdp
1974,0.9565217391304348,investment_gdp_pctrank,jp,pct_rank,H3-PCTRANK-jp-investment_gdp
1975,0.8478260869565217,investment_gdp_pctrank,jp,pct_rank,H3-PCTRANK-jp-investment_gdp
1976,0.6304347826086957,investment_gdp_pctrank,jp,pct_rank,H3-PCTRANK-jp-investment_gdp
1977,0.5,investment_gdp_pctrank,jp,pct_rank,H3-PCTRANK-jp-investment_gdp
1978,0.5434782608695652,investment_gdp_pctrank,jp,pct_rank,H3-PCTRANK-jp-investment_gdp
1979,0.717391304347826,investment_gdp_pctrank,jp,pct_rank,H3-PCTRANK-jp-investment_gdp
1980,0.6739130434782609,investment_gdp_pctrank,jp,pct_rank,H3-PCTRANK-jp-investment_gdp
1981,0.6086956521739131,investment_gdp_pctrank,jp,pct_rank,H3-PCTRANK-jp-investment_gdp
1982,0.391304347826087,investment_gdp_pctrank,jp,pct_rank,H3-PCTRANK-jp-investment_gdp
1983,0.2608695652173913,investment_gdp_pctrank,jp,pct_rank,H3-PCTRANK-jp-investment_gdp
1984,0.2391304347826087,investment_gdp_pctrank,jp,pct_rank,H3-PCTRANK-jp-investment_gdp
1985,0.21739130434782608,investment_gdp_pctrank,jp,pct_rank,H3-PCTRANK-jp-investment_gdp
1986,0.1956521739130435,investment_gdp_pctrank,jp,pct_rank,H3-PCTRANK-jp-investment_gdp
1987,0.2826086956521739,investment_gdp_pctrank,jp,pct_rank,H3-PCTRANK-jp-investment_gdp
1988,0.45652173913043476,investment_gdp_pctrank,jp,pct_rank,H3-PCTRANK-jp-investment_gdp
1989,0.5869565217391305,investment_gdp_pctrank,jp,pct_rank,H3-PCTRANK-jp-investment_gdp
1990,0.7608695652173914,investment_gdp_pctrank,jp,pct_rank,H3-PCTRANK-jp-investment_gdp
1991,0.6521739130434783,investment_gdp_pctrank,jp,pct_rank,H3-PCTRANK-jp-investment_gdp
1992,0.5652173913043478,investment_gdp_pctrank,jp,pct_rank,H3-PCTRANK-jp-investment_gdp
1993,0.43478260869565216,investment_gdp_pctrank,jp,pct_rank,H3-PCTRANK-jp-investment_gdp
1994,0.34782608695652173,investment_gdp_pctrank,jp,pct_rank,H3-PCTRANK-jp-investment_gdp
1995,0.30434782608695654,investment_gdp_pctrank,jp,pct_rank,H3-PCTRANK-jp-investment_gdp
1996,0.41304347826086957,investment_gdp_pctrank,jp,pct_rank,H3-PCTRANK-jp-investment_gdp
1997,0.32608695652173914,investment_gdp_pctrank,jp,pct_rank,H3-PCTRANK-jp-investment_gdp
1998,0.17391304347826086,investment_gdp_pctrank,jp,pct_rank,H3-PCTRANK-jp-investment_gdp
1999,0.15217391304347827,investment_gdp_pctrank,jp,pct_rank,H3-PCTRANK-jp-investment_gdp
2000,0.10869565217391304,investment_gdp_pctrank,jp,pct_rank,H3-PCTRANK-jp-investment_gdp
