year,value,variable,country,unit,transform_id
1955,-4.207727353147228,investment_gdp_robustz,jp,robust_z,H3-ROBUSTZ-jp-investment_gdp
1956,-2.8854702570361304,investment_gdp_robustz,jp,robust_z,H3-ROBUSTZ-jp-investment_gdp
1957,-1.7375446510819892,investment_gdp_robustz,jp,robust_z,H3-ROBUSTZ-jp-investment_gdp
1958,-2.0914930773695386,investment_gdp_robustz,jp,robust_z,H3-ROBUSTZ-jp-investment_gdp
1959,-1.8040186770482807,investment_gdp_robustz,jp,robust_z,H3-ROBUSTZ-jp-investment_gdp
1960,-0.4894814712948678,investment_gdp_robustz,jp,robust_z,H3-ROBUSTZ-jp-investment_gdp
1961,0.6495564675390955,investment_gdp_robustz,jp,robust_z,H3-ROBUSTZ-jp-investment_gdp
1962,0.7685879975265392,investment_gdp_robustz,jp,robust_z,H3-ROBUSTZ-jp-investment_gdp
1963,0.5253125063251359,investment_gdp_robustz,jp,robust_z,H3-ROBUSTZ-jp-investment_gdp
1964,0.5715967754607253,investment_gdp_robustz,jp,robust_z,H3-ROBUSTZ-jp-investment_gdp
1965,-0.17934348933635774,investment_gdp_robustz,jp,robust_z,H3-ROBUSTZ-jp-investment_gdp
1966,0.025451329464115952,investment_gdp_robustz,jp,robust_z,H3-ROBUSTZ-jp-investment_gdp
1967,0.6685429436513136,investment_gdp_robustz,jp,robust_z,H3-ROBUSTZ-jp-investment_gdp
1968,1.1439874959769198,investment_gdp_robustz,jp,robust_z,H3-ROBUSTZ-jp-investment_gdp
1969,1.6479410767997678,investment_gdp_robustz,jp,robust_z,H3-ROBUSTZ-jp-investment_gdp
1970,2.058407704524169,investment_gdp_robustz,jp,robust_z,H3-ROBUSTZ-jp-investment_gdp
1971,1.5669030450931642,investment_gdp_robustz,jp,robust_z,H3-ROBUSTZ-jp-investment_gdp
1972,1.5171544828281438,investment_gdp_robustz,jp,robust_z,H3-ROBUSTZ-jp-investment_gdp
1973,2.4022516609378783,investment_gdp_robustz,jp,robust_z,H3-ROBUSTZ-jp-investment_gdp
1974,1.7762489349613173,investment_gdp_robustz,jp,robust_z,H3-ROBUSTZ-jp-investment_gdp
1975,0.8680358609544504,investment_gdp_robustz,jp,robust_z,H3-ROBUSTZ-jp-investment_gdp
1976,0.37405573019779986,investment_gdp_robustz,jp,robust_z,H3-ROBUSTZ-jp-investment_gdp
1977,-0.025451329464117337,investment_gdp_robustz,jp,robust_z,H3-ROBUSTZ-jp-investment_gdp
1978,0.06991253405942564,investment_gdp_robustz,jp,robust_z,H3-ROBUSTZ-jp-investment_gdp
1979,0.5644425427158108,investment_gdp_robustz,jp,robust_z,H3-ROBUSTZ-jp-investment_gdp
1980,0.5238084439236477,investment_gdp_robustz,jp,robust_z,H3-ROBUSTZ-jp-investment_gdp
1981,0.14204121369080155,investment_gdp_robustz,jp,robust_z,H3-ROBUSTZ-jp-investment_gdp
1982,-0.29556730904703277,investment_gdp_robustz,jp,robust_z,H3-ROBUSTZ-jp-investment_gdp
1983,-0.868583759739824,investment_gdp_robustz,jp,robust_z,H3-ROBUSTZ-jp-investment_gdp
1984,-0.983401094350959,investment_gdp_robustz,jp,robust_z,H3-ROBUSTZ-jp-investment_gdp
1985,-1.0706375568842004,investment_gdp_robustz,jp,robust_z,H3-ROBUSTZ-jp-investment_gdp
1986,-1.1487345956987716,investment_gdp_robustz,jp,robust_z,H3-ROBUSTZ-jp-investment_gdp
1987,-0.7308303874219604,investment_gdp_robustz,jp,robust_z,H3-ROBUSTZ-jp-investment_gdp
1988,-0.22657504616326732,investment_gdp_robustz,jp,robust_z,H3-ROBUSTZ-jp-investment_gdp
1989,0.1340520045295394,investment_gdp_robustz,jp,robust_z,H3-ROBUSTZ-jp-investment_gdp
1990,0.5879430737394028,investment_gdp_robustz,jp,robust_z,H3-ROBUSTZ-jp-investment_gdp
1991,0.4658083153968571,investment_gdp_robustz,jp,robust_z,H3-ROBUSTZ-jp-investment_gdp
1992,0.0961121882732097,investment_gdp_robustz,jp,robust_z,H3-ROBUSTZ-jp-investment_gdp
1993,-0.2662099281456676,investment_gdp_robustz,jp,robust_z,H3-ROBUSTZ-jp-investment_gdp
1994,-0.6147663519173343,investment_gdp_robustz,jp,robust_z,H3-ROBUSTZ-jp-investment_gdp
1995,-0.6804385753018768,investment_gdp_robustz,jp,robust_z,H3-ROBUSTZ-jp-investment_gdp
1996,-0.29521666476186564,investment_gdp_robustz,jp,robust_z,H3-ROBUSTZ-jp-investment_gdp
1997,-0.6443426143158252,investment_gdp_robustz,jp,robust_z,H3-ROBUSTZ-jp-investment_gdp
1998,-1.3345154467724578,investment_gdp_robustz,jp,robust_z,H3-ROBUSTZ-jp-investment_gdp
1999,-1.6172372678405165,investment_gdp_robustz,jp,robust_z,H3-ROBUSTZ-jp-investment_gdp
2000,-1.7978580487706515,investment_gdp_robustz,jp,robust_z,H3-ROBUSTZ-jp-investment_gdp
