year,value,variable,country,unit,transform_id
1986,2.694532260899887,jgb10y_robustz,jp,robust_z,H3-ROBUSTZ-jp-jgb10y
1987,2.324008344198604,jgb10y_robustz,jp,robust_z,H3-ROBUSTZ-jp-jgb10y
1988,2.1778572437219865,jgb10y_robustz,jp,robust_z,H3-ROBUSTZ-jp-jgb10y
1989,2.8674434220271525,jgb10y_robustz,jp,robust_z,H3-ROBUSTZ-jp-jgb10y
1990,3.555657289529721,jgb10y_robustz,jp,robust_z,H3-ROBUSTZ-jp-jgb10y
1991,2.839311050573907,jgb10y_robustz,jp,robust_z,H3-ROBUSTZ-jp-jgb10y
1992,2.42418703278821,jgb10y_robustz,jp,robust_z,H3-ROBUSTZ-jp-jgb10y
1993,1.3558430729661768,jgb10y_robustz,jp,robust_z,H3-ROBUSTZ-jp-jgb10y
1994,2.1394325412492607,jgb10y_robustz,jp,robust_z,H3-ROBUSTZ-jp-jgb10y
1995,1.1856765334441062,jgb10y_robustz,jp,robust_z,H3-ROBUSTZ-jp-jgb10y
1996,0.9201343931415199,jgb10y_robustz,jp,robust_z,H3-ROBUSTZ-jp-jgb10y
1997,0.3410192344454402,jgb10y_robustz,jp,robust_z,H3-ROBUSTZ-jp-jgb10y
1998,0.4665856728830973,jgb10y_robustz,jp,robust_z,H3-ROBUSTZ-jp-jgb10y
1999,0.16673576251557737,jgb10y_robustz,jp,robust_z,H3-ROBUSTZ-jp-jgb10y
2000,0.14615110047661717,jgb10y_robustz,jp,robust_z,H3-ROBUSTZ-jp-jgb10y
2001,-0.04665856728830978,jgb10y_robustz,jp,robust_z,H3-ROBUSTZ-jp-jgb10y
2002,-0.3643485180895952,jgb10y_robustz,jp,robust_z,H3-ROBUSTZ-jp-jgb10y
2003,-0.05077549969610182,jgb10y_robustz,jp,robust_z,H3-ROBUSTZ-jp-jgb10y
2004,0.0,jgb10y_robustz,jp,robust_z,H3-ROBUSTZ-jp-jgb10y
2005,0.024701594446752236,jgb10y_robustz,jp,robust_z,H3-ROBUSTZ-jp-jgb10y
2006,0.16536345171298,jgb10y_robustz,jp,robust_z,H3-ROBUSTZ-jp-jgb10y
2007,0.04460010108441368,jgb10y_robustz,jp,robust_z,H3-ROBUSTZ-jp-jgb10y
2008,-0.1784004043376549,jgb10y_robustz,jp,robust_z,H3-ROBUSTZ-jp-jgb10y
2009,-0.10155099939220363,jgb10y_robustz,jp,robust_z,H3-ROBUSTZ-jp-jgb10y
2010,-0.21270817440258855,jgb10y_robustz,jp,robust_z,H3-ROBUSTZ-jp-jgb10y
2011,-0.3087699305844027,jgb10y_robustz,jp,robust_z,H3-ROBUSTZ-jp-jgb10y
2012,-0.4411979230350465,jgb10y_robustz,jp,robust_z,H3-ROBUSTZ-jp-jgb10y
2013,-0.48099493631036955,jgb10y_robustz,jp,robust_z,H3-ROBUSTZ-jp-jgb10y
2014,-0.763004806244124,jgb10y_robustz,jp,robust_z,H3-ROBUSTZ-jp-jgb10y
2015,-0.8028018195194468,jgb10y_robustz,jp,robust_z,H3-ROBUSTZ-jp-jgb10y
2016,-0.9565006294103496,jgb10y_robustz,jp,robust_z,H3-ROBUSTZ-jp-jgb10y
2017,-0.953756007805155,jgb10y_robustz,jp,robust_z,H3-ROBUSTZ-jp-jgb10y
2018,-0.9770852914493099,jgb10y_robustz,jp,robust_z,H3-ROBUSTZ-jp-jgb10y
2019,-0.9962976426856726,jgb10y_robustz,jp,robust_z,H3-ROBUSTZ-jp-jgb10y
2020,-0.9619898726207391,jgb10y_robustz,jp,robust_z,H3-ROBUSTZ-jp-jgb10y
2021,-0.9249374809506107,jgb10y_robustz,jp,robust_z,H3-ROBUSTZ-jp-jgb10y
2022,-0.6744907594765952,jgb10y_robustz,jp,robust_z,H3-ROBUSTZ-jp-jgb10y
2023,-0.5420627670259514,jgb10y_robustz,jp,robust_z,H3-ROBUSTZ-jp-jgb10y
2024,-0.2236866608233673,jgb10y_robustz,jp,robust_z,H3-ROBUSTZ-jp-jgb10y
2025,0.4315917474168649,jgb10y_robustz,jp,robust_z,H3-ROBUSTZ-jp-jgb10y
2026,1.0333500343558009,jgb10y_robustz,jp,robust_z,H3-ROBUSTZ-jp-jgb10y
