year,value,variable,country,unit,transform_id
1955,,m2_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-m2_yoy
1956,0.8870967741935484,m2_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-m2_yoy
1957,0.8709677419354839,m2_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-m2_yoy
1958,0.7580645161290323,m2_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-m2_yoy
1959,0.9032258064516129,m2_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-m2_yoy
1960,0.9354838709677419,m2_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-m2_yoy
1961,0.9516129032258065,m2_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-m2_yoy
1962,0.8225806451612904,m2_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-m2_yoy
1963,0.9838709677419355,m2_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-m2_yoy
1964,0.8548387096774194,m2_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-m2_yoy
1965,0.7741935483870968,m2_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-m2_yoy
1966,0.8064516129032258,m2_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-m2_yoy
1967,0.6935483870967742,m2_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-m2_yoy
1968,0.7419354838709677,m2_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-m2_yoy
1969,0.7903225806451613,m2_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-m2_yoy
1970,0.8387096774193549,m2_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-m2_yoy
1971,0.9193548387096774,m2_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-m2_yoy
1972,1.0,m2_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-m2_yoy
1973,0.967741935483871,m2_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-m2_yoy
1974,0.6774193548387096,m2_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-m2_yoy
1975,0.7096774193548387,m2_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-m2_yoy
1976,0.7258064516129032,m2_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-m2_yoy
1977,0.6129032258064516,m2_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-m2_yoy
1978,0.6451612903225806,m2_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-m2_yoy
1979,0.6612903225806451,m2_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-m2_yoy
1980,0.5483870967741935,m2_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-m2_yoy
1981,0.5161290322580645,m2_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-m2_yoy
1982,0.532258064516129,m2_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-m2_yoy
1983,0.45161290322580644,m2_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-m2_yoy
1984,0.46774193548387094,m2_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-m2_yoy
1985,0.4838709677419355,m2_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-m2_yoy
1986,0.5,m2_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-m2_yoy
1987,0.5806451612903226,m2_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-m2_yoy
1988,0.5967741935483871,m2_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-m2_yoy
1989,0.5645161290322581,m2_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-m2_yoy
1990,0.6290322580645161,m2_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-m2_yoy
1991,0.3709677419354839,m2_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-m2_yoy
1992,0.016129032258064516,m2_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-m2_yoy
1993,0.04838709677419355,m2_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-m2_yoy
1994,0.12903225806451613,m2_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-m2_yoy
1995,0.25806451612903225,m2_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-m2_yoy
1996,0.2903225806451613,m2_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-m2_yoy
1997,0.27419354838709675,m2_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-m2_yoy
1998,0.43548387096774194,m2_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-m2_yoy
1999,0.3870967741935484,m2_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-m2_yoy
2000,0.16129032258064516,m2_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-m2_yoy
2001,0.24193548387096775,m2_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-m2_yoy
2002,0.3064516129032258,m2_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-m2_yoy
2003,0.06451612903225806,m2_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-m2_yoy
2004,0.0967741935483871,m2_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-m2_yoy
2005,0.11290322580645161,m2_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-m2_yoy
2006,0.03225806451612903,m2_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-m2_yoy
2007,0.08064516129032258,m2_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-m2_yoy
2008,0.14516129032258066,m2_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-m2_yoy
