year,value,variable,country,unit,transform_id
1949,,nikkei_return_robustz,jp,robust_z,H3-ROBUSTZ-jp-nikkei_return
1950,-0.6893852557129266,nikkei_return_robustz,jp,robust_z,H3-ROBUSTZ-jp-nikkei_return
1951,2.3291852891140197,nikkei_return_robustz,jp,robust_z,H3-ROBUSTZ-jp-nikkei_return
1952,4.74468126890781,nikkei_return_robustz,jp,robust_z,H3-ROBUSTZ-jp-nikkei_return
1953,-0.21068831362736862,nikkei_return_robustz,jp,robust_z,H3-ROBUSTZ-jp-nikkei_return
1954,-0.6251315349287255,nikkei_return_robustz,jp,robust_z,H3-ROBUSTZ-jp-nikkei_return
1955,0.46361521684256696,nikkei_return_robustz,jp,robust_z,H3-ROBUSTZ-jp-nikkei_return
1956,0.86999583887969,nikkei_return_robustz,jp,robust_z,H3-ROBUSTZ-jp-nikkei_return
1957,-0.9840076521106825,nikkei_return_robustz,jp,robust_z,H3-ROBUSTZ-jp-nikkei_return
1958,1.3823586059616433,nikkei_return_robustz,jp,robust_z,H3-ROBUSTZ-jp-nikkei_return
1959,0.9844985710282268,nikkei_return_robustz,jp,robust_z,H3-ROBUSTZ-jp-nikkei_return
1960,1.9907397915566674,nikkei_return_robustz,jp,robust_z,H3-ROBUSTZ-jp-nikkei_return
1961,-0.1360870495006306,nikkei_return_robustz,jp,robust_z,H3-ROBUSTZ-jp-nikkei_return
1962,-0.41303714540257097,nikkei_return_robustz,jp,robust_z,H3-ROBUSTZ-jp-nikkei_return
1963,-0.9415834904966683,nikkei_return_robustz,jp,robust_z,H3-ROBUSTZ-jp-nikkei_return
1964,-0.4362749687337773,nikkei_return_robustz,jp,robust_z,H3-ROBUSTZ-jp-nikkei_return
1965,0.3346446336489571,nikkei_return_robustz,jp,robust_z,H3-ROBUSTZ-jp-nikkei_return
1966,-0.27262841211863814,nikkei_return_robustz,jp,robust_z,H3-ROBUSTZ-jp-nikkei_return
1967,-0.8756820488792308,nikkei_return_robustz,jp,robust_z,H3-ROBUSTZ-jp-nikkei_return
1968,1.0153558964760705,nikkei_return_robustz,jp,robust_z,H3-ROBUSTZ-jp-nikkei_return
1969,1.2651950395735683,nikkei_return_robustz,jp,robust_z,H3-ROBUSTZ-jp-nikkei_return
1970,-1.0371737610072964,nikkei_return_robustz,jp,robust_z,H3-ROBUSTZ-jp-nikkei_return
1971,1.1951713604596594,nikkei_return_robustz,jp,robust_z,H3-ROBUSTZ-jp-nikkei_return
1972,3.5740867231974067,nikkei_return_robustz,jp,robust_z,H3-ROBUSTZ-jp-nikkei_return
1973,-1.120273143415734,nikkei_return_robustz,jp,robust_z,H3-ROBUSTZ-jp-nikkei_return
1974,-0.8454698476592221,nikkei_return_robustz,jp,robust_z,H3-ROBUSTZ-jp-nikkei_return
1975,0.18935222655927667,nikkei_return_robustz,jp,robust_z,H3-ROBUSTZ-jp-nikkei_return
1976,0.2657352323857953,nikkei_return_robustz,jp,robust_z,H3-ROBUSTZ-jp-nikkei_return
1977,-0.4843934235450238,nikkei_return_robustz,jp,robust_z,H3-ROBUSTZ-jp-nikkei_return
1978,0.6272574500318027,nikkei_return_robustz,jp,robust_z,H3-ROBUSTZ-jp-nikkei_return
1979,0.029989671084785934,nikkei_return_robustz,jp,robust_z,H3-ROBUSTZ-jp-nikkei_return
1980,-0.05352541989911033,nikkei_return_robustz,jp,robust_z,H3-ROBUSTZ-jp-nikkei_return
1981,0.0,nikkei_return_robustz,jp,robust_z,H3-ROBUSTZ-jp-nikkei_return
1982,-0.1891697541345221,nikkei_return_robustz,jp,robust_z,H3-ROBUSTZ-jp-nikkei_return
1983,0.6299594585335113,nikkei_return_robustz,jp,robust_z,H3-ROBUSTZ-jp-nikkei_return
1984,0.33978537032831796,nikkei_return_robustz,jp,robust_z,H3-ROBUSTZ-jp-nikkei_return
1985,0.1971732353881253,nikkei_return_robustz,jp,robust_z,H3-ROBUSTZ-jp-nikkei_return
1986,1.5084602689146462,nikkei_return_robustz,jp,robust_z,H3-ROBUSTZ-jp-nikkei_return
1987,0.25001840272376735,nikkei_return_robustz,jp,robust_z,H3-ROBUSTZ-jp-nikkei_return
1988,1.336715061257869,nikkei_return_robustz,jp,robust_z,H3-ROBUSTZ-jp-nikkei_return
1989,0.8715303930787615,nikkei_return_robustz,jp,robust_z,H3-ROBUSTZ-jp-nikkei_return
1990,-2.0407232129921486,nikkei_return_robustz,jp,robust_z,H3-ROBUSTZ-jp-nikkei_return
1991,-0.5324139245137243,nikkei_return_robustz,jp,robust_z,H3-ROBUSTZ-jp-nikkei_return
1992,-1.5096214450464767,nikkei_return_robustz,jp,robust_z,H3-ROBUSTZ-jp-nikkei_return
1993,-0.25149816996554203,nikkei_return_robustz,jp,robust_z,H3-ROBUSTZ-jp-nikkei_return
1994,0.192523109904857,nikkei_return_robustz,jp,robust_z,H3-ROBUSTZ-jp-nikkei_return
