year,value,variable,country,unit,transform_id
1956,0.5550312781124148,nominal_gdp_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-nominal_gdp_yoy
1957,0.9089557418721357,nominal_gdp_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-nominal_gdp_yoy
1958,-0.28543712020641265,nominal_gdp_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-nominal_gdp_yoy
1959,0.7859159922745281,nominal_gdp_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-nominal_gdp_yoy
1960,1.7252539303986054,nominal_gdp_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-nominal_gdp_yoy
1961,1.6458975402567626,nominal_gdp_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-nominal_gdp_yoy
1962,0.6744907594765952,nominal_gdp_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-nominal_gdp_yoy
1963,0.8036630144510021,nominal_gdp_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-nominal_gdp_yoy
1964,1.227289348749913,nominal_gdp_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-nominal_gdp_yoy
1965,0.3786602647883876,nominal_gdp_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-nominal_gdp_yoy
1966,1.0283633487784858,nominal_gdp_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-nominal_gdp_yoy
1967,1.1680227581060254,nominal_gdp_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-nominal_gdp_yoy
1968,1.3335253241606702,nominal_gdp_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-nominal_gdp_yoy
1969,1.2053893769020687,nominal_gdp_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-nominal_gdp_yoy
1970,1.2579194899056263,nominal_gdp_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-nominal_gdp_yoy
1971,0.21568837210863356,nominal_gdp_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-nominal_gdp_yoy
1972,0.8089889135004086,nominal_gdp_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-nominal_gdp_yoy
1973,1.7762242140321667,nominal_gdp_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-nominal_gdp_yoy
1974,1.4530355693721226,nominal_gdp_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-nominal_gdp_yoy
1975,0.27703155328648776,nominal_gdp_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-nominal_gdp_yoy
1976,0.5178967791049349,nominal_gdp_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-nominal_gdp_yoy
1977,0.40271760173603943,nominal_gdp_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-nominal_gdp_yoy
1978,0.2274926759853079,nominal_gdp_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-nominal_gdp_yoy
1979,-0.0029576581427056678,nominal_gdp_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-nominal_gdp_yoy
1980,0.0,nominal_gdp_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-nominal_gdp_yoy
1981,-0.1334394748016313,nominal_gdp_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-nominal_gdp_yoy
1982,-0.4669669013971327,nominal_gdp_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-nominal_gdp_yoy
1983,-0.5697497287861392,nominal_gdp_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-nominal_gdp_yoy
1984,-0.23218856051268832,nominal_gdp_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-nominal_gdp_yoy
1985,-0.23888463366390245,nominal_gdp_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-nominal_gdp_yoy
1986,-0.4943282910642101,nominal_gdp_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-nominal_gdp_yoy
1987,-0.5515179187675335,nominal_gdp_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-nominal_gdp_yoy
1988,-0.19768869795901853,nominal_gdp_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-nominal_gdp_yoy
1989,-0.19287826924461476,nominal_gdp_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-nominal_gdp_yoy
1990,-0.11952115453048492,nominal_gdp_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-nominal_gdp_yoy
1991,-0.24447603376169935,nominal_gdp_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-nominal_gdp_yoy
1992,-0.7494566349848676,nominal_gdp_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-nominal_gdp_yoy
1993,-0.9956145733827875,nominal_gdp_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-nominal_gdp_yoy
1994,-1.0102177792558948,nominal_gdp_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-nominal_gdp_yoy
1995,-1.00884502031191,nominal_gdp_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-nominal_gdp_yoy
1996,-0.6482409326385187,nominal_gdp_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-nominal_gdp_yoy
1997,-0.8705170635224614,nominal_gdp_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-nominal_gdp_yoy
1998,-1.409762466130427,nominal_gdp_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-nominal_gdp_yoy
1999,-1.2083259944713067,nominal_gdp_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-nominal_gdp_yoy
2000,-1.2430963931558,nominal_gdp_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-nominal_gdp_yoy
