year,value,variable,country,unit,transform_id
1955,1.2526256961708195,policy_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-policy_rate
1956,1.2526256961708195,policy_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-policy_rate
1957,1.5554582820582707,policy_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-policy_rate
1958,1.2526256961708195,policy_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-policy_rate
1959,1.2526256961708195,policy_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-policy_rate
1960,1.1535168498803812,policy_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-policy_rate
1961,1.2526256961708195,policy_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-policy_rate
1962,1.051654980081875,policy_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-policy_rate
1963,0.8506842639929302,policy_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-policy_rate
1964,1.051654980081875,policy_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-policy_rate
1965,0.7515754177024919,policy_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-policy_rate
1966,0.7515754177024919,policy_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-policy_rate
1967,0.8506842639929302,policy_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-policy_rate
1968,0.8506842639929302,policy_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-policy_rate
1969,0.9635582278237074,policy_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-policy_rate
1970,0.894732640122014,policy_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-policy_rate
1971,0.5506047016135471,policy_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-policy_rate
1972,0.41295352621016035,policy_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-policy_rate
1973,1.7206396925423346,policy_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-policy_rate
1974,1.7206396925423346,policy_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-policy_rate
1975,1.0323838155254008,policy_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-policy_rate
