year,value,variable,country,unit,transform_id
1956,0.6888888888888889,real_gdp_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-real_gdp_yoy
1957,0.7111111111111111,real_gdp_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-real_gdp_yoy
1958,0.6666666666666666,real_gdp_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-real_gdp_yoy
1959,0.8222222222222222,real_gdp_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-real_gdp_yoy
1960,1.0,real_gdp_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-real_gdp_yoy
1961,0.9333333333333333,real_gdp_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-real_gdp_yoy
1962,0.7777777777777778,real_gdp_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-real_gdp_yoy
1963,0.8,real_gdp_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-real_gdp_yoy
1964,0.9111111111111111,real_gdp_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-real_gdp_yoy
1965,0.6222222222222222,real_gdp_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-real_gdp_yoy
1966,0.8444444444444444,real_gdp_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-real_gdp_yoy
1967,0.8888888888888888,real_gdp_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-real_gdp_yoy
1968,0.9555555555555556,real_gdp_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-real_gdp_yoy
1969,0.9777777777777777,real_gdp_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-real_gdp_yoy
1970,0.8666666666666667,real_gdp_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-real_gdp_yoy
1971,0.4444444444444444,real_gdp_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-real_gdp_yoy
1972,0.7555555555555555,real_gdp_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-real_gdp_yoy
1973,0.7333333333333333,real_gdp_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-real_gdp_yoy
1974,0.044444444444444446,real_gdp_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-real_gdp_yoy
1975,0.3111111111111111,real_gdp_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-real_gdp_yoy
1976,0.4,real_gdp_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-real_gdp_yoy
1977,0.4666666666666667,real_gdp_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-real_gdp_yoy
1978,0.5777777777777777,real_gdp_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-real_gdp_yoy
1979,0.6,real_gdp_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-real_gdp_yoy
1980,0.24444444444444444,real_gdp_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-real_gdp_yoy
1981,0.3333333333333333,real_gdp_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-real_gdp_yoy
1982,0.28888888888888886,real_gdp_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-real_gdp_yoy
1983,0.2222222222222222,real_gdp_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-real_gdp_yoy
1984,0.37777777777777777,real_gdp_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-real_gdp_yoy
1985,0.4888888888888889,real_gdp_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-real_gdp_yoy
1986,0.26666666666666666,real_gdp_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-real_gdp_yoy
1987,0.4222222222222222,real_gdp_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-real_gdp_yoy
1988,0.6444444444444445,real_gdp_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-real_gdp_yoy
1989,0.5111111111111111,real_gdp_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-real_gdp_yoy
1990,0.5555555555555556,real_gdp_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-real_gdp_yoy
1991,0.35555555555555557,real_gdp_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-real_gdp_yoy
1992,0.15555555555555556,real_gdp_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-real_gdp_yoy
1993,0.08888888888888889,real_gdp_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-real_gdp_yoy
1994,0.1111111111111111,real_gdp_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-real_gdp_yoy
1995,0.17777777777777778,real_gdp_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-real_gdp_yoy
1996,0.5333333333333333,real_gdp_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-real_gdp_yoy
1997,0.2,real_gdp_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-real_gdp_yoy
1998,0.022222222222222223,real_gdp_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-real_gdp_yoy
1999,0.06666666666666667,real_gdp_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-real_gdp_yoy
2000,0.13333333333333333,real_gdp_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-real_gdp_yoy
