year,value,variable,country,unit,transform_id
1947,1.0,tfr_pctrank,jp,pct_rank,H3-PCTRANK-jp-tfr
1948,0.9871794871794872,tfr_pctrank,jp,pct_rank,H3-PCTRANK-jp-tfr
1949,0.9743589743589743,tfr_pctrank,jp,pct_rank,H3-PCTRANK-jp-tfr
1950,0.9615384615384616,tfr_pctrank,jp,pct_rank,H3-PCTRANK-jp-tfr
1951,0.9487179487179487,tfr_pctrank,jp,pct_rank,H3-PCTRANK-jp-tfr
1952,0.9358974358974359,tfr_pctrank,jp,pct_rank,H3-PCTRANK-jp-tfr
1953,0.9230769230769231,tfr_pctrank,jp,pct_rank,H3-PCTRANK-jp-tfr
1954,0.9102564102564102,tfr_pctrank,jp,pct_rank,H3-PCTRANK-jp-tfr
1955,0.8974358974358975,tfr_pctrank,jp,pct_rank,H3-PCTRANK-jp-tfr
1956,0.8717948717948718,tfr_pctrank,jp,pct_rank,H3-PCTRANK-jp-tfr
1957,0.7243589743589743,tfr_pctrank,jp,pct_rank,H3-PCTRANK-jp-tfr
1958,0.7692307692307693,tfr_pctrank,jp,pct_rank,H3-PCTRANK-jp-tfr
1959,0.7243589743589743,tfr_pctrank,jp,pct_rank,H3-PCTRANK-jp-tfr
1960,0.6987179487179487,tfr_pctrank,jp,pct_rank,H3-PCTRANK-jp-tfr
1961,0.6666666666666666,tfr_pctrank,jp,pct_rank,H3-PCTRANK-jp-tfr
1962,0.6794871794871795,tfr_pctrank,jp,pct_rank,H3-PCTRANK-jp-tfr
1963,0.6987179487179487,tfr_pctrank,jp,pct_rank,H3-PCTRANK-jp-tfr
1964,0.75,tfr_pctrank,jp,pct_rank,H3-PCTRANK-jp-tfr
1965,0.8333333333333334,tfr_pctrank,jp,pct_rank,H3-PCTRANK-jp-tfr
1966,0.47435897435897434,tfr_pctrank,jp,pct_rank,H3-PCTRANK-jp-tfr
1967,0.8846153846153846,tfr_pctrank,jp,pct_rank,H3-PCTRANK-jp-tfr
1968,0.7948717948717948,tfr_pctrank,jp,pct_rank,H3-PCTRANK-jp-tfr
1969,0.7948717948717948,tfr_pctrank,jp,pct_rank,H3-PCTRANK-jp-tfr
1970,0.7948717948717948,tfr_pctrank,jp,pct_rank,H3-PCTRANK-jp-tfr
1971,0.8589743589743589,tfr_pctrank,jp,pct_rank,H3-PCTRANK-jp-tfr
1972,0.8333333333333334,tfr_pctrank,jp,pct_rank,H3-PCTRANK-jp-tfr
1973,0.8333333333333334,tfr_pctrank,jp,pct_rank,H3-PCTRANK-jp-tfr
1974,0.75,tfr_pctrank,jp,pct_rank,H3-PCTRANK-jp-tfr
1975,0.6538461538461539,tfr_pctrank,jp,pct_rank,H3-PCTRANK-jp-tfr
1976,0.6410256410256411,tfr_pctrank,jp,pct_rank,H3-PCTRANK-jp-tfr
1977,0.6089743589743589,tfr_pctrank,jp,pct_rank,H3-PCTRANK-jp-tfr
1978,0.5897435897435898,tfr_pctrank,jp,pct_rank,H3-PCTRANK-jp-tfr
1979,0.5705128205128205,tfr_pctrank,jp,pct_rank,H3-PCTRANK-jp-tfr
1980,0.5384615384615384,tfr_pctrank,jp,pct_rank,H3-PCTRANK-jp-tfr
1981,0.5256410256410257,tfr_pctrank,jp,pct_rank,H3-PCTRANK-jp-tfr
1982,0.5705128205128205,tfr_pctrank,jp,pct_rank,H3-PCTRANK-jp-tfr
1983,0.6089743589743589,tfr_pctrank,jp,pct_rank,H3-PCTRANK-jp-tfr
1984,0.6282051282051282,tfr_pctrank,jp,pct_rank,H3-PCTRANK-jp-tfr
1985,0.5512820512820513,tfr_pctrank,jp,pct_rank,H3-PCTRANK-jp-tfr
1986,0.5128205128205128,tfr_pctrank,jp,pct_rank,H3-PCTRANK-jp-tfr
1987,0.5,tfr_pctrank,jp,pct_rank,H3-PCTRANK-jp-tfr
1988,0.48717948717948717,tfr_pctrank,jp,pct_rank,H3-PCTRANK-jp-tfr
1989,0.46153846153846156,tfr_pctrank,jp,pct_rank,H3-PCTRANK-jp-tfr
1990,0.44871794871794873,tfr_pctrank,jp,pct_rank,H3-PCTRANK-jp-tfr
1991,0.4358974358974359,tfr_pctrank,jp,pct_rank,H3-PCTRANK-jp-tfr
1992,0.4166666666666667,tfr_pctrank,jp,pct_rank,H3-PCTRANK-jp-tfr
1993,0.3974358974358974,tfr_pctrank,jp,pct_rank,H3-PCTRANK-jp-tfr
