year,value,variable,country,unit,transform_id
1947,5.708003889898948,tfr_robustz,jp,robust_z,H3-ROBUSTZ-jp-tfr
1948,5.426127154595297,tfr_robustz,jp,robust_z,H3-ROBUSTZ-jp-tfr
1949,5.265054734421781,tfr_robustz,jp,robust_z,H3-ROBUSTZ-jp-tfr
1950,3.91607321546859,tfr_robustz,jp,robust_z,H3-ROBUSTZ-jp-tfr
1951,3.130845167122703,tfr_robustz,jp,robust_z,H3-ROBUSTZ-jp-tfr
1952,2.5670916965153996,tfr_robustz,jp,robust_z,H3-ROBUSTZ-jp-tfr
1953,1.9832041733864068,tfr_robustz,jp,robust_z,H3-ROBUSTZ-jp-tfr
1954,1.5603890704309291,tfr_robustz,jp,robust_z,H3-ROBUSTZ-jp-tfr
1955,1.338914492692346,tfr_robustz,jp,robust_z,H3-ROBUSTZ-jp-tfr
1956,1.036903704867005,tfr_robustz,jp,robust_z,H3-ROBUSTZ-jp-tfr
1957,0.6744907594765952,tfr_robustz,jp,robust_z,H3-ROBUSTZ-jp-tfr
1958,0.8154291271284207,tfr_robustz,jp,robust_z,H3-ROBUSTZ-jp-tfr
1959,0.6744907594765952,tfr_robustz,jp,robust_z,H3-ROBUSTZ-jp-tfr
1960,0.5939545493898375,tfr_robustz,jp,robust_z,H3-ROBUSTZ-jp-tfr
1961,0.5134183393030798,tfr_robustz,jp,robust_z,H3-ROBUSTZ-jp-tfr
1962,0.5536864443464586,tfr_robustz,jp,robust_z,H3-ROBUSTZ-jp-tfr
1963,0.5939545493898375,tfr_robustz,jp,robust_z,H3-ROBUSTZ-jp-tfr
1964,0.6946248119982842,tfr_robustz,jp,robust_z,H3-ROBUSTZ-jp-tfr
1965,0.8758312846934895,tfr_robustz,jp,robust_z,H3-ROBUSTZ-jp-tfr
1966,-0.2516756565211176,tfr_robustz,jp,robust_z,H3-ROBUSTZ-jp-tfr
1967,1.057037757388694,tfr_robustz,jp,robust_z,H3-ROBUSTZ-jp-tfr
1968,0.8556972321717996,tfr_robustz,jp,robust_z,H3-ROBUSTZ-jp-tfr
1969,0.8556972321717996,tfr_robustz,jp,robust_z,H3-ROBUSTZ-jp-tfr
1970,0.8556972321717996,tfr_robustz,jp,robust_z,H3-ROBUSTZ-jp-tfr
1971,0.9160993897368683,tfr_robustz,jp,robust_z,H3-ROBUSTZ-jp-tfr
1972,0.8758312846934895,tfr_robustz,jp,robust_z,H3-ROBUSTZ-jp-tfr
1973,0.8758312846934895,tfr_robustz,jp,robust_z,H3-ROBUSTZ-jp-tfr
1974,0.6946248119982842,tfr_robustz,jp,robust_z,H3-ROBUSTZ-jp-tfr
