year,value,variable,country,unit,transform_id
1955,0.0851063829787234,trade_balance_gdp_pctrank,jp,pct_rank,H3-PRE-jp-trade_balance_gdp-GDPRATIO+PCTRANK
1956,0.06382978723404255,trade_balance_gdp_pctrank,jp,pct_rank,H3-PRE-jp-trade_balance_gdp-GDPRATIO+PCTRANK
1957,0.02127659574468085,trade_balance_gdp_pctrank,jp,pct_rank,H3-PRE-jp-trade_balance_gdp-GDPRATIO+PCTRANK
1958,0.2765957446808511,trade_balance_gdp_pctrank,jp,pct_rank,H3-PRE-jp-trade_balance_gdp-GDPRATIO+PCTRANK
1959,0.3191489361702128,trade_balance_gdp_pctrank,jp,pct_rank,H3-PRE-jp-trade_balance_gdp-GDPRATIO+PCTRANK
1960,0.23404255319148937,trade_balance_gdp_pctrank,jp,pct_rank,H3-PRE-jp-trade_balance_gdp-GDPRATIO+PCTRANK
1961,0.0425531914893617,trade_balance_gdp_pctrank,jp,pct_rank,H3-PRE-jp-trade_balance_gdp-GDPRATIO+PCTRANK
1962,0.1702127659574468,trade_balance_gdp_pctrank,jp,pct_rank,H3-PRE-jp-trade_balance_gdp-GDPRATIO+PCTRANK
1963,0.10638297872340426,trade_balance_gdp_pctrank,jp,pct_rank,H3-PRE-jp-trade_balance_gdp-GDPRATIO+PCTRANK
1964,0.1276595744680851,trade_balance_gdp_pctrank,jp,pct_rank,H3-PRE-jp-trade_balance_gdp-GDPRATIO+PCTRANK
1965,0.425531914893617,trade_balance_gdp_pctrank,jp,pct_rank,H3-PRE-jp-trade_balance_gdp-GDPRATIO+PCTRANK
1966,0.40425531914893614,trade_balance_gdp_pctrank,jp,pct_rank,H3-PRE-jp-trade_balance_gdp-GDPRATIO+PCTRANK
1967,0.2127659574468085,trade_balance_gdp_pctrank,jp,pct_rank,H3-PRE-jp-trade_balance_gdp-GDPRATIO+PCTRANK
1968,0.3617021276595745,trade_balance_gdp_pctrank,jp,pct_rank,H3-PRE-jp-trade_balance_gdp-GDPRATIO+PCTRANK
1969,0.46808510638297873,trade_balance_gdp_pctrank,jp,pct_rank,H3-PRE-jp-trade_balance_gdp-GDPRATIO+PCTRANK
1970,0.3829787234042553,trade_balance_gdp_pctrank,jp,pct_rank,H3-PRE-jp-trade_balance_gdp-GDPRATIO+PCTRANK
1971,0.6382978723404256,trade_balance_gdp_pctrank,jp,pct_rank,H3-PRE-jp-trade_balance_gdp-GDPRATIO+PCTRANK
1972,0.574468085106383,trade_balance_gdp_pctrank,jp,pct_rank,H3-PRE-jp-trade_balance_gdp-GDPRATIO+PCTRANK
1973,0.3404255319148936,trade_balance_gdp_pctrank,jp,pct_rank,H3-PRE-jp-trade_balance_gdp-GDPRATIO+PCTRANK
1974,0.14893617021276595,trade_balance_gdp_pctrank,jp,pct_rank,H3-PRE-jp-trade_balance_gdp-GDPRATIO+PCTRANK
1975,0.2978723404255319,trade_balance_gdp_pctrank,jp,pct_rank,H3-PRE-jp-trade_balance_gdp-GDPRATIO+PCTRANK
1976,0.44680851063829785,trade_balance_gdp_pctrank,jp,pct_rank,H3-PRE-jp-trade_balance_gdp-GDPRATIO+PCTRANK
1977,0.5531914893617021,trade_balance_gdp_pctrank,jp,pct_rank,H3-PRE-jp-trade_balance_gdp-GDPRATIO+PCTRANK
1978,0.6595744680851063,trade_balance_gdp_pctrank,jp,pct_rank,H3-PRE-jp-trade_balance_gdp-GDPRATIO+PCTRANK
1979,0.2553191489361702,trade_balance_gdp_pctrank,jp,pct_rank,H3-PRE-jp-trade_balance_gdp-GDPRATIO+PCTRANK
1980,0.19148936170212766,trade_balance_gdp_pctrank,jp,pct_rank,H3-PRE-jp-trade_balance_gdp-GDPRATIO+PCTRANK
1981,0.5106382978723404,trade_balance_gdp_pctrank,jp,pct_rank,H3-PRE-jp-trade_balance_gdp-GDPRATIO+PCTRANK
1982,0.48936170212765956,trade_balance_gdp_pctrank,jp,pct_rank,H3-PRE-jp-trade_balance_gdp-GDPRATIO+PCTRANK
1983,0.5957446808510638,trade_balance_gdp_pctrank,jp,pct_rank,H3-PRE-jp-trade_balance_gdp-GDPRATIO+PCTRANK
1984,0.851063829787234,trade_balance_gdp_pctrank,jp,pct_rank,H3-PRE-jp-trade_balance_gdp-GDPRATIO+PCTRANK
1985,0.9574468085106383,trade_balance_gdp_pctrank,jp,pct_rank,H3-PRE-jp-trade_balance_gdp-GDPRATIO+PCTRANK
1986,0.9787234042553191,trade_balance_gdp_pctrank,jp,pct_rank,H3-PRE-jp-trade_balance_gdp-GDPRATIO+PCTRANK
1987,0.9361702127659575,trade_balance_gdp_pctrank,jp,pct_rank,H3-PRE-jp-trade_balance_gdp-GDPRATIO+PCTRANK
1988,0.8297872340425532,trade_balance_gdp_pctrank,jp,pct_rank,H3-PRE-jp-trade_balance_gdp-GDPRATIO+PCTRANK
1989,0.7446808510638298,trade_balance_gdp_pctrank,jp,pct_rank,H3-PRE-jp-trade_balance_gdp-GDPRATIO+PCTRANK
1990,0.6170212765957447,trade_balance_gdp_pctrank,jp,pct_rank,H3-PRE-jp-trade_balance_gdp-GDPRATIO+PCTRANK
1991,0.7659574468085106,trade_balance_gdp_pctrank,jp,pct_rank,H3-PRE-jp-trade_balance_gdp-GDPRATIO+PCTRANK
1992,0.9148936170212766,trade_balance_gdp_pctrank,jp,pct_rank,H3-PRE-jp-trade_balance_gdp-GDPRATIO+PCTRANK
1993,0.8936170212765957,trade_balance_gdp_pctrank,jp,pct_rank,H3-PRE-jp-trade_balance_gdp-GDPRATIO+PCTRANK
1994,0.8085106382978723,trade_balance_gdp_pctrank,jp,pct_rank,H3-PRE-jp-trade_balance_gdp-GDPRATIO+PCTRANK
1995,0.7021276595744681,trade_balance_gdp_pctrank,jp,pct_rank,H3-PRE-jp-trade_balance_gdp-GDPRATIO+PCTRANK
1996,0.5319148936170213,trade_balance_gdp_pctrank,jp,pct_rank,H3-PRE-jp-trade_balance_gdp-GDPRATIO+PCTRANK
1997,0.6808510638297872,trade_balance_gdp_pctrank,jp,pct_rank,H3-PRE-jp-trade_balance_gdp-GDPRATIO+PCTRANK
1998,0.8723404255319149,trade_balance_gdp_pctrank,jp,pct_rank,H3-PRE-jp-trade_balance_gdp-GDPRATIO+PCTRANK
1999,0.7872340425531915,trade_balance_gdp_pctrank,jp,pct_rank,H3-PRE-jp-trade_balance_gdp-GDPRATIO+PCTRANK
2000,0.723404255319149,trade_balance_gdp_pctrank,jp,pct_rank,H3-PRE-jp-trade_balance_gdp-GDPRATIO+PCTRANK
2001,1.0,trade_balance_gdp_pctrank,jp,pct_rank,H3-PRE-jp-trade_balance_gdp-GDPRATIO+PCTRANK
