year,value,variable,country,unit,transform_id
1955,0.4930555555555556,unemployment_pctrank,jp,pct_rank,H3-PCTRANK-jp-unemployment
1956,0.4166666666666667,unemployment_pctrank,jp,pct_rank,H3-PCTRANK-jp-unemployment
1957,0.2361111111111111,unemployment_pctrank,jp,pct_rank,H3-PCTRANK-jp-unemployment
1958,0.2916666666666667,unemployment_pctrank,jp,pct_rank,H3-PCTRANK-jp-unemployment
1959,0.3680555555555556,unemployment_pctrank,jp,pct_rank,H3-PCTRANK-jp-unemployment
1960,0.20833333333333334,unemployment_pctrank,jp,pct_rank,H3-PCTRANK-jp-unemployment
1961,0.19444444444444445,unemployment_pctrank,jp,pct_rank,H3-PCTRANK-jp-unemployment
1962,0.1388888888888889,unemployment_pctrank,jp,pct_rank,H3-PCTRANK-jp-unemployment
1963,0.125,unemployment_pctrank,jp,pct_rank,H3-PCTRANK-jp-unemployment
1964,0.027777777777777776,unemployment_pctrank,jp,pct_rank,H3-PCTRANK-jp-unemployment
1965,0.0763888888888889,unemployment_pctrank,jp,pct_rank,H3-PCTRANK-jp-unemployment
1966,0.1527777777777778,unemployment_pctrank,jp,pct_rank,H3-PCTRANK-jp-unemployment
1967,0.10416666666666667,unemployment_pctrank,jp,pct_rank,H3-PCTRANK-jp-unemployment
1968,0.04861111111111111,unemployment_pctrank,jp,pct_rank,H3-PCTRANK-jp-unemployment
1969,0.013888888888888888,unemployment_pctrank,jp,pct_rank,H3-PCTRANK-jp-unemployment
1970,0.04861111111111111,unemployment_pctrank,jp,pct_rank,H3-PCTRANK-jp-unemployment
1971,0.0763888888888889,unemployment_pctrank,jp,pct_rank,H3-PCTRANK-jp-unemployment
1972,0.18055555555555555,unemployment_pctrank,jp,pct_rank,H3-PCTRANK-jp-unemployment
1973,0.10416666666666667,unemployment_pctrank,jp,pct_rank,H3-PCTRANK-jp-unemployment
1974,0.16666666666666666,unemployment_pctrank,jp,pct_rank,H3-PCTRANK-jp-unemployment
1975,0.2222222222222222,unemployment_pctrank,jp,pct_rank,H3-PCTRANK-jp-unemployment
1976,0.2569444444444444,unemployment_pctrank,jp,pct_rank,H3-PCTRANK-jp-unemployment
1977,0.2569444444444444,unemployment_pctrank,jp,pct_rank,H3-PCTRANK-jp-unemployment
1978,0.3888888888888889,unemployment_pctrank,jp,pct_rank,H3-PCTRANK-jp-unemployment
1979,0.3055555555555556,unemployment_pctrank,jp,pct_rank,H3-PCTRANK-jp-unemployment
1980,0.2777777777777778,unemployment_pctrank,jp,pct_rank,H3-PCTRANK-jp-unemployment
1981,0.3680555555555556,unemployment_pctrank,jp,pct_rank,H3-PCTRANK-jp-unemployment
1982,0.4305555555555556,unemployment_pctrank,jp,pct_rank,H3-PCTRANK-jp-unemployment
1983,0.5972222222222222,unemployment_pctrank,jp,pct_rank,H3-PCTRANK-jp-unemployment
1984,0.6111111111111112,unemployment_pctrank,jp,pct_rank,H3-PCTRANK-jp-unemployment
1985,0.5833333333333334,unemployment_pctrank,jp,pct_rank,H3-PCTRANK-jp-unemployment
1986,0.625,unemployment_pctrank,jp,pct_rank,H3-PCTRANK-jp-unemployment
1987,0.6805555555555556,unemployment_pctrank,jp,pct_rank,H3-PCTRANK-jp-unemployment
