year,value,variable,country,unit,transform_id
1955,-0.004466826221699052,unemployment_robustz,jp,robust_z,H3-ROBUSTZ-jp-unemployment
1956,-0.23674178975006258,unemployment_robustz,jp,robust_z,H3-ROBUSTZ-jp-unemployment
1957,-0.6387561497030003,unemployment_robustz,jp,robust_z,H3-ROBUSTZ-jp-unemployment
1958,-0.48688405816522373,unemployment_robustz,jp,robust_z,H3-ROBUSTZ-jp-unemployment
1959,-0.3350119666274479,unemployment_robustz,jp,robust_z,H3-ROBUSTZ-jp-unemployment
1960,-0.9693012901087491,unemployment_robustz,jp,robust_z,H3-ROBUSTZ-jp-unemployment
1961,-1.1569079914201195,unemployment_robustz,jp,robust_z,H3-ROBUSTZ-jp-unemployment
1962,-1.3177137354012947,unemployment_robustz,jp,robust_z,H3-ROBUSTZ-jp-unemployment
1963,-1.3534483451748893,unemployment_robustz,jp,robust_z,H3-ROBUSTZ-jp-unemployment
1964,-1.451718522052274,unemployment_robustz,jp,robust_z,H3-ROBUSTZ-jp-unemployment
1965,-1.380249302505085,unemployment_robustz,jp,robust_z,H3-ROBUSTZ-jp-unemployment
1966,-1.2909127780710987,unemployment_robustz,jp,robust_z,H3-ROBUSTZ-jp-unemployment
1967,-1.3623819976182878,unemployment_robustz,jp,robust_z,H3-ROBUSTZ-jp-unemployment
1968,-1.4427848696088752,unemployment_robustz,jp,robust_z,H3-ROBUSTZ-jp-unemployment
1969,-1.4874531318258681,unemployment_robustz,jp,robust_z,H3-ROBUSTZ-jp-unemployment
1970,-1.4427848696088752,unemployment_robustz,jp,robust_z,H3-ROBUSTZ-jp-unemployment
1971,-1.380249302505085,unemployment_robustz,jp,robust_z,H3-ROBUSTZ-jp-unemployment
1972,-1.1926426011937143,unemployment_robustz,jp,robust_z,H3-ROBUSTZ-jp-unemployment
1973,-1.3623819976182878,unemployment_robustz,jp,robust_z,H3-ROBUSTZ-jp-unemployment
1974,-1.2015762536371128,unemployment_robustz,jp,robust_z,H3-ROBUSTZ-jp-unemployment
1975,-0.6744907594765951,unemployment_robustz,jp,robust_z,H3-ROBUSTZ-jp-unemployment
1976,-0.5494196252690142,unemployment_robustz,jp,robust_z,H3-ROBUSTZ-jp-unemployment
1977,-0.5494196252690142,unemployment_robustz,jp,robust_z,H3-ROBUSTZ-jp-unemployment
1978,-0.3082110092972517,unemployment_robustz,jp,robust_z,H3-ROBUSTZ-jp-unemployment
1979,-0.46901675327842707,unemployment_robustz,jp,robust_z,H3-ROBUSTZ-jp-unemployment
1980,-0.5404859728256157,unemployment_robustz,jp,robust_z,H3-ROBUSTZ-jp-unemployment
1981,-0.3350119666274479,unemployment_robustz,jp,robust_z,H3-ROBUSTZ-jp-unemployment
1982,-0.1831398750896711,unemployment_robustz,jp,robust_z,H3-ROBUSTZ-jp-unemployment
1983,0.14740526531607775,unemployment_robustz,jp,robust_z,H3-ROBUSTZ-jp-unemployment
1984,0.20100717997646875,unemployment_robustz,jp,robust_z,H3-ROBUSTZ-jp-unemployment
1985,0.11167065554248296,unemployment_robustz,jp,robust_z,H3-ROBUSTZ-jp-unemployment
1986,0.26354274708025976,unemployment_robustz,jp,robust_z,H3-ROBUSTZ-jp-unemployment
1987,0.35287927151424553,unemployment_robustz,jp,robust_z,H3-ROBUSTZ-jp-unemployment
1988,-0.004466826221699052,unemployment_robustz,jp,robust_z,H3-ROBUSTZ-jp-unemployment
1989,-0.29034370441045454,unemployment_robustz,jp,robust_z,H3-ROBUSTZ-jp-unemployment
1990,-0.4511494483916294,unemployment_robustz,jp,robust_z,H3-ROBUSTZ-jp-unemployment
1991,-0.460083100835028,unemployment_robustz,jp,robust_z,H3-ROBUSTZ-jp-unemployment
1992,-0.39754753373123797,unemployment_robustz,jp,robust_z,H3-ROBUSTZ-jp-unemployment
1993,-0.02233413110849621,unemployment_robustz,jp,robust_z,H3-ROBUSTZ-jp-unemployment
1994,0.39754753373123797,unemployment_robustz,jp,robust_z,H3-ROBUSTZ-jp-unemployment
1995,0.6744907594765953,unemployment_robustz,jp,robust_z,H3-ROBUSTZ-jp-unemployment
1996,0.9067657230049593,unemployment_robustz,jp,robust_z,H3-ROBUSTZ-jp-unemployment
1997,0.9425003327785536,unemployment_robustz,jp,robust_z,H3-ROBUSTZ-jp-unemployment
1998,1.6929271380240376,unemployment_robustz,jp,robust_z,H3-ROBUSTZ-jp-unemployment
1999,2.300415504175143,unemployment_robustz,jp,robust_z,H3-ROBUSTZ-jp-unemployment
2000,2.3718847237223315,unemployment_robustz,jp,robust_z,H3-ROBUSTZ-jp-unemployment
2001,2.70242986412808,unemployment_robustz,jp,robust_z,H3-ROBUSTZ-jp-unemployment
