year,value,variable,country,unit,transform_id
1955,-2.972542952057301,wage_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-wage_yoy
1956,-2.959269227779915,wage_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-wage_yoy
1957,-2.952478020082177,wage_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-wage_yoy
1958,-2.947538959092974,wage_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-wage_yoy
1959,-2.9333391490622187,wage_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-wage_yoy
1960,-2.919448039448878,wage_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-wage_yoy
1961,-2.8990744070563403,wage_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-wage_yoy
1962,-2.879626854217619,wage_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-wage_yoy
1963,-2.8552402279905946,wage_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-wage_yoy
1964,-2.8290014922523374,wage_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-wage_yoy
1965,-2.805232251361266,wage_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-wage_yoy
1966,-2.769732760381907,wage_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-wage_yoy
1967,-2.7240464408071765,wage_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-wage_yoy
1968,-2.6647777027371955,wage_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-wage_yoy
1969,-2.591000426321067,wage_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-wage_yoy
1970,-2.4974670020411613,wage_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-wage_yoy
1971,-2.4141204001570746,wage_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-wage_yoy
1972,-2.3036089178856343,wage_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-wage_yoy
1973,-2.113763740770886,wage_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-wage_yoy
1974,-1.8516848420232632,wage_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-wage_yoy
1975,-1.706908568149539,wage_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-wage_yoy
1976,-1.5355848271223906,wage_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-wage_yoy
1977,-1.400378055403813,wage_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-wage_yoy
1978,-1.2975838975812306,wage_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-wage_yoy
1979,-1.1663900948989367,wage_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-wage_yoy
1980,-1.0216138830207175,wage_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-wage_yoy
1981,-0.9049285473897399,wage_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-wage_yoy
1982,-0.8046039185118715,wage_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-wage_yoy
1983,-0.7345309572112405,wage_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-wage_yoy
1984,-0.6431583862568351,wage_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-wage_yoy
1985,-0.5662940033739741,wage_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-wage_yoy
1986,-0.5283251353388879,wage_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-wage_yoy
1987,-0.4851082238176363,wage_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-wage_yoy
1988,-0.36595351423070765,wage_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-wage_yoy
1989,-0.20574296343229553,wage_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-wage_yoy
1990,-0.05170592501814269,wage_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-wage_yoy
1991,0.05170592501814262,wage_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-wage_yoy
1992,0.08751393972772818,wage_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-wage_yoy
1993,0.0915269397617643,wage_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-wage_yoy
1994,0.15758690102835923,wage_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-wage_yoy
1995,0.2650113791256509,wage_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-wage_yoy
1996,0.3480496773635537,wage_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-wage_yoy
1997,0.4468306801633372,wage_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-wage_yoy
1998,0.40639188021275513,wage_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-wage_yoy
1999,0.3733623180491159,wage_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-wage_yoy
2000,0.44405263058817296,wage_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-wage_yoy
2001,0.442817463145034,wage_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-wage_yoy
2002,0.39990953722052036,wage_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-wage_yoy
2003,0.4888127032212219,wage_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-wage_yoy
2004,0.5567245012188275,wage_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-wage_yoy
2005,0.5857419312855002,wage_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-wage_yoy
2006,0.63111929316147,wage_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-wage_yoy
2007,0.6193891236673377,wage_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-wage_yoy
2008,0.6215501009838481,wage_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-wage_yoy
2009,0.33601039828167334,wage_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-wage_yoy
2010,0.48109562675438294,wage_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-wage_yoy
2011,0.5607378732258933,wage_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-wage_yoy
2012,0.5341903130792114,wage_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-wage_yoy
2013,0.5292513481830418,wage_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-wage_yoy
2014,0.5990156338644598,wage_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-wage_yoy
2015,0.6054982248387144,wage_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-wage_yoy
2016,0.6317367993886583,wage_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-wage_yoy
2017,0.678658066322485,wage_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-wage_yoy
2018,0.7354567670846119,wage_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-wage_yoy
2019,0.7425569572793123,wage_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-wage_yoy
2020,0.5891370531193181,wage_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-wage_yoy
2021,0.6703234526307053,wage_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-wage_yoy
2022,0.7283572588404662,wage_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-wage_yoy
2023,0.8206557946570052,wage_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-wage_yoy
2024,0.9209802685461114,wage_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-wage_yoy
2025,1.0994040447791975,wage_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-wage_yoy
2026,0.3233542639254072,wage_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-wage_yoy
