year,value,variable,country,unit,transform_id
1884,-0.49545252645644394,dependency_ratio_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-dependency_ratio
1888,-0.5137579407323108,dependency_ratio_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-dependency_ratio
1898,-0.5380152531267072,dependency_ratio_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-dependency_ratio
1908,-0.5834605069085818,dependency_ratio_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-dependency_ratio
1920,-0.5169342754929446,dependency_ratio_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-dependency_ratio
1930,-0.6939642817072672,dependency_ratio_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-dependency_ratio
1940,-0.6744907594765952,dependency_ratio_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-dependency_ratio
1947,-0.7131553608287098,dependency_ratio_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-dependency_ratio
1950,-0.6610471793572985,dependency_ratio_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-dependency_ratio
1955,-0.5839060368750659,dependency_ratio_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-dependency_ratio
1960,-0.5369845818604199,dependency_ratio_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-dependency_ratio
1965,-0.47533167791233666,dependency_ratio_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-dependency_ratio
1970,-0.28039629116384546,dependency_ratio_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-dependency_ratio
1975,0.0,dependency_ratio_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-dependency_ratio
1980,0.3501382213042323,dependency_ratio_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-dependency_ratio
1985,0.6606383326561084,dependency_ratio_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-dependency_ratio
1990,1.0912415634422992,dependency_ratio_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-dependency_ratio
1995,1.7892554396884923,dependency_ratio_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-dependency_ratio
2000,2.673081262528627,dependency_ratio_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-dependency_ratio
2005,3.640911177571373,dependency_ratio_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-dependency_ratio
2010,4.716396483695346,dependency_ratio_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-dependency_ratio
2015,6.219243914223588,dependency_ratio_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-dependency_ratio
2020,7.106646976548103,dependency_ratio_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-dependency_ratio
2021,7.135681597432689,dependency_ratio_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-dependency_ratio
2022,7.178892536013891,dependency_ratio_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-dependency_ratio
2023,7.209216760089001,dependency_ratio_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-dependency_ratio
2024,7.2421831617639025,dependency_ratio_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-dependency_ratio
