year,value,variable,country,unit,transform_id
1888,-0.23973770262661281,working_age_growth_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-working_age_growth
1898,1.0413502974935207,working_age_growth_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-working_age_growth
1908,0.9171673413644482,working_age_growth_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-working_age_growth
1920,0.5708290164185309,working_age_growth_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-working_age_growth
1930,1.5553947153966448,working_age_growth_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-working_age_growth
1940,0.9354804436965725,working_age_growth_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-working_age_growth
1947,0.9071904659614699,working_age_growth_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-working_age_growth
1950,0.2363760597555372,working_age_growth_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-working_age_growth
1955,0.7831812808701283,working_age_growth_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-working_age_growth
1960,0.7055797463825664,working_age_growth_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-working_age_growth
1965,0.9621706668797182,working_age_growth_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-working_age_growth
1970,0.3418576520443722,working_age_growth_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-working_age_growth
1975,0.20687442505881737,working_age_growth_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-working_age_growth
1980,-0.05286860771420805,working_age_growth_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-working_age_growth
1985,0.036176605173284734,working_age_growth_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-working_age_growth
1990,-0.036176605173284734,working_age_growth_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-working_age_growth
1995,-0.39259174211146375,working_age_growth_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-working_age_growth
2000,-0.735761545058311,working_age_growth_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-working_age_growth
2005,-0.921858144631192,working_age_growth_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-working_age_growth
2010,-1.0792880278480592,working_age_growth_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-working_age_growth
2015,-1.3770486236834236,working_age_growth_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-working_age_growth
2020,-1.1832713112132551,working_age_growth_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-working_age_growth
2021,-0.2984481338759964,working_age_growth_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-working_age_growth
2022,-0.643401772570624,working_age_growth_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-working_age_growth
2023,-0.6363667352093231,working_age_growth_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-working_age_growth
2024,-0.6307087396371452,working_age_growth_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-working_age_growth
