year,value,variable,country,unit,transform_id
1884,0.6989395428094002,youth_dependency_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-youth_dependency
1888,0.9239893240776103,youth_dependency_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-youth_dependency
1898,0.8220541913516327,youth_dependency_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-youth_dependency
1908,0.9701486564698459,youth_dependency_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-youth_dependency
1920,1.242623474106647,youth_dependency_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-youth_dependency
1930,1.2314449283597229,youth_dependency_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-youth_dependency
1940,1.2451894604472948,youth_dependency_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-youth_dependency
1947,1.0777689012027745,youth_dependency_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-youth_dependency
1950,1.0922581812647643,youth_dependency_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-youth_dependency
1955,0.8764511342623521,youth_dependency_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-youth_dependency
1960,0.5326904419032329,youth_dependency_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-youth_dependency
1965,0.12145248761853779,youth_dependency_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-youth_dependency
1970,-0.00925089116402944,youth_dependency_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-youth_dependency
1975,0.04555716831423585,youth_dependency_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-youth_dependency
1980,0.0,youth_dependency_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-youth_dependency
1985,-0.14965669685641816,youth_dependency_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-youth_dependency
1990,-0.39066341424351486,youth_dependency_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-youth_dependency
1995,-0.5347477366248187,youth_dependency_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-youth_dependency
2000,-0.6036276733729947,youth_dependency_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-youth_dependency
2005,-0.6300158812865329,youth_dependency_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-youth_dependency
2010,-0.6344648383885376,youth_dependency_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-youth_dependency
2015,-0.630497928319766,youth_dependency_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-youth_dependency
2020,-0.644636814614167,youth_dependency_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-youth_dependency
2021,-0.6744907594765952,youth_dependency_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-youth_dependency
2022,-0.6879152382819607,youth_dependency_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-youth_dependency
2023,-0.7048835083407813,youth_dependency_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-youth_dependency
2024,-0.7231253728899416,youth_dependency_robustz,jp,robust_z_anchor,H3-ANCHOR-jp-youth_dependency
