year,value,variable,country,unit,transform_id
1964,-2.6956143662216716,credit_gdp_robustz,jp,robust_z,H3-PROXY_STOCK-jp-credit_gdp
1965,-2.6756294222430164,credit_gdp_robustz,jp,robust_z,H3-PROXY_STOCK-jp-credit_gdp
1966,-2.6542157495196244,credit_gdp_robustz,jp,robust_z,H3-PROXY_STOCK-jp-credit_gdp
1967,-2.6274895205282043,credit_gdp_robustz,jp,robust_z,H3-PROXY_STOCK-jp-credit_gdp
1968,-2.5990865149071856,credit_gdp_robustz,jp,robust_z,H3-PROXY_STOCK-jp-credit_gdp
1969,-2.5599095003390064,credit_gdp_robustz,jp,robust_z,H3-PROXY_STOCK-jp-credit_gdp
1970,-2.5161603507471106,credit_gdp_robustz,jp,robust_z,H3-PROXY_STOCK-jp-credit_gdp
1971,-2.452386325866309,credit_gdp_robustz,jp,robust_z,H3-PROXY_STOCK-jp-credit_gdp
1972,-2.375213992792627,credit_gdp_robustz,jp,robust_z,H3-PROXY_STOCK-jp-credit_gdp
1973,-2.28908486378913,credit_gdp_robustz,jp,robust_z,H3-PROXY_STOCK-jp-credit_gdp
1974,-2.2172010605171386,credit_gdp_robustz,jp,robust_z,H3-PROXY_STOCK-jp-credit_gdp
1975,-2.132757168166599,credit_gdp_robustz,jp,robust_z,H3-PROXY_STOCK-jp-credit_gdp
1976,-2.0447329939308614,credit_gdp_robustz,jp,robust_z,H3-PROXY_STOCK-jp-credit_gdp
1977,-1.967159317349065,credit_gdp_robustz,jp,robust_z,H3-PROXY_STOCK-jp-credit_gdp
1978,-1.8899494217716724,credit_gdp_robustz,jp,robust_z,H3-PROXY_STOCK-jp-credit_gdp
1979,-1.7975937155765258,credit_gdp_robustz,jp,robust_z,H3-PROXY_STOCK-jp-credit_gdp
1980,-1.7004361001232535,credit_gdp_robustz,jp,robust_z,H3-PROXY_STOCK-jp-credit_gdp
1981,-1.5912104305499477,credit_gdp_robustz,jp,robust_z,H3-PROXY_STOCK-jp-credit_gdp
1982,-1.4778088934470246,credit_gdp_robustz,jp,robust_z,H3-PROXY_STOCK-jp-credit_gdp
1983,-1.3567977345338498,credit_gdp_robustz,jp,robust_z,H3-PROXY_STOCK-jp-credit_gdp
1984,-1.2347267038943575,credit_gdp_robustz,jp,robust_z,H3-PROXY_STOCK-jp-credit_gdp
1985,-1.1042758509180808,credit_gdp_robustz,jp,robust_z,H3-PROXY_STOCK-jp-credit_gdp
1986,-0.9501890462826752,credit_gdp_robustz,jp,robust_z,H3-PROXY_STOCK-jp-credit_gdp
1987,-0.692180329917699,credit_gdp_robustz,jp,robust_z,H3-PROXY_STOCK-jp-credit_gdp
1988,-0.45751789401206644,credit_gdp_robustz,jp,robust_z,H3-PROXY_STOCK-jp-credit_gdp
1989,-0.14686076028421596,credit_gdp_robustz,jp,robust_z,H3-PROXY_STOCK-jp-credit_gdp
1990,0.14830742427847118,credit_gdp_robustz,jp,robust_z,H3-PROXY_STOCK-jp-credit_gdp
1991,0.32163164522860027,credit_gdp_robustz,jp,robust_z,H3-PROXY_STOCK-jp-credit_gdp
1992,0.4409064689477339,credit_gdp_robustz,jp,robust_z,H3-PROXY_STOCK-jp-credit_gdp
1993,0.5203308602393741,credit_gdp_robustz,jp,robust_z,H3-PROXY_STOCK-jp-credit_gdp
1994,0.5724601705689883,credit_gdp_robustz,jp,robust_z,H3-PROXY_STOCK-jp-credit_gdp
1995,0.6142401651240244,credit_gdp_robustz,jp,robust_z,H3-PROXY_STOCK-jp-credit_gdp
1996,0.6409978654023365,credit_gdp_robustz,jp,robust_z,H3-PROXY_STOCK-jp-credit_gdp
1997,0.9907125581685482,credit_gdp_robustz,jp,robust_z,H3-PROXY_STOCK-jp-credit_gdp
1998,0.8141136313769192,credit_gdp_robustz,jp,robust_z,H3-PROXY_STOCK-jp-credit_gdp
1999,0.7069569451160997,credit_gdp_robustz,jp,robust_z,H3-PROXY_STOCK-jp-credit_gdp
2000,0.5955374222855406,credit_gdp_robustz,jp,robust_z,H3-PROXY_STOCK-jp-credit_gdp
2001,0.4861977115973658,credit_gdp_robustz,jp,robust_z,H3-PROXY_STOCK-jp-credit_gdp
2002,0.3745900378473196,credit_gdp_robustz,jp,robust_z,H3-PROXY_STOCK-jp-credit_gdp
2003,0.2301107741384429,credit_gdp_robustz,jp,robust_z,H3-PROXY_STOCK-jp-credit_gdp
2004,0.13370068634910293,credit_gdp_robustz,jp,robust_z,H3-PROXY_STOCK-jp-credit_gdp
2005,0.1505939993917307,credit_gdp_robustz,jp,robust_z,H3-PROXY_STOCK-jp-credit_gdp
2006,0.14818018552716364,credit_gdp_robustz,jp,robust_z,H3-PROXY_STOCK-jp-credit_gdp
2007,0.13028419051611947,credit_gdp_robustz,jp,robust_z,H3-PROXY_STOCK-jp-credit_gdp
2008,0.15882323331273854,credit_gdp_robustz,jp,robust_z,H3-PROXY_STOCK-jp-credit_gdp
2009,0.08266610304204282,credit_gdp_robustz,jp,robust_z,H3-PROXY_STOCK-jp-credit_gdp
2010,-0.007260899647425908,credit_gdp_robustz,jp,robust_z,H3-PROXY_STOCK-jp-credit_gdp
2011,-0.04977184022061251,credit_gdp_robustz,jp,robust_z,H3-PROXY_STOCK-jp-credit_gdp
2012,-0.06532779277077305,credit_gdp_robustz,jp,robust_z,H3-PROXY_STOCK-jp-credit_gdp
2013,-0.042134807934680066,credit_gdp_robustz,jp,robust_z,H3-PROXY_STOCK-jp-credit_gdp
2014,-0.021515362204157975,credit_gdp_robustz,jp,robust_z,H3-PROXY_STOCK-jp-credit_gdp
2015,0.007260899647425515,credit_gdp_robustz,jp,robust_z,H3-PROXY_STOCK-jp-credit_gdp
2016,0.07699348817988903,credit_gdp_robustz,jp,robust_z,H3-PROXY_STOCK-jp-credit_gdp
