year,value,variable,country,unit,source_note
1978,18.25,birth_rate,cn,pct,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CBR 2013-2025; 2020=8.52 census-revised (7th census, official)"
1980,18.21,birth_rate,cn,pct,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CBR 2013-2025; 2020=8.52 census-revised (7th census, official)"
1981,20.91,birth_rate,cn,pct,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CBR 2013-2025; 2020=8.52 census-revised (7th census, official)"
1982,22.28,birth_rate,cn,pct,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CBR 2013-2025; 2020=8.52 census-revised (7th census, official)"
1983,20.19,birth_rate,cn,pct,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CBR 2013-2025; 2020=8.52 census-revised (7th census, official)"
1984,19.9,birth_rate,cn,pct,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CBR 2013-2025; 2020=8.52 census-revised (7th census, official)"
1985,21.04,birth_rate,cn,pct,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CBR 2013-2025; 2020=8.52 census-revised (7th census, official)"
1986,22.43,birth_rate,cn,pct,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CBR 2013-2025; 2020=8.52 census-revised (7th census, official)"
1987,23.33,birth_rate,cn,pct,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CBR 2013-2025; 2020=8.52 census-revised (7th census, official)"
1988,22.37,birth_rate,cn,pct,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CBR 2013-2025; 2020=8.52 census-revised (7th census, official)"
1989,21.58,birth_rate,cn,pct,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CBR 2013-2025; 2020=8.52 census-revised (7th census, official)"
1990,21.06,birth_rate,cn,pct,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CBR 2013-2025; 2020=8.52 census-revised (7th census, official)"
1991,19.68,birth_rate,cn,pct,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CBR 2013-2025; 2020=8.52 census-revised (7th census, official)"
1992,18.24,birth_rate,cn,pct,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CBR 2013-2025; 2020=8.52 census-revised (7th census, official)"
1993,18.09,birth_rate,cn,pct,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CBR 2013-2025; 2020=8.52 census-revised (7th census, official)"
1994,17.7,birth_rate,cn,pct,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CBR 2013-2025; 2020=8.52 census-revised (7th census, official)"
1995,17.12,birth_rate,cn,pct,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CBR 2013-2025; 2020=8.52 census-revised (7th census, official)"
1996,16.98,birth_rate,cn,pct,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CBR 2013-2025; 2020=8.52 census-revised (7th census, official)"
1997,16.57,birth_rate,cn,pct,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CBR 2013-2025; 2020=8.52 census-revised (7th census, official)"
1998,15.64,birth_rate,cn,pct,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CBR 2013-2025; 2020=8.52 census-revised (7th census, official)"
1999,14.64,birth_rate,cn,pct,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CBR 2013-2025; 2020=8.52 census-revised (7th census, official)"
2000,14.03,birth_rate,cn,pct,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CBR 2013-2025; 2020=8.52 census-revised (7th census, official)"
2001,13.38,birth_rate,cn,pct,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CBR 2013-2025; 2020=8.52 census-revised (7th census, official)"
2002,12.86,birth_rate,cn,pct,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CBR 2013-2025; 2020=8.52 census-revised (7th census, official)"
2003,12.41,birth_rate,cn,pct,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CBR 2013-2025; 2020=8.52 census-revised (7th census, official)"
2004,12.29,birth_rate,cn,pct,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CBR 2013-2025; 2020=8.52 census-revised (7th census, official)"
2005,12.4,birth_rate,cn,pct,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CBR 2013-2025; 2020=8.52 census-revised (7th census, official)"
