year,value,variable,country,unit,source_note
2001,-20.6179948685302,equity_return,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); Tencent SH000001 2008 calendar return from 2007 close 5248.69 (cross-verified) to 2008 close 1820.8; B-grade
2002,-17.516722662016925,equity_return,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); Tencent SH000001 2008 calendar return from 2007 close 5248.69 (cross-verified) to 2008 close 1820.8; B-grade
2003,10.26700548742312,equity_return,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); Tencent SH000001 2008 calendar return from 2007 close 5248.69 (cross-verified) to 2008 close 1820.8; B-grade
2004,-15.399722118313475,equity_return,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); Tencent SH000001 2008 calendar return from 2007 close 5248.69 (cross-verified) to 2008 close 1820.8; B-grade
2005,-8.325305961310702,equity_return,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); Tencent SH000001 2008 calendar return from 2007 close 5248.69 (cross-verified) to 2008 close 1820.8; B-grade
2006,130.4333970681963,equity_return,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); Tencent SH000001 2008 calendar return from 2007 close 5248.69 (cross-verified) to 2008 close 1820.8; B-grade
2007,96.65927855666484,equity_return,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); Tencent SH000001 2008 calendar return from 2007 close 5248.69 (cross-verified) to 2008 close 1820.8; B-grade
2008,-65.3094,equity_return,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); Tencent SH000001 2008 calendar return from 2007 close 5248.69 (cross-verified) to 2008 close 1820.8; B-grade
2009,79.98248032469067,equity_return,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); Tencent SH000001 2008 calendar return from 2007 close 5248.69 (cross-verified) to 2008 close 1820.8; B-grade
2010,-14.313063925576552,equity_return,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); Tencent SH000001 2008 calendar return from 2007 close 5248.69 (cross-verified) to 2008 close 1820.8; B-grade
2011,-21.6753083957722,equity_return,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); Tencent SH000001 2008 calendar return from 2007 close 5248.69 (cross-verified) to 2008 close 1820.8; B-grade
2012,3.169471951696368,equity_return,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); Tencent SH000001 2008 calendar return from 2007 close 5248.69 (cross-verified) to 2008 close 1820.8; B-grade
2013,-6.749282764760068,equity_return,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); Tencent SH000001 2008 calendar return from 2007 close 5248.69 (cross-verified) to 2008 close 1820.8; B-grade
2014,52.86911974593331,equity_return,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); Tencent SH000001 2008 calendar return from 2007 close 5248.69 (cross-verified) to 2008 close 1820.8; B-grade
2015,9.413605055214113,equity_return,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); Tencent SH000001 2008 calendar return from 2007 close 5248.69 (cross-verified) to 2008 close 1820.8; B-grade
2016,-12.306240428573844,equity_return,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); Tencent SH000001 2008 calendar return from 2007 close 5248.69 (cross-verified) to 2008 close 1820.8; B-grade
2017,6.557783763580827,equity_return,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); Tencent SH000001 2008 calendar return from 2007 close 5248.69 (cross-verified) to 2008 close 1820.8; B-grade
2018,-24.591115666869257,equity_return,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); Tencent SH000001 2008 calendar return from 2007 close 5248.69 (cross-verified) to 2008 close 1820.8; B-grade
2019,22.30321985644972,equity_return,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); Tencent SH000001 2008 calendar return from 2007 close 5248.69 (cross-verified) to 2008 close 1820.8; B-grade
2020,13.86666754094923,equity_return,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); Tencent SH000001 2008 calendar return from 2007 close 5248.69 (cross-verified) to 2008 close 1820.8; B-grade
2021,4.800076013440568,equity_return,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); Tencent SH000001 2008 calendar return from 2007 close 5248.69 (cross-verified) to 2008 close 1820.8; B-grade
2022,-15.1250899779657,equity_return,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); Tencent SH000001 2008 calendar return from 2007 close 5248.69 (cross-verified) to 2008 close 1820.8; B-grade
2023,-3.700886296394623,equity_return,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); Tencent SH000001 2008 calendar return from 2007 close 5248.69 (cross-verified) to 2008 close 1820.8; B-grade
2024,12.666852665440874,equity_return,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); Tencent SH000001 2008 calendar return from 2007 close 5248.69 (cross-verified) to 2008 close 1820.8; B-grade
2025,18.41062605914505,equity_return,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); Tencent SH000001 2008 calendar return from 2007 close 5248.69 (cross-verified) to 2008 close 1820.8; B-grade
