year,value,variable,country,unit,source_note
1980,84.78682170542633,export_yoy,cn,pct,B2-FIXED export_yoy: 2001-2012 USD-export-corrected (H2 total-growth bug fixed); 2013+ RMB gongbao
1985,82.48557944415313,export_yoy,cn,pct,B2-FIXED export_yoy: 2001-2012 USD-export-corrected (H2 total-growth bug fixed); 2013+ RMB gongbao
1990,65.86206896551725,export_yoy,cn,pct,B2-FIXED export_yoy: 2001-2012 USD-export-corrected (H2 total-growth bug fixed); 2013+ RMB gongbao
1991,17.550242550242533,export_yoy,cn,pct,B2-FIXED export_yoy: 2001-2012 USD-export-corrected (H2 total-growth bug fixed); 2013+ RMB gongbao
1992,21.98231392778187,export_yoy,cn,pct,B2-FIXED export_yoy: 2001-2012 USD-export-corrected (H2 total-growth bug fixed); 2013+ RMB gongbao
1993,18.226303389113752,export_yoy,cn,pct,B2-FIXED export_yoy: 2001-2012 USD-export-corrected (H2 total-growth bug fixed); 2013+ RMB gongbao
1994,20.909555442003057,export_yoy,cn,pct,B2-FIXED export_yoy: 2001-2012 USD-export-corrected (H2 total-growth bug fixed); 2013+ RMB gongbao
1995,18.69664440875667,export_yoy,cn,pct,B2-FIXED export_yoy: 2001-2012 USD-export-corrected (H2 total-growth bug fixed); 2013+ RMB gongbao
1996,3.211564480524109,export_yoy,cn,pct,B2-FIXED export_yoy: 2001-2012 USD-export-corrected (H2 total-growth bug fixed); 2013+ RMB gongbao
1997,12.170553332413393,export_yoy,cn,pct,B2-FIXED export_yoy: 2001-2012 USD-export-corrected (H2 total-growth bug fixed); 2013+ RMB gongbao
1998,-0.3721244925575129,export_yoy,cn,pct,B2-FIXED export_yoy: 2001-2012 USD-export-corrected (H2 total-growth bug fixed); 2013+ RMB gongbao
1999,11.322734989967586,export_yoy,cn,pct,B2-FIXED export_yoy: 2001-2012 USD-export-corrected (H2 total-growth bug fixed); 2013+ RMB gongbao
2000,31.51706735435209,export_yoy,cn,pct,B2-FIXED export_yoy: 2001-2012 USD-export-corrected (H2 total-growth bug fixed); 2013+ RMB gongbao
2001,6.781701444622801,export_yoy,cn,pct,B2-FIXED export_yoy: 2001-2012 USD-export-corrected (H2 total-growth bug fixed); 2013+ RMB gongbao
2002,22.360015031942872,export_yoy,cn,pct,B2-FIXED export_yoy: 2001-2012 USD-export-corrected (H2 total-growth bug fixed); 2013+ RMB gongbao
2003,34.59090909090907,export_yoy,cn,pct,B2-FIXED export_yoy: 2001-2012 USD-export-corrected (H2 total-growth bug fixed); 2013+ RMB gongbao
2004,35.39299177597051,export_yoy,cn,pct,B2-FIXED export_yoy: 2001-2012 USD-export-corrected (H2 total-growth bug fixed); 2013+ RMB gongbao
2005,28.419260782363946,export_yoy,cn,pct,B2-FIXED export_yoy: 2001-2012 USD-export-corrected (H2 total-growth bug fixed); 2013+ RMB gongbao
2006,27.171074217468338,export_yoy,cn,pct,B2-FIXED export_yoy: 2001-2012 USD-export-corrected (H2 total-growth bug fixed); 2013+ RMB gongbao
2007,25.95306404672957,export_yoy,cn,pct,B2-FIXED export_yoy: 2001-2012 USD-export-corrected (H2 total-growth bug fixed); 2013+ RMB gongbao
2008,17.225472362879568,export_yoy,cn,pct,B2-FIXED export_yoy: 2001-2012 USD-export-corrected (H2 total-growth bug fixed); 2013+ RMB gongbao
2009,-16.01185441989529,export_yoy,cn,pct,B2-FIXED export_yoy: 2001-2012 USD-export-corrected (H2 total-growth bug fixed); 2013+ RMB gongbao
2010,31.30336090744916,export_yoy,cn,pct,B2-FIXED export_yoy: 2001-2012 USD-export-corrected (H2 total-growth bug fixed); 2013+ RMB gongbao
2011,20.321741223822933,export_yoy,cn,pct,B2-FIXED export_yoy: 2001-2012 USD-export-corrected (H2 total-growth bug fixed); 2013+ RMB gongbao
