year,value,variable,country,unit,source_note
1999,8.758333333333333,iip_yoy,cn,pct,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 规模以上工业增加值 YoY 2013-2025; BREAK vs OECD CHNPRINTO01 (2000-2012), similar concept"
2000,11.491666666666667,iip_yoy,cn,pct,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 规模以上工业增加值 YoY 2013-2025; BREAK vs OECD CHNPRINTO01 (2000-2012), similar concept"
2001,9.691666666666665,iip_yoy,cn,pct,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 规模以上工业增加值 YoY 2013-2025; BREAK vs OECD CHNPRINTO01 (2000-2012), similar concept"
2002,12.708333333333334,iip_yoy,cn,pct,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 规模以上工业增加值 YoY 2013-2025; BREAK vs OECD CHNPRINTO01 (2000-2012), similar concept"
2003,16.675,iip_yoy,cn,pct,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 规模以上工业增加值 YoY 2013-2025; BREAK vs OECD CHNPRINTO01 (2000-2012), similar concept"
2004,16.25,iip_yoy,cn,pct,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 规模以上工业增加值 YoY 2013-2025; BREAK vs OECD CHNPRINTO01 (2000-2012), similar concept"
2005,15.899999999999997,iip_yoy,cn,pct,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 规模以上工业增加值 YoY 2013-2025; BREAK vs OECD CHNPRINTO01 (2000-2012), similar concept"
2006,16.79090909090909,iip_yoy,cn,pct,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 规模以上工业增加值 YoY 2013-2025; BREAK vs OECD CHNPRINTO01 (2000-2012), similar concept"
2007,17.463636363636365,iip_yoy,cn,pct,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 规模以上工业增加值 YoY 2013-2025; BREAK vs OECD CHNPRINTO01 (2000-2012), similar concept"
2008,12.645454545454548,iip_yoy,cn,pct,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 规模以上工业增加值 YoY 2013-2025; BREAK vs OECD CHNPRINTO01 (2000-2012), similar concept"
2009,12.333333333333334,iip_yoy,cn,pct,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 规模以上工业增加值 YoY 2013-2025; BREAK vs OECD CHNPRINTO01 (2000-2012), similar concept"
2010,14.35,iip_yoy,cn,pct,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 规模以上工业增加值 YoY 2013-2025; BREAK vs OECD CHNPRINTO01 (2000-2012), similar concept"
2011,13.841666666666669,iip_yoy,cn,pct,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 规模以上工业增加值 YoY 2013-2025; BREAK vs OECD CHNPRINTO01 (2000-2012), similar concept"
2012,10.033333333333331,iip_yoy,cn,pct,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 规模以上工业增加值 YoY 2013-2025; BREAK vs OECD CHNPRINTO01 (2000-2012), similar concept"
2013,9.7,iip_yoy,cn,pct,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 规模以上工业增加值 YoY 2013-2025; BREAK vs OECD CHNPRINTO01 (2000-2012), similar concept"
2014,8.3,iip_yoy,cn,pct,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 规模以上工业增加值 YoY 2013-2025; BREAK vs OECD CHNPRINTO01 (2000-2012), similar concept"
2015,6.1,iip_yoy,cn,pct,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 规模以上工业增加值 YoY 2013-2025; BREAK vs OECD CHNPRINTO01 (2000-2012), similar concept"
2016,6.0,iip_yoy,cn,pct,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 规模以上工业增加值 YoY 2013-2025; BREAK vs OECD CHNPRINTO01 (2000-2012), similar concept"
2017,6.6,iip_yoy,cn,pct,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 规模以上工业增加值 YoY 2013-2025; BREAK vs OECD CHNPRINTO01 (2000-2012), similar concept"
2018,6.2,iip_yoy,cn,pct,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 规模以上工业增加值 YoY 2013-2025; BREAK vs OECD CHNPRINTO01 (2000-2012), similar concept"
2019,5.7,iip_yoy,cn,pct,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 规模以上工业增加值 YoY 2013-2025; BREAK vs OECD CHNPRINTO01 (2000-2012), similar concept"
2020,2.8,iip_yoy,cn,pct,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 规模以上工业增加值 YoY 2013-2025; BREAK vs OECD CHNPRINTO01 (2000-2012), similar concept"
2021,9.6,iip_yoy,cn,pct,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 规模以上工业增加值 YoY 2013-2025; BREAK vs OECD CHNPRINTO01 (2000-2012), similar concept"
2022,3.6,iip_yoy,cn,pct,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 规模以上工业增加值 YoY 2013-2025; BREAK vs OECD CHNPRINTO01 (2000-2012), similar concept"
2023,4.6,iip_yoy,cn,pct,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 规模以上工业增加值 YoY 2013-2025; BREAK vs OECD CHNPRINTO01 (2000-2012), similar concept"
2024,5.8,iip_yoy,cn,pct,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 规模以上工业增加值 YoY 2013-2025; BREAK vs OECD CHNPRINTO01 (2000-2012), similar concept"
2025,5.9,iip_yoy,cn,pct,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 规模以上工业增加值 YoY 2013-2025; BREAK vs OECD CHNPRINTO01 (2000-2012), similar concept"
