year,value,variable,country,unit,source_note
1991,26.524513842573,m2_yoy,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 M2 year-end growth 2013-2025 (year-end not annual avg)
1992,31.278197820144,m2_yoy,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 M2 year-end growth 2013-2025 (year-end not annual avg)
1994,34.529154410289,m2_yoy,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 M2 year-end growth 2013-2025 (year-end not annual avg)
1995,29.467111362111,m2_yoy,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 M2 year-end growth 2013-2025 (year-end not annual avg)
1996,25.25806371964,m2_yoy,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 M2 year-end growth 2013-2025 (year-end not annual avg)
1997,17.32,m2_yoy,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 M2 year-end growth 2013-2025 (year-end not annual avg)
1998,14.839447751697,m2_yoy,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 M2 year-end growth 2013-2025 (year-end not annual avg)
1999,14.736479470997,m2_yoy,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 M2 year-end growth 2013-2025 (year-end not annual avg)
2000,12.270857120934,m2_yoy,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 M2 year-end growth 2013-2025 (year-end not annual avg)
2001,14.42,m2_yoy,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 M2 year-end growth 2013-2025 (year-end not annual avg)
2002,16.78,m2_yoy,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 M2 year-end growth 2013-2025 (year-end not annual avg)
2003,19.5753868084,m2_yoy,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 M2 year-end growth 2013-2025 (year-end not annual avg)
2004,14.67,m2_yoy,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 M2 year-end growth 2013-2025 (year-end not annual avg)
2005,17.570826462868,m2_yoy,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 M2 year-end growth 2013-2025 (year-end not annual avg)
2006,16.95,m2_yoy,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 M2 year-end growth 2013-2025 (year-end not annual avg)
2007,16.735537961281,m2_yoy,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 M2 year-end growth 2013-2025 (year-end not annual avg)
2008,17.82,m2_yoy,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 M2 year-end growth 2013-2025 (year-end not annual avg)
2009,27.68,m2_yoy,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 M2 year-end growth 2013-2025 (year-end not annual avg)
2010,19.7331,m2_yoy,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 M2 year-end growth 2013-2025 (year-end not annual avg)
2011,13.61,m2_yoy,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 M2 year-end growth 2013-2025 (year-end not annual avg)
2012,13.84,m2_yoy,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 M2 year-end growth 2013-2025 (year-end not annual avg)
