year,value,variable,country,unit,source_note
2000,,wage_yoy,cn,pct,CN wage_yoy 2000-2012 (H2 城镇单位) + 2013-2025 (NBS 非私营官方名义增速 full chain)
2001,16.47,wage_yoy,cn,pct,CN wage_yoy 2000-2012 (H2 城镇单位) + 2013-2025 (NBS 非私营官方名义增速 full chain)
2002,13.83,wage_yoy,cn,pct,CN wage_yoy 2000-2012 (H2 城镇单位) + 2013-2025 (NBS 非私营官方名义增速 full chain)
2003,12.09,wage_yoy,cn,pct,CN wage_yoy 2000-2012 (H2 城镇单位) + 2013-2025 (NBS 非私营官方名义增速 full chain)
2004,14.79,wage_yoy,cn,pct,CN wage_yoy 2000-2012 (H2 城镇单位) + 2013-2025 (NBS 非私营官方名义增速 full chain)
2005,14.95,wage_yoy,cn,pct,CN wage_yoy 2000-2012 (H2 城镇单位) + 2013-2025 (NBS 非私营官方名义增速 full chain)
2006,13.97,wage_yoy,cn,pct,CN wage_yoy 2000-2012 (H2 城镇单位) + 2013-2025 (NBS 非私营官方名义增速 full chain)
2007,18.53,wage_yoy,cn,pct,CN wage_yoy 2000-2012 (H2 城镇单位) + 2013-2025 (NBS 非私营官方名义增速 full chain)
2008,16.9,wage_yoy,cn,pct,CN wage_yoy 2000-2012 (H2 城镇单位) + 2013-2025 (NBS 非私营官方名义增速 full chain)
2009,11.58,wage_yoy,cn,pct,CN wage_yoy 2000-2012 (H2 城镇单位) + 2013-2025 (NBS 非私营官方名义增速 full chain)
2010,13.32,wage_yoy,cn,pct,CN wage_yoy 2000-2012 (H2 城镇单位) + 2013-2025 (NBS 非私营官方名义增速 full chain)
2011,14.4,wage_yoy,cn,pct,CN wage_yoy 2000-2012 (H2 城镇单位) + 2013-2025 (NBS 非私营官方名义增速 full chain)
2012,11.89,wage_yoy,cn,pct,CN wage_yoy 2000-2012 (H2 城镇单位) + 2013-2025 (NBS 非私营官方名义增速 full chain)
2013,10.1,wage_yoy,cn,pct,CN wage_yoy 2000-2012 (H2 城镇单位) + 2013-2025 (NBS 非私营官方名义增速 full chain)
2014,9.5,wage_yoy,cn,pct,CN wage_yoy 2000-2012 (H2 城镇单位) + 2013-2025 (NBS 非私营官方名义增速 full chain)
2015,10.1,wage_yoy,cn,pct,CN wage_yoy 2000-2012 (H2 城镇单位) + 2013-2025 (NBS 非私营官方名义增速 full chain)
2016,8.9,wage_yoy,cn,pct,CN wage_yoy 2000-2012 (H2 城镇单位) + 2013-2025 (NBS 非私营官方名义增速 full chain)
2017,10.0,wage_yoy,cn,pct,CN wage_yoy 2000-2012 (H2 城镇单位) + 2013-2025 (NBS 非私营官方名义增速 full chain)
2018,11.0,wage_yoy,cn,pct,CN wage_yoy 2000-2012 (H2 城镇单位) + 2013-2025 (NBS 非私营官方名义增速 full chain)
2019,9.8,wage_yoy,cn,pct,CN wage_yoy 2000-2012 (H2 城镇单位) + 2013-2025 (NBS 非私营官方名义增速 full chain)
2020,7.6,wage_yoy,cn,pct,CN wage_yoy 2000-2012 (H2 城镇单位) + 2013-2025 (NBS 非私营官方名义增速 full chain)
2021,9.7,wage_yoy,cn,pct,CN wage_yoy 2000-2012 (H2 城镇单位) + 2013-2025 (NBS 非私营官方名义增速 full chain)
2022,6.7,wage_yoy,cn,pct,CN wage_yoy 2000-2012 (H2 城镇单位) + 2013-2025 (NBS 非私营官方名义增速 full chain)
2023,5.8,wage_yoy,cn,pct,CN wage_yoy 2000-2012 (H2 城镇单位) + 2013-2025 (NBS 非私营官方名义增速 full chain)
2024,2.8,wage_yoy,cn,pct,CN wage_yoy 2000-2012 (H2 城镇单位) + 2013-2025 (NBS 非私营官方名义增速 full chain)
2025,4.3,wage_yoy,cn,pct,CN wage_yoy 2000-2012 (H2 城镇单位) + 2013-2025 (NBS 非私营官方名义增速 full chain)
