year,value
2000,
2001,-0.7153689873236646
2002,-0.4496605063177374
2003,-0.30658670885300016
2004,0.3679040506235951
2005,0.8380036708648654
2006,-0.02043911392353649
2007,0.6336125316295296
2008,0.6949298734001317
2009,0.22483025315886146
2010,0.5109778480883324
2011,0.6744907594765952
2012,0.9606383544060625
2013,0.5722951898589309
2014,1.2059077214884604
2015,0.0
2016,2.4118154429769247
2017,-0.4496605063177338
2018,-2.4322545569004648
2019,-0.327025822776533
2020,-3.392892911306531
2021,-1.4307379746473328
2022,-0.9197601265590004
2023,-0.16351291138826832
2024,1.3898597468002616
2025,-1.7168855695767984
