year,value
2000,-4.06140064785805
2001,-3.404245682082858
2002,-2.6530769325725223
2003,-0.8969189240955596
2004,0.22532244032260693
2005,-0.575073350616398
2006,-0.46521874053726964
2007,-0.533931934098523
2008,0.6744907594765952
2009,2.5611540872105363
2010,3.068430768238822
2011,3.2092583868329143
2012,2.9003502007264537
2013,1.8714844800996515
2014,1.530706709096432
2015,0.08938433337789185
2016,-0.24022039595308933
2017,-0.011173041672238468
2018,0.41340254187275977
2019,0.055865208361184394
2020,0.0
2021,0.061451729197301644
2022,-0.11731693755848605
2023,-0.8044590004010426
2024,-1.1675828547487392
