year,value
2000,-0.8355799261291569
2001,-0.6151843001119708
2002,-0.7450173598020953
2003,-1.0939637436853051
2004,-1.2338415009975463
2005,-1.2795769327237787
2006,-1.2216596336685956
2007,-1.0652722403710675
2008,-0.6705369955189535
2009,-0.44180640764511786
2010,-0.48342778768569716
2011,-0.350602690406006
2012,-0.032004116359829
2013,0.32736096984419477
2014,0.4672921563991057
2015,1.040641359499815
2016,0.7910733669843525
2017,0.5988349518546953
2018,0.6784445234342369
2019,0.6531724916509322
2020,0.7653739012596814
2021,0.9588946182134401
2022,0.9916467439706601
2023,0.4195798426940515
2024,0.2785266420430523
2025,0.032004116359829
