cn_year,baseline_regime,module,cf,cf_regime,flip,note,method_id,status
2000,OTHER,GROWTH,CF_A,,,no classification after CF (gate fail),H5-3-COUNTERFACTUAL,FROZEN-20260906
2000,OTHER,GROWTH,CF_B,OTHER,False,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2000,OTHER,GROWTH,CF_C,OTHER,False,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2000,OTHER,INFLATION,CF_A,,,no classification after CF (gate fail),H5-3-COUNTERFACTUAL,FROZEN-20260906
2000,OTHER,INFLATION,CF_B,OTHER,False,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2000,OTHER,INFLATION,CF_C,OTHER,False,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2000,OTHER,MONEY_CREDIT,CF_A,,,no classification after CF (gate fail),H5-3-COUNTERFACTUAL,FROZEN-20260906
2000,OTHER,MONEY_CREDIT,CF_B,OTHER,False,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2000,OTHER,MONEY_CREDIT,CF_C,OTHER,False,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2000,OTHER,EXTERNAL,CF_A,,,no classification after CF (gate fail),H5-3-COUNTERFACTUAL,FROZEN-20260906
2000,OTHER,EXTERNAL,CF_B,OTHER,False,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2000,OTHER,EXTERNAL,CF_C,OTHER,False,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2000,OTHER,DEMOGRAPHY_LABOR,CF_A,OTHER,False,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2000,OTHER,DEMOGRAPHY_LABOR,CF_B,OTHER,False,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2000,OTHER,DEMOGRAPHY_LABOR,CF_C,OTHER,False,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2001,J90,GROWTH,CF_A,J90,False,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2001,J90,GROWTH,CF_B,J90,False,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2001,J90,GROWTH,CF_C,J90,False,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2001,J90,INFLATION,CF_A,J90,False,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2001,J90,INFLATION,CF_B,J90,False,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2001,J90,INFLATION,CF_C,J90,False,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2001,J90,MONEY_CREDIT,CF_A,OTHER,True,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2001,J90,MONEY_CREDIT,CF_B,J90,False,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2001,J90,MONEY_CREDIT,CF_C,OTHER,True,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2001,J90,EXTERNAL,CF_A,OTHER,True,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2001,J90,EXTERNAL,CF_B,J90,False,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2001,J90,EXTERNAL,CF_C,OTHER,True,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2001,J90,DEMOGRAPHY_LABOR,CF_A,OTHER,True,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2001,J90,DEMOGRAPHY_LABOR,CF_B,J90,False,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2001,J90,DEMOGRAPHY_LABOR,CF_C,OTHER,True,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2002,OTHER,GROWTH,CF_A,OTHER,False,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2002,OTHER,GROWTH,CF_B,OTHER,False,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2002,OTHER,GROWTH,CF_C,OTHER,False,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2002,OTHER,INFLATION,CF_A,OTHER,False,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2002,OTHER,INFLATION,CF_B,OTHER,False,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2002,OTHER,INFLATION,CF_C,OTHER,False,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2002,OTHER,MONEY_CREDIT,CF_A,OTHER,False,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2002,OTHER,MONEY_CREDIT,CF_B,OTHER,False,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2002,OTHER,MONEY_CREDIT,CF_C,OTHER,False,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2002,OTHER,EXTERNAL,CF_A,OTHER,False,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2002,OTHER,EXTERNAL,CF_B,OTHER,False,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2002,OTHER,EXTERNAL,CF_C,OTHER,False,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2002,OTHER,DEMOGRAPHY_LABOR,CF_A,OTHER,False,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2002,OTHER,DEMOGRAPHY_LABOR,CF_B,OTHER,False,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2002,OTHER,DEMOGRAPHY_LABOR,CF_C,OTHER,False,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2003,OTHER,GROWTH,CF_A,OTHER,False,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2003,OTHER,GROWTH,CF_B,OTHER,False,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2003,OTHER,GROWTH,CF_C,OTHER,False,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2003,OTHER,INFLATION,CF_A,OTHER,False,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2003,OTHER,INFLATION,CF_B,OTHER,False,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2003,OTHER,INFLATION,CF_C,OTHER,False,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2003,OTHER,MONEY_CREDIT,CF_A,OTHER,False,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2003,OTHER,MONEY_CREDIT,CF_B,OTHER,False,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2003,OTHER,MONEY_CREDIT,CF_C,OTHER,False,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2003,OTHER,EXTERNAL,CF_A,OTHER,False,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2003,OTHER,EXTERNAL,CF_B,OTHER,False,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2003,OTHER,EXTERNAL,CF_C,OTHER,False,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2003,OTHER,DEMOGRAPHY_LABOR,CF_A,OTHER,False,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2003,OTHER,DEMOGRAPHY_LABOR,CF_B,OTHER,False,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2003,OTHER,DEMOGRAPHY_LABOR,CF_C,OTHER,False,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2004,J90,GROWTH,CF_A,J90,False,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2004,J90,GROWTH,CF_B,J90,False,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2004,J90,GROWTH,CF_C,J90,False,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2004,J90,INFLATION,CF_A,OTHER,True,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2004,J90,INFLATION,CF_B,OTHER,True,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2004,J90,INFLATION,CF_C,OTHER,True,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2004,J90,MONEY_CREDIT,CF_A,OTHER,True,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2004,J90,MONEY_CREDIT,CF_B,J90,False,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2004,J90,MONEY_CREDIT,CF_C,OTHER,True,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2004,J90,EXTERNAL,CF_A,J90,False,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2004,J90,EXTERNAL,CF_B,J90,False,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2004,J90,EXTERNAL,CF_C,J90,False,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2004,J90,DEMOGRAPHY_LABOR,CF_A,OTHER,True,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2004,J90,DEMOGRAPHY_LABOR,CF_B,OTHER,True,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2004,J90,DEMOGRAPHY_LABOR,CF_C,OTHER,True,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2005,OTHER,GROWTH,CF_A,OTHER,False,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2005,OTHER,GROWTH,CF_B,OTHER,False,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2005,OTHER,GROWTH,CF_C,OTHER,False,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2005,OTHER,INFLATION,CF_A,OTHER,False,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2005,OTHER,INFLATION,CF_B,OTHER,False,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2005,OTHER,INFLATION,CF_C,OTHER,False,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2005,OTHER,MONEY_CREDIT,CF_A,OTHER,False,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2005,OTHER,MONEY_CREDIT,CF_B,OTHER,False,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2005,OTHER,MONEY_CREDIT,CF_C,OTHER,False,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2005,OTHER,EXTERNAL,CF_A,OTHER,False,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2005,OTHER,EXTERNAL,CF_B,OTHER,False,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2005,OTHER,EXTERNAL,CF_C,OTHER,False,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2005,OTHER,DEMOGRAPHY_LABOR,CF_A,OTHER,False,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2005,OTHER,DEMOGRAPHY_LABOR,CF_B,OTHER,False,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2005,OTHER,DEMOGRAPHY_LABOR,CF_C,OTHER,False,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2006,OTHER,GROWTH,CF_A,OTHER,False,,H5-3-COUNTERFACTUAL,FROZEN-20260906
2006,OTHER,GROWTH,CF_B,OTHER,False,,H5-3-COUNTERFACTUAL,FROZEN-20260906
