cn_year,J90_jp,J00_jp,S_total_J90best,S_total_J00best,module,S_m_J90best,S_m_J00best,delta_m,method_id,calibration_id,coverage_rule_id,metric_id,status
2013,1991,2003,-0.433,-0.7711,GROWTH,-0.9615,-0.9148,0.0467,H5-1-DISCRIM-J90VJ00,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2013,1991,2003,-0.433,-0.7711,INFLATION,-0.7774,-1.135,0.3576,H5-1-DISCRIM-J90VJ00,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2013,1991,2003,-0.433,-0.7711,MONEY_CREDIT,-0.0172,-0.8403,0.8231,H5-1-DISCRIM-J90VJ00,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2013,1991,2003,-0.433,-0.7711,EXTERNAL,-0.1331,-0.097,0.0361,H5-1-DISCRIM-J90VJ00,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2013,1991,2003,-0.433,-0.7711,DEMOGRAPHY_LABOR,-0.2759,-0.8683,0.5924,H5-1-DISCRIM-J90VJ00,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2014,1992,2004,-0.5098,-0.6013,GROWTH,-0.9296,-0.7822,0.1474,H5-1-DISCRIM-J90VJ00,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2014,1992,2004,-0.5098,-0.6013,INFLATION,-0.348,-0.5988,0.2508,H5-1-DISCRIM-J90VJ00,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2014,1992,2004,-0.5098,-0.6013,MONEY_CREDIT,-0.8226,-0.4179,0.4047,H5-1-DISCRIM-J90VJ00,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2014,1992,2004,-0.5098,-0.6013,EXTERNAL,-0.068,-0.5526,0.4846,H5-1-DISCRIM-J90VJ00,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2014,1992,2004,-0.5098,-0.6013,DEMOGRAPHY_LABOR,-0.3806,-0.6551,0.2745,H5-1-DISCRIM-J90VJ00,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2015,1995,2003,-0.3849,-0.5854,GROWTH,-0.3327,-0.6043,0.2716,H5-1-DISCRIM-J90VJ00,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2015,1995,2003,-0.3849,-0.5854,INFLATION,-0.2408,-0.3256,0.0848,H5-1-DISCRIM-J90VJ00,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2015,1995,2003,-0.3849,-0.5854,MONEY_CREDIT,-0.1847,-0.7812,0.5965,H5-1-DISCRIM-J90VJ00,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2015,1995,2003,-0.3849,-0.5854,EXTERNAL,-0.4874,-0.6337,0.1463,H5-1-DISCRIM-J90VJ00,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2015,1995,2003,-0.3849,-0.5854,DEMOGRAPHY_LABOR,-0.6789,-0.5822,0.0967,H5-1-DISCRIM-J90VJ00,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2016,1994,2004,-0.482,-0.6892,GROWTH,-0.7151,-0.4314,0.2837,H5-1-DISCRIM-J90VJ00,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
