cn_year,regime,jp_year,module_removed,S_total_base,S_total_lomo,delta,n_alive_base,n_alive_lomo,gate_note,method_id,calibration_id,coverage_rule_id,metric_id,status
2000,OTHER,1984,GROWTH,-1.5373188060465053,,,4,3,removal leaves <4 alive modules,H5-1-LOMO-MARGINAL,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2000,OTHER,1984,INFLATION,-1.5373188060465053,,,4,3,removal leaves <4 alive modules,H5-1-LOMO-MARGINAL,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2000,OTHER,1984,MONEY_CREDIT,-1.5373188060465053,,,4,3,removal leaves <4 alive modules,H5-1-LOMO-MARGINAL,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2000,OTHER,1984,EXTERNAL,-1.5373188060465053,,,4,3,removal leaves <4 alive modules,H5-1-LOMO-MARGINAL,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2000,OTHER,1984,DEMOGRAPHY_LABOR,-1.5373188060465053,-1.5373,-0.0,4,4,,H5-1-LOMO-MARGINAL,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2001,J90,1991,GROWTH,-1.191887916244904,-0.9879,-0.204,5,4,,H5-1-LOMO-MARGINAL,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2001,J90,1991,INFLATION,-1.191887916244904,-0.9751,-0.2168,5,4,,H5-1-LOMO-MARGINAL,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2001,J90,1991,MONEY_CREDIT,-1.191887916244904,-1.4452,0.2533,5,4,,H5-1-LOMO-MARGINAL,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2001,J90,1991,EXTERNAL,-1.191887916244904,-1.481,0.2891,5,4,,H5-1-LOMO-MARGINAL,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2001,J90,1991,DEMOGRAPHY_LABOR,-1.191887916244904,-1.0701,-0.1218,5,4,,H5-1-LOMO-MARGINAL,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2002,OTHER,1984,GROWTH,-1.253372982989809,-1.2727,0.0193,5,4,,H5-1-LOMO-MARGINAL,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2002,OTHER,1984,INFLATION,-1.253372982989809,-0.9363,-0.3171,5,4,,H5-1-LOMO-MARGINAL,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2002,OTHER,1984,MONEY_CREDIT,-1.253372982989809,-1.3639,0.1105,5,4,,H5-1-LOMO-MARGINAL,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2002,OTHER,1984,EXTERNAL,-1.253372982989809,-1.5375,0.2841,5,4,,H5-1-LOMO-MARGINAL,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2002,OTHER,1984,DEMOGRAPHY_LABOR,-1.253372982989809,-1.1565,-0.0969,5,4,,H5-1-LOMO-MARGINAL,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2003,OTHER,1984,GROWTH,-0.8838159845266761,-0.9955,0.1117,5,4,,H5-1-LOMO-MARGINAL,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2003,OTHER,1984,INFLATION,-0.8838159845266761,-0.8116,-0.0722,5,4,,H5-1-LOMO-MARGINAL,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2003,OTHER,1984,MONEY_CREDIT,-0.8838159845266761,-1.0396,0.1558,5,4,,H5-1-LOMO-MARGINAL,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
