cn_year,pair_type,regime,jp_year,module,S_m,valid_pairs,eligible_pairs,coverage_ratio,module_pass,n_alive,S_total,method_id,calibration_id,coverage_rule_id,metric_id,status
2000,assigned,OTHER,1984,GROWTH,-1.8201,3,3,1.0,True,4,-1.5373,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2000,assigned,OTHER,1984,INFLATION,-1.7121,1,1,1.0,True,4,-1.5373,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2000,assigned,OTHER,1984,MONEY_CREDIT,-1.6993,1,1,1.0,True,4,-1.5373,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2000,assigned,OTHER,1984,EXTERNAL,-0.9178,1,2,0.5,True,4,-1.5373,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2000,assigned,OTHER,1984,DEMOGRAPHY_LABOR,,0,2,0.0,False,4,-1.5373,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2001,assigned,J90,1991,GROWTH,-2.0077,3,3,1.0,True,5,-1.1919,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2001,assigned,J90,1991,INFLATION,-2.0589,1,1,1.0,True,5,-1.1919,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2001,assigned,J90,1991,MONEY_CREDIT,-0.1787,1,1,1.0,True,5,-1.1919,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2001,assigned,J90,1991,EXTERNAL,-0.0353,1,2,0.5,True,5,-1.1919,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2001,assigned,J90,1991,DEMOGRAPHY_LABOR,-1.6789,2,2,1.0,True,5,-1.1919,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2002,assigned,OTHER,1984,GROWTH,-1.1761,3,3,1.0,True,5,-1.2534,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2002,assigned,OTHER,1984,INFLATION,-2.5215,1,1,1.0,True,5,-1.2534,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2002,assigned,OTHER,1984,MONEY_CREDIT,-0.8113,1,1,1.0,True,5,-1.2534,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2002,assigned,OTHER,1984,EXTERNAL,-0.117,1,2,0.5,True,5,-1.2534,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2002,assigned,OTHER,1984,DEMOGRAPHY_LABOR,-1.641,2,2,1.0,True,5,-1.2534,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2002,J90_best,J90,1991,GROWTH,-1.8223,3,3,1.0,True,5,-1.6331,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2002,J90_best,J90,1991,INFLATION,-3.0706,1,1,1.0,True,5,-1.6331,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2002,J90_best,J90,1991,MONEY_CREDIT,-0.6435,1,1,1.0,True,5,-1.6331,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2002,J90_best,J90,1991,EXTERNAL,-1.3976,1,2,0.5,True,5,-1.6331,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2002,J90_best,J90,1991,DEMOGRAPHY_LABOR,-1.2314,2,2,1.0,True,5,-1.6331,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2003,assigned,OTHER,1984,GROWTH,-0.4371,3,3,1.0,True,5,-0.8838,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2003,assigned,OTHER,1984,INFLATION,-1.1725,1,1,1.0,True,5,-0.8838,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2003,assigned,OTHER,1984,MONEY_CREDIT,-0.2608,1,1,1.0,True,5,-0.8838,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
