cn_year,assigned_regime,rep_jp_year,S_total,n_alive,J90_bestS,J90_bestJp,J00_bestS,J00_bestJp,OTHER_bestS,OTHER_bestJp,J90_reachable,J00_reachable,method_id,calibration_id,coverage_rule_id,metric_id,status
2000,OTHER,1984,-1.5373188060465053,4,,,,,-1.5373188060465053,1984,False,False,H5-CLASSIFY-REGIME-ARGMAX,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2001,J90,1991,-1.191887916244904,5,-1.191887916244904,1991.0,,,-1.3395017515627448,1983,True,False,H5-CLASSIFY-REGIME-ARGMAX,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2002,OTHER,1984,-1.253372982989809,5,-1.6330915921541966,1991.0,,,-1.253372982989809,1984,True,False,H5-CLASSIFY-REGIME-ARGMAX,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2003,OTHER,1984,-0.8838159845266761,5,-1.5406576010385051,1991.0,,,-0.8838159845266761,1984,True,False,H5-CLASSIFY-REGIME-ARGMAX,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2004,J90,1991,-0.9569338709296661,5,-0.9569338709296661,1991.0,,,-0.9975317447486711,1984,True,False,H5-CLASSIFY-REGIME-ARGMAX,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2005,OTHER,1984,-0.899875111112074,5,-1.2661838025474488,1991.0,,,-0.899875111112074,1984,True,False,H5-CLASSIFY-REGIME-ARGMAX,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2006,OTHER,1984,-0.8818376604175026,5,-0.9841790923611933,1996.0,,,-0.8818376604175026,1984,True,False,H5-CLASSIFY-REGIME-ARGMAX,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2007,OTHER,1984,-1.1522559748968564,5,-1.2412839331466272,1991.0,,,-1.1522559748968564,1984,True,False,H5-CLASSIFY-REGIME-ARGMAX,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2008,J90,1991,-0.9855166869603016,5,-0.9855166869603016,1991.0,,,-1.092700588779696,1984,True,False,H5-CLASSIFY-REGIME-ARGMAX,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2009,OTHER,1987,-1.1026252609668767,5,-1.6280340695577187,1996.0,,,-1.1026252609668767,1987,True,False,H5-CLASSIFY-REGIME-ARGMAX,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2010,OTHER,1984,-0.8131759668387479,5,-1.0695015193737978,1997.0,,,-0.8131759668387479,1984,True,False,H5-CLASSIFY-REGIME-ARGMAX,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2011,J90,1991,-0.9022080524254232,5,-0.9022080524254232,1991.0,,,-1.2386132661761171,1984,True,False,H5-CLASSIFY-REGIME-ARGMAX,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2012,J90,1997,-0.5611583121126708,5,-0.5611583121126708,1997.0,,,-0.749474536360778,2002,True,False,H5-CLASSIFY-REGIME-ARGMAX,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2013,J90,1991,-0.4330304439717995,5,-0.4330304439717995,1991.0,-0.7710702731871949,2003.0,-0.6383587094350032,2002,True,True,H5-CLASSIFY-REGIME-ARGMAX,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2014,J90,1992,-0.509778327866491,5,-0.509778327866491,1992.0,-0.6013015342107295,2004.0,-0.6226386211112345,2002,True,True,H5-CLASSIFY-REGIME-ARGMAX,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
