drop_id,drop_type,norm,cn_year_n,n_J90,n_J00,n_OTHER,years_J90,years_J00,drift_vs_baseline_n,held_out_var,D_JP,D_CN_negv,sign_match,perm_p_2sided,boot_ci90,feasible,note,method_id,status
CH-CPI_YOY,CHANNEL,z1970-2025,13,8,3,2,2013;2014;2019;2020;2022;2023;2024;2025,2017;2018;2021,5,cpi_yoy,0.7037,0.0112,True,1.0,"[-0.540,0.590]",True,,H5F-T1/T2/T3,FROZEN-H5F-20260906
CH-CPI_YOY,CHANNEL,percentile,13,8,2,3,2013;2014;2019;2021;2022;2023;2024;2025,2017;2018,7,cpi_yoy,0.55,-0.2404,,,,False,J90/J00 group <3 under drop,H5F-T1/T2/T3,FROZEN-H5F-20260906
CH-M2_YOY,CHANNEL,z1970-2025,13,7,3,3,2013;2014;2016;2018;2019;2021;2022,2017;2023;2025,2,m2_yoy,0.2337,0.3685,True,0.1984,"[0.096,0.636]",True,,H5F-T1/T2/T3,FROZEN-H5F-20260906
CH-M2_YOY,CHANNEL,percentile,13,8,1,4,2013;2014;2015;2016;2017;2019;2020;2021,2025,6,m2_yoy,0.2713,0.3558,,,,False,J90/J00 group <3 under drop,H5F-T1/T2/T3,FROZEN-H5F-20260906
CH-INVESTMENT_GDP,CHANNEL,z1970-2025,13,7,4,2,2013;2014;2016;2018;2019;2020;2022,2017;2021;2023;2025,0,investment_gdp,0.9894,0.7534,True,0.1589,"[0.151,1.433]",True,,H5F-T1/T2/T3,FROZEN-H5F-20260906
CH-INVESTMENT_GDP,CHANNEL,percentile,13,9,2,2,2013;2015;2016;2018;2019;2020;2021;2022;2024,2017;2025,5,investment_gdp,0.7881,0.1244,,,,False,J90/J00 group <3 under drop,H5F-T1/T2/T3,FROZEN-H5F-20260906
CH-REER,CHANNEL,z1970-2025,13,8,3,2,2013;2014;2016;2018;2019;2020;2022;2025,2017;2021;2023,1,reer,0.86,-0.0708,False,0.7281,"[-0.349,0.183]",True,,H5F-T1/T2/T3,FROZEN-H5F-20260906
CH-REER,CHANNEL,percentile,13,6,3,4,2013;2014;2016;2018;2019;2020,2017;2021;2025,2,reer,0.5958,0.0769,True,0.7106,"[-0.256,0.385]",True,,H5F-T1/T2/T3,FROZEN-H5F-20260906
CH-WAGE_BIRTH,CHANNEL,z1970-2025,13,8,5,0,2013;2014;2015;2016;2018;2019;2020;2022,2017;2021;2023;2024;2025,2,wage_yoy,-0.6675,0.6417,False,0.064,"[0.147,1.210]",True,,H5F-T1/T2/T3,FROZEN-H5F-20260906
CH-WAGE_BIRTH,CHANNEL,z1970-2025,13,8,5,0,2013;2014;2015;2016;2018;2019;2020;2022,2017;2021;2023;2024;2025,2,birth_rate,0.3372,0.1139,True,0.91,"[-1.156,1.371]",True,,H5F-T1/T2/T3,FROZEN-H5F-20260906
CH-WAGE_BIRTH,CHANNEL,percentile,13,6,5,2,2013;2014;2016;2018;2019;2022,2017;2020;2021;2024;2025,3,wage_yoy,-0.4618,0.2573,False,0.1794,"[-0.003,0.504]",True,,H5F-T1/T2/T3,FROZEN-H5F-20260906
CH-WAGE_BIRTH,CHANNEL,percentile,13,6,5,2,2013;2014;2016;2018;2019;2022,2017;2020;2021;2024;2025,3,birth_rate,0.0599,0.44,True,0.3493,"[-0.256,1.085]",True,,H5F-T1/T2/T3,FROZEN-H5F-20260906
LOVO-real_gdp_yoy,LOVO,z1970-2025,13,7,5,1,2013;2014;2016;2018;2019;2020;2022,2017;2021;2023;2024;2025,1,real_gdp_yoy,0.3561,-0.1542,False,0.7406,"[-0.869,0.516]",True,,H5F-T1/T2/T3,FROZEN-H5F-20260906
LOVO-real_gdp_yoy,LOVO,percentile,13,7,1,5,2013;2014;2016;2018;2019;2020;2021,2017,4,real_gdp_yoy,0.0635,-0.0769,,,,False,J90/J00 group <3 under drop,H5F-T1/T2/T3,FROZEN-H5F-20260906
LOVO-iip_yoy,LOVO,z1970-2025,13,7,4,2,2013;2014;2016;2018;2019;2020;2022,2017;2021;2023;2025,0,iip_yoy,-0.3771,-0.1138,True,0.6632,"[-0.501,0.260]",True,,H5F-T1/T2/T3,FROZEN-H5F-20260906
LOVO-iip_yoy,LOVO,percentile,13,8,4,1,2013;2015;2016;2018;2019;2020;2021;2022,2017;2023;2024;2025,4,iip_yoy,-0.4216,0.0865,False,0.6942,"[-0.173,0.356]",True,,H5F-T1/T2/T3,FROZEN-H5F-20260906
LOVO-investment_gdp,LOVO,z1970-2025,13,7,4,2,2013;2014;2016;2018;2019;2020;2022,2017;2021;2023;2025,0,investment_gdp,0.9894,0.7534,True,0.1629,"[0.153,1.425]",True,,H5F-T1/T2/T3,FROZEN-H5F-20260906
LOVO-investment_gdp,LOVO,percentile,13,9,2,2,2013;2015;2016;2018;2019;2020;2021;2022;2024,2017;2025,5,investment_gdp,0.7881,0.1244,,,,False,J90/J00 group <3 under drop,H5F-T1/T2/T3,FROZEN-H5F-20260906
LOVO-cpi_yoy,LOVO,z1970-2025,13,8,3,2,2013;2014;2019;2020;2022;2023;2024;2025,2017;2018;2021,5,cpi_yoy,0.7037,0.0112,True,1.0,"[-0.548,0.568]",True,,H5F-T1/T2/T3,FROZEN-H5F-20260906
