year,value,variable,country,unit,source_note
1970,10.243691138250009,dependency_ratio,jp,pct,IPSS 表2-5 65+/15-64 15-64 canonical (ANCHOR)
1975,11.6941707230203,dependency_ratio,jp,pct,IPSS 表2-5 65+/15-64 15-64 canonical (ANCHOR)
1980,13.505422718335764,dependency_ratio,jp,pct,IPSS 表2-5 65+/15-64 15-64 canonical (ANCHOR)
1985,15.111628245218531,dependency_ratio,jp,pct,IPSS 表2-5 65+/15-64 15-64 canonical (ANCHOR)
1990,17.339122741665115,dependency_ratio,jp,pct,IPSS 表2-5 65+/15-64 15-64 canonical (ANCHOR)
1995,20.949922560660816,dependency_ratio,jp,pct,IPSS 表2-5 65+/15-64 15-64 canonical (ANCHOR)
2000,25.521920668058456,dependency_ratio,jp,pct,IPSS 表2-5 65+/15-64 15-64 canonical (ANCHOR)
2005,30.52846881986396,dependency_ratio,jp,pct,IPSS 表2-5 65+/15-64 15-64 canonical (ANCHOR)
2010,36.09191430545957,dependency_ratio,jp,pct,IPSS 表2-5 65+/15-64 15-64 canonical (ANCHOR)
2015,43.86608816474197,dependency_ratio,jp,pct,IPSS 表2-5 65+/15-64 15-64 canonical (ANCHOR)
2020,48.45659119893586,dependency_ratio,jp,pct,IPSS 表2-5 65+/15-64 15-64 canonical (ANCHOR)
2021,48.60678621282079,dependency_ratio,jp,pct,IPSS 表2-5 65+/15-64 15-64 canonical (ANCHOR)
2022,48.830314790858125,dependency_ratio,jp,pct,IPSS 表2-5 65+/15-64 15-64 canonical (ANCHOR)
2023,48.98718087408048,dependency_ratio,jp,pct,IPSS 表2-5 65+/15-64 15-64 canonical (ANCHOR)
2024,49.15771484375,dependency_ratio,jp,pct,IPSS 表2-5 65+/15-64 15-64 canonical (ANCHOR)
