year,value,variable,country,unit,source_note
1970,358.1541666666667,fx_usdjpy_level,jp,pct,FRED CCUSMA02JPM618N 1957+
1971,348.94208333333336,fx_usdjpy_level,jp,pct,FRED CCUSMA02JPM618N 1957+
1972,308.0,fx_usdjpy_level,jp,pct,FRED CCUSMA02JPM618N 1957+
1973,271.49154611852936,fx_usdjpy_level,jp,pct,FRED CCUSMA02JPM618N 1957+
1974,291.7883503428488,fx_usdjpy_level,jp,pct,FRED CCUSMA02JPM618N 1957+
1975,296.81794905005523,fx_usdjpy_level,jp,pct,FRED CCUSMA02JPM618N 1957+
1976,296.5351820604739,fx_usdjpy_level,jp,pct,FRED CCUSMA02JPM618N 1957+
1977,268.47626420324025,fx_usdjpy_level,jp,pct,FRED CCUSMA02JPM618N 1957+
1978,210.43845577959723,fx_usdjpy_level,jp,pct,FRED CCUSMA02JPM618N 1957+
1979,219.19753248156857,fx_usdjpy_level,jp,pct,FRED CCUSMA02JPM618N 1957+
1980,226.69642259103372,fx_usdjpy_level,jp,pct,FRED CCUSMA02JPM618N 1957+
1981,220.59210795218056,fx_usdjpy_level,jp,pct,FRED CCUSMA02JPM618N 1957+
1982,249.0770002000025,fx_usdjpy_level,jp,pct,FRED CCUSMA02JPM618N 1957+
1983,237.47713975127533,fx_usdjpy_level,jp,pct,FRED CCUSMA02JPM618N 1957+
1984,237.55360880952676,fx_usdjpy_level,jp,pct,FRED CCUSMA02JPM618N 1957+
1985,238.62317543787077,fx_usdjpy_level,jp,pct,FRED CCUSMA02JPM618N 1957+
1986,168.51918657921658,fx_usdjpy_level,jp,pct,FRED CCUSMA02JPM618N 1957+
1987,144.62197847097983,fx_usdjpy_level,jp,pct,FRED CCUSMA02JPM618N 1957+
1988,128.13455854412484,fx_usdjpy_level,jp,pct,FRED CCUSMA02JPM618N 1957+
1989,137.97418307112775,fx_usdjpy_level,jp,pct,FRED CCUSMA02JPM618N 1957+
1990,144.79552308839507,fx_usdjpy_level,jp,pct,FRED CCUSMA02JPM618N 1957+
1991,134.49627067008365,fx_usdjpy_level,jp,pct,FRED CCUSMA02JPM618N 1957+
1992,126.67295085014992,fx_usdjpy_level,jp,pct,FRED CCUSMA02JPM618N 1957+
1993,111.17554092022908,fx_usdjpy_level,jp,pct,FRED CCUSMA02JPM618N 1957+
1994,102.22856173752216,fx_usdjpy_level,jp,pct,FRED CCUSMA02JPM618N 1957+
1995,94.06538545693188,fx_usdjpy_level,jp,pct,FRED CCUSMA02JPM618N 1957+
1996,108.8170373317261,fx_usdjpy_level,jp,pct,FRED CCUSMA02JPM618N 1957+
1997,120.99656936375042,fx_usdjpy_level,jp,pct,FRED CCUSMA02JPM618N 1957+
1998,130.89449101921477,fx_usdjpy_level,jp,pct,FRED CCUSMA02JPM618N 1957+
1999,113.8880084088404,fx_usdjpy_level,jp,pct,FRED CCUSMA02JPM618N 1957+
2000,107.83471816811466,fx_usdjpy_level,jp,pct,FRED CCUSMA02JPM618N 1957+
2001,121.483810906961,fx_usdjpy_level,jp,pct,FRED CCUSMA02JPM618N 1957+
2002,125.25494530710834,fx_usdjpy_level,jp,pct,FRED CCUSMA02JPM618N 1957+
2003,115.93633516845476,fx_usdjpy_level,jp,pct,FRED CCUSMA02JPM618N 1957+
2004,108.14690751458691,fx_usdjpy_level,jp,pct,FRED CCUSMA02JPM618N 1957+
2005,110.1333196640316,fx_usdjpy_level,jp,pct,FRED CCUSMA02JPM618N 1957+
2006,116.35438506179808,fx_usdjpy_level,jp,pct,FRED CCUSMA02JPM618N 1957+
2007,117.75511514210432,fx_usdjpy_level,jp,pct,FRED CCUSMA02JPM618N 1957+
2008,103.38814845661584,fx_usdjpy_level,jp,pct,FRED CCUSMA02JPM618N 1957+
2009,93.57154585842902,fx_usdjpy_level,jp,pct,FRED CCUSMA02JPM618N 1957+
2010,87.76064778216953,fx_usdjpy_level,jp,pct,FRED CCUSMA02JPM618N 1957+
2011,79.70675162337663,fx_usdjpy_level,jp,pct,FRED CCUSMA02JPM618N 1957+
2012,79.8135743929983,fx_usdjpy_level,jp,pct,FRED CCUSMA02JPM618N 1957+
2013,97.59807028358117,fx_usdjpy_level,jp,pct,FRED CCUSMA02JPM618N 1957+
2014,105.84750192923018,fx_usdjpy_level,jp,pct,FRED CCUSMA02JPM618N 1957+
2015,121.00229935221766,fx_usdjpy_level,jp,pct,FRED CCUSMA02JPM618N 1957+
2016,108.8027070393375,fx_usdjpy_level,jp,pct,FRED CCUSMA02JPM618N 1957+
2017,112.18305579867,fx_usdjpy_level,jp,pct,FRED CCUSMA02JPM618N 1957+
2018,110.43780555555558,fx_usdjpy_level,jp,pct,FRED CCUSMA02JPM618N 1957+
2019,109.04586291486292,fx_usdjpy_level,jp,pct,FRED CCUSMA02JPM618N 1957+
2020,106.76240265229944,fx_usdjpy_level,jp,pct,FRED CCUSMA02JPM618N 1957+
2021,109.76527747192424,fx_usdjpy_level,jp,pct,FRED CCUSMA02JPM618N 1957+
2022,131.42829397233183,fx_usdjpy_level,jp,pct,FRED CCUSMA02JPM618N 1957+
2023,140.50610821726585,fx_usdjpy_level,jp,pct,FRED CCUSMA02JPM618N 1957+
2024,151.4397163717925,fx_usdjpy_level,jp,pct,FRED CCUSMA02JPM618N 1957+
2025,149.66509921419149,fx_usdjpy_level,jp,pct,FRED CCUSMA02JPM618N 1957+
