year,value,variable,country,unit,source_note
1970,219.0598025197524,gdp_deflator_yoy,jp,pct,ESRI 68SNA 名目/実質 GDE ratio 1955-2000 | +2001-2025 ext (regime: 2008SNA-deflator)
1971,230.8968883786549,gdp_deflator_yoy,jp,pct,ESRI 68SNA 名目/実質 GDE ratio 1955-2000 | +2001-2025 ext (regime: 2008SNA-deflator)
1972,243.836569715068,gdp_deflator_yoy,jp,pct,ESRI 68SNA 名目/実質 GDE ratio 1955-2000 | +2001-2025 ext (regime: 2008SNA-deflator)
1973,274.8173846616953,gdp_deflator_yoy,jp,pct,ESRI 68SNA 名目/実質 GDE ratio 1955-2000 | +2001-2025 ext (regime: 2008SNA-deflator)
1974,332.0065798783941,gdp_deflator_yoy,jp,pct,ESRI 68SNA 名目/実質 GDE ratio 1955-2000 | +2001-2025 ext (regime: 2008SNA-deflator)
1975,355.8364640074451,gdp_deflator_yoy,jp,pct,ESRI 68SNA 名目/実質 GDE ratio 1955-2000 | +2001-2025 ext (regime: 2008SNA-deflator)
1976,384.3315109249851,gdp_deflator_yoy,jp,pct,ESRI 68SNA 名目/実質 GDE ratio 1955-2000 | +2001-2025 ext (regime: 2008SNA-deflator)
1977,410.2697660626024,gdp_deflator_yoy,jp,pct,ESRI 68SNA 名目/実質 GDE ratio 1955-2000 | +2001-2025 ext (regime: 2008SNA-deflator)
1978,429.1579463951425,gdp_deflator_yoy,jp,pct,ESRI 68SNA 名目/実質 GDE ratio 1955-2000 | +2001-2025 ext (regime: 2008SNA-deflator)
1979,440.9670591339676,gdp_deflator_yoy,jp,pct,ESRI 68SNA 名目/実質 GDE ratio 1955-2000 | +2001-2025 ext (regime: 2008SNA-deflator)
1980,464.9465787039535,gdp_deflator_yoy,jp,pct,ESRI 68SNA 名目/実質 GDE ratio 1955-2000 | +2001-2025 ext (regime: 2008SNA-deflator)
1981,484.03409326367023,gdp_deflator_yoy,jp,pct,ESRI 68SNA 名目/実質 GDE ratio 1955-2000 | +2001-2025 ext (regime: 2008SNA-deflator)
1982,492.6841728736736,gdp_deflator_yoy,jp,pct,ESRI 68SNA 名目/実質 GDE ratio 1955-2000 | +2001-2025 ext (regime: 2008SNA-deflator)
1983,501.37269050501015,gdp_deflator_yoy,jp,pct,ESRI 68SNA 名目/実質 GDE ratio 1955-2000 | +2001-2025 ext (regime: 2008SNA-deflator)
1984,514.6226742056388,gdp_deflator_yoy,jp,pct,ESRI 68SNA 名目/実質 GDE ratio 1955-2000 | +2001-2025 ext (regime: 2008SNA-deflator)
1985,525.5121937304999,gdp_deflator_yoy,jp,pct,ESRI 68SNA 名目/実質 GDE ratio 1955-2000 | +2001-2025 ext (regime: 2008SNA-deflator)
1986,534.6949433231574,gdp_deflator_yoy,jp,pct,ESRI 68SNA 名目/実質 GDE ratio 1955-2000 | +2001-2025 ext (regime: 2008SNA-deflator)
1987,535.2325111362712,gdp_deflator_yoy,jp,pct,ESRI 68SNA 名目/実質 GDE ratio 1955-2000 | +2001-2025 ext (regime: 2008SNA-deflator)
1988,538.9019838687052,gdp_deflator_yoy,jp,pct,ESRI 68SNA 名目/実質 GDE ratio 1955-2000 | +2001-2025 ext (regime: 2008SNA-deflator)
1989,549.8396276424033,gdp_deflator_yoy,jp,pct,ESRI 68SNA 名目/実質 GDE ratio 1955-2000 | +2001-2025 ext (regime: 2008SNA-deflator)
1990,562.5368095170105,gdp_deflator_yoy,jp,pct,ESRI 68SNA 名目/実質 GDE ratio 1955-2000 | +2001-2025 ext (regime: 2008SNA-deflator)
1991,577.5681498657873,gdp_deflator_yoy,jp,pct,ESRI 68SNA 名目/実質 GDE ratio 1955-2000 | +2001-2025 ext (regime: 2008SNA-deflator)
1992,587.5952834183374,gdp_deflator_yoy,jp,pct,ESRI 68SNA 名目/実質 GDE ratio 1955-2000 | +2001-2025 ext (regime: 2008SNA-deflator)
1993,591.1927389870426,gdp_deflator_yoy,jp,pct,ESRI 68SNA 名目/実質 GDE ratio 1955-2000 | +2001-2025 ext (regime: 2008SNA-deflator)
1994,592.1987758044507,gdp_deflator_yoy,jp,pct,ESRI 68SNA 名目/実質 GDE ratio 1955-2000 | +2001-2025 ext (regime: 2008SNA-deflator)
1995,588.43612670083,gdp_deflator_yoy,jp,pct,ESRI 68SNA 名目/実質 GDE ratio 1955-2000 | +2001-2025 ext (regime: 2008SNA-deflator)
1996,579.9586618656738,gdp_deflator_yoy,jp,pct,ESRI 68SNA 名目/実質 GDE ratio 1955-2000 | +2001-2025 ext (regime: 2008SNA-deflator)
1997,581.510359902429,gdp_deflator_yoy,jp,pct,ESRI 68SNA 名目/実質 GDE ratio 1955-2000 | +2001-2025 ext (regime: 2008SNA-deflator)
1998,583.4299444780426,gdp_deflator_yoy,jp,pct,ESRI 68SNA 名目/実質 GDE ratio 1955-2000 | +2001-2025 ext (regime: 2008SNA-deflator)
1999,578.330283629522,gdp_deflator_yoy,jp,pct,ESRI 68SNA 名目/実質 GDE ratio 1955-2000 | +2001-2025 ext (regime: 2008SNA-deflator)
2000,567.7280201589791,gdp_deflator_yoy,jp,pct,ESRI 68SNA 名目/実質 GDE ratio 1955-2000 | +2001-2025 ext (regime: 2008SNA-deflator)
2001,-1.0083957148174338,gdp_deflator_yoy,jp,pct,ESRI 68SNA 名目/実質 GDE ratio 1955-2000 | +2001-2025 ext (regime: 2008SNA-deflator)
2002,-1.3941319341340352,gdp_deflator_yoy,jp,pct,ESRI 68SNA 名目/実質 GDE ratio 1955-2000 | +2001-2025 ext (regime: 2008SNA-deflator)
2003,-1.7816805245284284,gdp_deflator_yoy,jp,pct,ESRI 68SNA 名目/実質 GDE ratio 1955-2000 | +2001-2025 ext (regime: 2008SNA-deflator)
2004,-1.2804440538815354,gdp_deflator_yoy,jp,pct,ESRI 68SNA 名目/実質 GDE ratio 1955-2000 | +2001-2025 ext (regime: 2008SNA-deflator)
2005,-1.282842289345465,gdp_deflator_yoy,jp,pct,ESRI 68SNA 名目/実質 GDE ratio 1955-2000 | +2001-2025 ext (regime: 2008SNA-deflator)
2006,-0.9317653360366274,gdp_deflator_yoy,jp,pct,ESRI 68SNA 名目/実質 GDE ratio 1955-2000 | +2001-2025 ext (regime: 2008SNA-deflator)
2007,-0.9537322660074676,gdp_deflator_yoy,jp,pct,ESRI 68SNA 名目/実質 GDE ratio 1955-2000 | +2001-2025 ext (regime: 2008SNA-deflator)
2008,-0.9016300542962208,gdp_deflator_yoy,jp,pct,ESRI 68SNA 名目/実質 GDE ratio 1955-2000 | +2001-2025 ext (regime: 2008SNA-deflator)
2009,-0.4551967371005827,gdp_deflator_yoy,jp,pct,ESRI 68SNA 名目/実質 GDE ratio 1955-2000 | +2001-2025 ext (regime: 2008SNA-deflator)
2010,-1.89156456082592,gdp_deflator_yoy,jp,pct,ESRI 68SNA 名目/実質 GDE ratio 1955-2000 | +2001-2025 ext (regime: 2008SNA-deflator)
2011,-1.5625205145644028,gdp_deflator_yoy,jp,pct,ESRI 68SNA 名目/実質 GDE ratio 1955-2000 | +2001-2025 ext (regime: 2008SNA-deflator)
2012,-0.8222750859140704,gdp_deflator_yoy,jp,pct,ESRI 68SNA 名目/実質 GDE ratio 1955-2000 | +2001-2025 ext (regime: 2008SNA-deflator)
2013,-0.1814130842898054,gdp_deflator_yoy,jp,pct,ESRI 68SNA 名目/実質 GDE ratio 1955-2000 | +2001-2025 ext (regime: 2008SNA-deflator)
2014,1.745985287164098,gdp_deflator_yoy,jp,pct,ESRI 68SNA 名目/実質 GDE ratio 1955-2000 | +2001-2025 ext (regime: 2008SNA-deflator)
2015,2.05573458547863,gdp_deflator_yoy,jp,pct,ESRI 68SNA 名目/実質 GDE ratio 1955-2000 | +2001-2025 ext (regime: 2008SNA-deflator)
2016,0.5750989474113677,gdp_deflator_yoy,jp,pct,ESRI 68SNA 名目/実質 GDE ratio 1955-2000 | +2001-2025 ext (regime: 2008SNA-deflator)
2017,0.0420778985774195,gdp_deflator_yoy,jp,pct,ESRI 68SNA 名目/実質 GDE ratio 1955-2000 | +2001-2025 ext (regime: 2008SNA-deflator)
2018,-0.117131826930783,gdp_deflator_yoy,jp,pct,ESRI 68SNA 名目/実質 GDE ratio 1955-2000 | +2001-2025 ext (regime: 2008SNA-deflator)
2019,0.7796039764492502,gdp_deflator_yoy,jp,pct,ESRI 68SNA 名目/実質 GDE ratio 1955-2000 | +2001-2025 ext (regime: 2008SNA-deflator)
2020,1.2345944335355077,gdp_deflator_yoy,jp,pct,ESRI 68SNA 名目/実質 GDE ratio 1955-2000 | +2001-2025 ext (regime: 2008SNA-deflator)
2021,-0.0599313245210231,gdp_deflator_yoy,jp,pct,ESRI 68SNA 名目/実質 GDE ratio 1955-2000 | +2001-2025 ext (regime: 2008SNA-deflator)
2022,0.6669723581254061,gdp_deflator_yoy,jp,pct,ESRI 68SNA 名目/実質 GDE ratio 1955-2000 | +2001-2025 ext (regime: 2008SNA-deflator)
2023,4.549632217340083,gdp_deflator_yoy,jp,pct,ESRI 68SNA 名目/実質 GDE ratio 1955-2000 | +2001-2025 ext (regime: 2008SNA-deflator)
2024,3.1912578897352217,gdp_deflator_yoy,jp,pct,ESRI 68SNA 名目/実質 GDE ratio 1955-2000 | +2001-2025 ext (regime: 2008SNA-deflator)
