year,value,variable,country,unit,source_note
1970,35.50780557638558,investment_gdp,jp,pct_of_gdp,"JP investment_gdp: 1970-2000 (68SNA H2) + 2001-2023 (2008SNA FIX, v0.3d unit corrected)"
1971,34.24624603786304,investment_gdp,jp,pct_of_gdp,"JP investment_gdp: 1970-2000 (68SNA H2) + 2001-2023 (2008SNA FIX, v0.3d unit corrected)"
1972,34.11855493250124,investment_gdp,jp,pct_of_gdp,"JP investment_gdp: 1970-2000 (68SNA H2) + 2001-2023 (2008SNA FIX, v0.3d unit corrected)"
1973,36.39036002353815,investment_gdp,jp,pct_of_gdp,"JP investment_gdp: 1970-2000 (68SNA H2) + 2001-2023 (2008SNA FIX, v0.3d unit corrected)"
1974,34.783580321772774,investment_gdp,jp,pct_of_gdp,"JP investment_gdp: 1970-2000 (68SNA H2) + 2001-2023 (2008SNA FIX, v0.3d unit corrected)"
1975,32.45244297741749,investment_gdp,jp,pct_of_gdp,"JP investment_gdp: 1970-2000 (68SNA H2) + 2001-2023 (2008SNA FIX, v0.3d unit corrected)"
1976,31.184529573467056,investment_gdp,jp,pct_of_gdp,"JP investment_gdp: 1970-2000 (68SNA H2) + 2001-2023 (2008SNA FIX, v0.3d unit corrected)"
1977,30.1591029937739,investment_gdp,jp,pct_of_gdp,"JP investment_gdp: 1970-2000 (68SNA H2) + 2001-2023 (2008SNA FIX, v0.3d unit corrected)"
1978,30.40387624129054,investment_gdp,jp,pct_of_gdp,"JP investment_gdp: 1970-2000 (68SNA H2) + 2001-2023 (2008SNA FIX, v0.3d unit corrected)"
1979,31.67320103310093,investment_gdp,jp,pct_of_gdp,"JP investment_gdp: 1970-2000 (68SNA H2) + 2001-2023 (2008SNA FIX, v0.3d unit corrected)"
1980,31.568904290563708,investment_gdp,jp,pct_of_gdp,"JP investment_gdp: 1970-2000 (68SNA H2) + 2001-2023 (2008SNA FIX, v0.3d unit corrected)"
1981,30.58901105546573,investment_gdp,jp,pct_of_gdp,"JP investment_gdp: 1970-2000 (68SNA H2) + 2001-2023 (2008SNA FIX, v0.3d unit corrected)"
1982,29.46578832419441,investment_gdp,jp,pct_of_gdp,"JP investment_gdp: 1970-2000 (68SNA H2) + 2001-2023 (2008SNA FIX, v0.3d unit corrected)"
1983,27.99501006150472,investment_gdp,jp,pct_of_gdp,"JP investment_gdp: 1970-2000 (68SNA H2) + 2001-2023 (2008SNA FIX, v0.3d unit corrected)"
1984,27.70030501469174,investment_gdp,jp,pct_of_gdp,"JP investment_gdp: 1970-2000 (68SNA H2) + 2001-2023 (2008SNA FIX, v0.3d unit corrected)"
1985,27.476392607547563,investment_gdp,jp,pct_of_gdp,"JP investment_gdp: 1970-2000 (68SNA H2) + 2001-2023 (2008SNA FIX, v0.3d unit corrected)"
1986,27.27593862942873,investment_gdp,jp,pct_of_gdp,"JP investment_gdp: 1970-2000 (68SNA H2) + 2001-2023 (2008SNA FIX, v0.3d unit corrected)"
1987,28.34858571430205,investment_gdp,jp,pct_of_gdp,"JP investment_gdp: 1970-2000 (68SNA H2) + 2001-2023 (2008SNA FIX, v0.3d unit corrected)"
1988,29.64287280478922,investment_gdp,jp,pct_of_gdp,"JP investment_gdp: 1970-2000 (68SNA H2) + 2001-2023 (2008SNA FIX, v0.3d unit corrected)"
1989,30.56850491614589,investment_gdp,jp,pct_of_gdp,"JP investment_gdp: 1970-2000 (68SNA H2) + 2001-2023 (2008SNA FIX, v0.3d unit corrected)"
1990,31.733520540768424,investment_gdp,jp,pct_of_gdp,"JP investment_gdp: 1970-2000 (68SNA H2) + 2001-2023 (2008SNA FIX, v0.3d unit corrected)"
