year,value,variable,country,unit,source_note
1970,18.31225134064361,m2_yoy,jp,pct,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
1971,20.345293144667327,m2_yoy,jp,pct,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
1972,26.497345700989893,m2_yoy,jp,pct,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
1973,22.97740035557375,m2_yoy,jp,pct,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
1974,11.963081729659216,m2_yoy,jp,pct,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
1975,13.068536683073985,m2_yoy,jp,pct,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
1976,15.12052050310735,m2_yoy,jp,pct,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
1977,11.401541535312797,m2_yoy,jp,pct,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
1978,11.7338441317529,m2_yoy,jp,pct,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
1979,11.871482551395127,m2_yoy,jp,pct,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
1980,9.223473200853826,m2_yoy,jp,pct,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
1981,8.901686678802673,m2_yoy,jp,pct,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
1982,9.222816966878373,m2_yoy,jp,pct,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
1983,7.359711439977867,m2_yoy,jp,pct,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
1984,7.805897083763166,m2_yoy,jp,pct,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
1985,8.371839608449687,m2_yoy,jp,pct,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
1986,8.658797722140156,m2_yoy,jp,pct,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
1987,10.35965784040416,m2_yoy,jp,pct,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
1988,11.208083565788089,m2_yoy,jp,pct,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
1989,9.904558336485623,m2_yoy,jp,pct,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
1990,11.681283614703991,m2_yoy,jp,pct,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
1991,3.672374552654869,m2_yoy,jp,pct,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
1992,0.6005020620384346,m2_yoy,jp,pct,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
1993,1.0712601685539689,m2_yoy,jp,pct,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
1994,2.0520852101377365,m2_yoy,jp,pct,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
1995,3.0286264450824825,m2_yoy,jp,pct,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
1996,3.258775577701541,m2_yoy,jp,pct,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
1997,3.0602737880166893,m2_yoy,jp,pct,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
1998,4.367021043088637,m2_yoy,jp,pct,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
1999,3.683826681352704,m2_yoy,jp,pct,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
2000,2.107901819609725,m2_yoy,jp,pct,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
2001,2.7793017701642,m2_yoy,jp,pct,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
2002,3.306551798538306,m2_yoy,jp,pct,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
2003,1.3337724432102795,m2_yoy,jp,pct,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
2004,1.7506094580431342,m2_yoy,jp,pct,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
2005,1.8109548693204065,m2_yoy,jp,pct,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
2006,1.011263400534392,m2_yoy,jp,pct,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
2007,1.5732078468079207,m2_yoy,jp,pct,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
2008,2.0834090279981248,m2_yoy,jp,pct,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
2009,2.7018263676690744,m2_yoy,jp,pct,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
2010,2.7703485221278026,m2_yoy,jp,pct,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
2011,2.7381945645474453,m2_yoy,jp,pct,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
2012,2.5050803819475647,m2_yoy,jp,pct,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
2013,3.602455679120048,m2_yoy,jp,pct,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
2014,3.4131296905647868,m2_yoy,jp,pct,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
2015,3.692877420234407,m2_yoy,jp,pct,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
2016,3.47579223282767,m2_yoy,jp,pct,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
2017,4.148521213990842,m2_yoy,jp,pct,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
2018,2.531,m2_yoy,jp,pct,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
2019,2.024,m2_yoy,jp,pct,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
2020,5.367,m2_yoy,jp,pct,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
2021,5.533,m2_yoy,jp,pct,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
2022,2.92,m2_yoy,jp,pct,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
2023,1.894,m2_yoy,jp,pct,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
2024,1.7,m2_yoy,jp,pct,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
2025,1.2,m2_yoy,jp,pct,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
