year,value,variable,country,unit,source_note
1970,10.282406472071193,real_gdp_yoy,jp,pct,ESRI 68SNA 実質GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
1971,4.389103413705797,real_gdp_yoy,jp,pct,ESRI 68SNA 実質GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
1972,8.413496387639373,real_gdp_yoy,jp,pct,ESRI 68SNA 実質GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
1973,8.032650663518638,real_gdp_yoy,jp,pct,ESRI 68SNA 実質GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
1974,-1.2251963962461532,real_gdp_yoy,jp,pct,ESRI 68SNA 実質GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
1975,3.091486616851591,real_gdp_yoy,jp,pct,ESRI 68SNA 実質GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
1976,3.9750284378442746,real_gdp_yoy,jp,pct,ESRI 68SNA 実質GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
1977,4.390337950229406,real_gdp_yoy,jp,pct,ESRI 68SNA 実質GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
1978,5.272020094215213,real_gdp_yoy,jp,pct,ESRI 68SNA 実質GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
1979,5.483925755186214,real_gdp_yoy,jp,pct,ESRI 68SNA 実質GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
1980,2.8175922046450586,real_gdp_yoy,jp,pct,ESRI 68SNA 実質GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
1981,3.1703556346390105,real_gdp_yoy,jp,pct,ESRI 68SNA 実質GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
1982,3.0573203786330883,real_gdp_yoy,jp,pct,ESRI 68SNA 実質GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
1983,2.322068111839948,real_gdp_yoy,jp,pct,ESRI 68SNA 実質GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
1984,3.9173592465945095,real_gdp_yoy,jp,pct,ESRI 68SNA 実質GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
1985,4.404087267701429,real_gdp_yoy,jp,pct,ESRI 68SNA 実質GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
1986,2.8954058052743425,real_gdp_yoy,jp,pct,ESRI 68SNA 実質GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
1987,4.158835864883259,real_gdp_yoy,jp,pct,ESRI 68SNA 実質GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
1988,6.194870600564761,real_gdp_yoy,jp,pct,ESRI 68SNA 実質GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
1989,4.831406009295325,real_gdp_yoy,jp,pct,ESRI 68SNA 実質GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
