year,value,variable,country,unit,source_note
1970,157146631.0,trade_balance_gdp,jp,pct_of_gdp,"B2: annual_JP_trade_balance_gdp_2001_2025 (2008SNA regime, junction disclosed)"
1971,1482812108.0,trade_balance_gdp,jp,pct_of_gdp,"B2: annual_JP_trade_balance_gdp_2001_2025 (2008SNA regime, junction disclosed)"
1972,1577093410.0,trade_balance_gdp,jp,pct_of_gdp,"B2: annual_JP_trade_balance_gdp_2001_2025 (2008SNA regime, junction disclosed)"
1973,-372928182.0,trade_balance_gdp,jp,pct_of_gdp,"B2: annual_JP_trade_balance_gdp_2001_2025 (2008SNA regime, junction disclosed)"
1974,-1868502351.0,trade_balance_gdp,jp,pct_of_gdp,"B2: annual_JP_trade_balance_gdp_2001_2025 (2008SNA regime, junction disclosed)"
1975,-624713258.0,trade_balance_gdp,jp,pct_of_gdp,"B2: annual_JP_trade_balance_gdp_2001_2025 (2008SNA regime, junction disclosed)"
1976,705449854.0,trade_balance_gdp,jp,pct_of_gdp,"B2: annual_JP_trade_balance_gdp_2001_2025 (2008SNA regime, junction disclosed)"
1977,2516290731.0,trade_balance_gdp,jp,pct_of_gdp,"B2: annual_JP_trade_balance_gdp_2001_2025 (2008SNA regime, junction disclosed)"
1978,3828216558.0,trade_balance_gdp,jp,pct_of_gdp,"B2: annual_JP_trade_balance_gdp_2001_2025 (2008SNA regime, junction disclosed)"
1979,-1713812138.0,trade_balance_gdp,jp,pct_of_gdp,"B2: annual_JP_trade_balance_gdp_2001_2025 (2008SNA regime, junction disclosed)"
1980,-2612853264.0,trade_balance_gdp,jp,pct_of_gdp,"B2: annual_JP_trade_balance_gdp_2001_2025 (2008SNA regime, junction disclosed)"
1981,2004838761.0,trade_balance_gdp,jp,pct_of_gdp,"B2: annual_JP_trade_balance_gdp_2001_2025 (2008SNA regime, junction disclosed)"
1982,1776198373.0,trade_balance_gdp,jp,pct_of_gdp,"B2: annual_JP_trade_balance_gdp_2001_2025 (2008SNA regime, junction disclosed)"
1983,4894484543.0,trade_balance_gdp,jp,pct_of_gdp,"B2: annual_JP_trade_balance_gdp_2001_2025 (2008SNA regime, junction disclosed)"
1984,8004167061.0,trade_balance_gdp,jp,pct_of_gdp,"B2: annual_JP_trade_balance_gdp_2001_2025 (2008SNA regime, junction disclosed)"
1985,10870724264.0,trade_balance_gdp,jp,pct_of_gdp,"B2: annual_JP_trade_balance_gdp_2001_2025 (2008SNA regime, junction disclosed)"
1986,13738996817.0,trade_balance_gdp,jp,pct_of_gdp,"B2: annual_JP_trade_balance_gdp_2001_2025 (2008SNA regime, junction disclosed)"
1987,11578278710.0,trade_balance_gdp,jp,pct_of_gdp,"B2: annual_JP_trade_balance_gdp_2001_2025 (2008SNA regime, junction disclosed)"
1988,9932863299.0,trade_balance_gdp,jp,pct_of_gdp,"B2: annual_JP_trade_balance_gdp_2001_2025 (2008SNA regime, junction disclosed)"
1989,8843962045.0,trade_balance_gdp,jp,pct_of_gdp,"B2: annual_JP_trade_balance_gdp_2001_2025 (2008SNA regime, junction disclosed)"
1990,7601732036.0,trade_balance_gdp,jp,pct_of_gdp,"B2: annual_JP_trade_balance_gdp_2001_2025 (2008SNA regime, junction disclosed)"
1991,10459739452.0,trade_balance_gdp,jp,pct_of_gdp,"B2: annual_JP_trade_balance_gdp_2001_2025 (2008SNA regime, junction disclosed)"
1992,13484862084.0,trade_balance_gdp,jp,pct_of_gdp,"B2: annual_JP_trade_balance_gdp_2001_2025 (2008SNA regime, junction disclosed)"
1993,13376091486.0,trade_balance_gdp,jp,pct_of_gdp,"B2: annual_JP_trade_balance_gdp_2001_2025 (2008SNA regime, junction disclosed)"
1994,12393225354.0,trade_balance_gdp,jp,pct_of_gdp,"B2: annual_JP_trade_balance_gdp_2001_2025 (2008SNA regime, junction disclosed)"
1995,9982141240.0,trade_balance_gdp,jp,pct_of_gdp,"B2: annual_JP_trade_balance_gdp_2001_2025 (2008SNA regime, junction disclosed)"
1996,6737890100.0,trade_balance_gdp,jp,pct_of_gdp,"B2: annual_JP_trade_balance_gdp_2001_2025 (2008SNA regime, junction disclosed)"
1997,9981809286.0,trade_balance_gdp,jp,pct_of_gdp,"B2: annual_JP_trade_balance_gdp_2001_2025 (2008SNA regime, junction disclosed)"
1998,13991356755.0,trade_balance_gdp,jp,pct_of_gdp,"B2: annual_JP_trade_balance_gdp_2001_2025 (2008SNA regime, junction disclosed)"
1999,12279548178.0,trade_balance_gdp,jp,pct_of_gdp,"B2: annual_JP_trade_balance_gdp_2001_2025 (2008SNA regime, junction disclosed)"
2000,10715774792.0,trade_balance_gdp,jp,pct_of_gdp,"B2: annual_JP_trade_balance_gdp_2001_2025 (2008SNA regime, junction disclosed)"
2001,6563711309.0,trade_balance_gdp,jp,pct_of_gdp,"B2: annual_JP_trade_balance_gdp_2001_2025 (2008SNA regime, junction disclosed)"
2002,9881449790.0,trade_balance_gdp,jp,pct_of_gdp,"B2: annual_JP_trade_balance_gdp_2001_2025 (2008SNA regime, junction disclosed)"
2003,10186326820.0,trade_balance_gdp,jp,pct_of_gdp,"B2: annual_JP_trade_balance_gdp_2001_2025 (2008SNA regime, junction disclosed)"
2004,11953342748.0,trade_balance_gdp,jp,pct_of_gdp,"B2: annual_JP_trade_balance_gdp_2001_2025 (2008SNA regime, junction disclosed)"
2005,8707151976.0,trade_balance_gdp,jp,pct_of_gdp,"B2: annual_JP_trade_balance_gdp_2001_2025 (2008SNA regime, junction disclosed)"
2006,7901880320.0,trade_balance_gdp,jp,pct_of_gdp,"B2: annual_JP_trade_balance_gdp_2001_2025 (2008SNA regime, junction disclosed)"
2007,10795517185.0,trade_balance_gdp,jp,pct_of_gdp,"B2: annual_JP_trade_balance_gdp_2001_2025 (2008SNA regime, junction disclosed)"
2008,2063337681.0,trade_balance_gdp,jp,pct_of_gdp,"B2: annual_JP_trade_balance_gdp_2001_2025 (2008SNA regime, junction disclosed)"
2009,2671236309.0,trade_balance_gdp,jp,pct_of_gdp,"B2: annual_JP_trade_balance_gdp_2001_2025 (2008SNA regime, junction disclosed)"
2010,6634669856.0,trade_balance_gdp,jp,pct_of_gdp,"B2: annual_JP_trade_balance_gdp_2001_2025 (2008SNA regime, junction disclosed)"
2011,-2564712230.0,trade_balance_gdp,jp,pct_of_gdp,"B2: annual_JP_trade_balance_gdp_2001_2025 (2008SNA regime, junction disclosed)"
2012,-6941059625.0,trade_balance_gdp,jp,pct_of_gdp,"B2: annual_JP_trade_balance_gdp_2001_2025 (2008SNA regime, junction disclosed)"
2013,-11468352221.0,trade_balance_gdp,jp,pct_of_gdp,"B2: annual_JP_trade_balance_gdp_2001_2025 (2008SNA regime, junction disclosed)"
2014,-12816084422.0,trade_balance_gdp,jp,pct_of_gdp,"B2: annual_JP_trade_balance_gdp_2001_2025 (2008SNA regime, junction disclosed)"
2015,-2791606931.0,trade_balance_gdp,jp,pct_of_gdp,"B2: annual_JP_trade_balance_gdp_2001_2025 (2008SNA regime, junction disclosed)"
2016,3993796498.0,trade_balance_gdp,jp,pct_of_gdp,"B2: annual_JP_trade_balance_gdp_2001_2025 (2008SNA regime, junction disclosed)"
2017,2907225941.0,trade_balance_gdp,jp,pct_of_gdp,"B2: annual_JP_trade_balance_gdp_2001_2025 (2008SNA regime, junction disclosed)"
2018,-1224551721.0,trade_balance_gdp,jp,pct_of_gdp,"B2: annual_JP_trade_balance_gdp_2001_2025 (2008SNA regime, junction disclosed)"
2019,-1667845036.0,trade_balance_gdp,jp,pct_of_gdp,"B2: annual_JP_trade_balance_gdp_2001_2025 (2008SNA regime, junction disclosed)"
2020,388289458.0,trade_balance_gdp,jp,pct_of_gdp,"B2: annual_JP_trade_balance_gdp_2001_2025 (2008SNA regime, junction disclosed)"
2021,-1783624298.0,trade_balance_gdp,jp,pct_of_gdp,"B2: annual_JP_trade_balance_gdp_2001_2025 (2008SNA regime, junction disclosed)"
2022,-20329540690.0,trade_balance_gdp,jp,pct_of_gdp,"B2: annual_JP_trade_balance_gdp_2001_2025 (2008SNA regime, junction disclosed)"
2023,-9522070289.0,trade_balance_gdp,jp,pct_of_gdp,"B2: annual_JP_trade_balance_gdp_2001_2025 (2008SNA regime, junction disclosed)"
2024,-5628449852.0,trade_balance_gdp,jp,pct_of_gdp,"B2: annual_JP_trade_balance_gdp_2001_2025 (2008SNA regime, junction disclosed)"
