year,value,variable,country,unit,source_note
1970,6.929835046617261,working_age_growth,jp,pct,"IPSS 表2-5 15-64 pop inter-census growth (ANCHOR, not annual)"
1975,5.92599837911858,working_age_growth,jp,pct,"IPSS 表2-5 15-64 pop inter-census growth (ANCHOR, not annual)"
1980,3.99435408339599,working_age_growth,jp,pct,"IPSS 表2-5 15-64 pop inter-census growth (ANCHOR, not annual)"
1985,4.656561172068252,working_age_growth,jp,pct,"IPSS 表2-5 15-64 pop inter-census growth (ANCHOR, not annual)"
1990,4.11848835236226,working_age_growth,jp,pct,"IPSS 表2-5 15-64 pop inter-census growth (ANCHOR, not annual)"
1995,1.4679176755447942,working_age_growth,jp,pct,"IPSS 表2-5 15-64 pop inter-census growth (ANCHOR, not annual)"
2000,-1.0841507485802817,working_age_growth,jp,pct,"IPSS 表2-5 15-64 pop inter-census growth (ANCHOR, not annual)"
2005,-2.4681048480630907,working_age_growth,jp,pct,"IPSS 表2-5 15-64 pop inter-census growth (ANCHOR, not annual)"
2010,-3.638871711934544,working_age_growth,jp,pct,"IPSS 表2-5 15-64 pop inter-census growth (ANCHOR, not annual)"
2015,-5.853243163194788,working_age_growth,jp,pct,"IPSS 表2-5 15-64 pop inter-census growth (ANCHOR, not annual)"
2020,-4.412169513298114,working_age_growth,jp,pct,"IPSS 表2-5 15-64 pop inter-census growth (ANCHOR, not annual)"
2021,2.168040261645854,working_age_growth,jp,pct,"IPSS 表2-5 15-64 pop inter-census growth (ANCHOR, not annual)"
2022,-0.3972941050145007,working_age_growth,jp,pct,"IPSS 表2-5 15-64 pop inter-census growth (ANCHOR, not annual)"
2023,-0.3449762828805491,working_age_growth,jp,pct,"IPSS 表2-5 15-64 pop inter-census growth (ANCHOR, not annual)"
2024,-0.302899177845084,working_age_growth,jp,pct,"IPSS 表2-5 15-64 pop inter-census growth (ANCHOR, not annual)"
