year,value,variable,country,unit,source_note
1970,34.68546516502249,youth_dependency,jp,pct,IPSS 表2-5 0-14/15-64 15-64 canonical (ANCHOR)
1975,35.90829342936669,youth_dependency,jp,pct,IPSS 表2-5 0-14/15-64 15-64 canonical (ANCHOR)
1980,34.89186275131604,youth_dependency,jp,pct,IPSS 表2-5 0-14/15-64 15-64 canonical (ANCHOR)
1985,31.552856761932464,youth_dependency,jp,pct,IPSS 表2-5 0-14/15-64 15-64 canonical (ANCHOR)
1990,26.17573104861241,youth_dependency,jp,pct,IPSS 表2-5 0-14/15-64 15-64 canonical (ANCHOR)
1995,22.96105088051397,youth_dependency,jp,pct,IPSS 表2-5 0-14/15-64 15-64 canonical (ANCHOR)
2000,21.424263511946183,youth_dependency,jp,pct,IPSS 表2-5 0-14/15-64 15-64 canonical (ANCHOR)
2005,20.83551348523046,youth_dependency,jp,pct,IPSS 表2-5 0-14/15-64 15-64 canonical (ANCHOR)
2010,20.73625234475269,youth_dependency,jp,pct,IPSS 表2-5 0-14/15-64 15-64 canonical (ANCHOR)
2015,20.82475848418514,youth_dependency,jp,pct,IPSS 表2-5 0-14/15-64 15-64 canonical (ANCHOR)
2020,20.509304334709213,youth_dependency,jp,pct,IPSS 表2-5 0-14/15-64 15-64 canonical (ANCHOR)
2021,19.843229893696986,youth_dependency,jp,pct,IPSS 表2-5 0-14/15-64 15-64 canonical (ANCHOR)
2022,19.54371496334627,youth_dependency,jp,pct,IPSS 表2-5 0-14/15-64 15-64 canonical (ANCHOR)
2023,19.165134141064478,youth_dependency,jp,pct,IPSS 表2-5 0-14/15-64 15-64 canonical (ANCHOR)
2024,18.758138020833336,youth_dependency,jp,pct,IPSS 表2-5 0-14/15-64 15-64 canonical (ANCHOR)
