quarter,value,variable,country,unit,source_note
2010-Q1,26.4,cn_fai_yoy_q,CN,pct_yoy,"NBS 固定资产投资(不含农户) 累计同比 季度末月值(3/6/9/12月, 该季累计同比状态); B4 I_q CN 代理 PROXY_NFC_INVESTMENT"
2010-Q2,25.5,cn_fai_yoy_q,CN,pct_yoy,"NBS 固定资产投资(不含农户) 累计同比 季度末月值(3/6/9/12月, 该季累计同比状态); B4 I_q CN 代理 PROXY_NFC_INVESTMENT"
2010-Q3,24.5,cn_fai_yoy_q,CN,pct_yoy,"NBS 固定资产投资(不含农户) 累计同比 季度末月值(3/6/9/12月, 该季累计同比状态); B4 I_q CN 代理 PROXY_NFC_INVESTMENT"
2010-Q4,24.5,cn_fai_yoy_q,CN,pct_yoy,"NBS 固定资产投资(不含农户) 累计同比 季度末月值(3/6/9/12月, 该季累计同比状态); B4 I_q CN 代理 PROXY_NFC_INVESTMENT"
2011-Q1,25.0,cn_fai_yoy_q,CN,pct_yoy,"NBS 固定资产投资(不含农户) 累计同比 季度末月值(3/6/9/12月, 该季累计同比状态); B4 I_q CN 代理 PROXY_NFC_INVESTMENT"
2011-Q2,25.6,cn_fai_yoy_q,CN,pct_yoy,"NBS 固定资产投资(不含农户) 累计同比 季度末月值(3/6/9/12月, 该季累计同比状态); B4 I_q CN 代理 PROXY_NFC_INVESTMENT"
2011-Q3,24.9,cn_fai_yoy_q,CN,pct_yoy,"NBS 固定资产投资(不含农户) 累计同比 季度末月值(3/6/9/12月, 该季累计同比状态); B4 I_q CN 代理 PROXY_NFC_INVESTMENT"
2011-Q4,23.8,cn_fai_yoy_q,CN,pct_yoy,"NBS 固定资产投资(不含农户) 累计同比 季度末月值(3/6/9/12月, 该季累计同比状态); B4 I_q CN 代理 PROXY_NFC_INVESTMENT"
2012-Q1,20.9,cn_fai_yoy_q,CN,pct_yoy,"NBS 固定资产投资(不含农户) 累计同比 季度末月值(3/6/9/12月, 该季累计同比状态); B4 I_q CN 代理 PROXY_NFC_INVESTMENT"
2012-Q2,20.4,cn_fai_yoy_q,CN,pct_yoy,"NBS 固定资产投资(不含农户) 累计同比 季度末月值(3/6/9/12月, 该季累计同比状态); B4 I_q CN 代理 PROXY_NFC_INVESTMENT"
