quarter,value,variable,country,unit,source_note
2010-Q1,5.31,cn_policy_rate_1y,CN,percent,"1Y 贷款基准利率(2010-2019, PBOC 公告)+1Y LPR(2019-08+, 每月20日); 季度末值; 断点 2019-08 LPR 改革"
2010-Q2,5.31,cn_policy_rate_1y,CN,percent,"1Y 贷款基准利率(2010-2019, PBOC 公告)+1Y LPR(2019-08+, 每月20日); 季度末值; 断点 2019-08 LPR 改革"
2010-Q3,5.31,cn_policy_rate_1y,CN,percent,"1Y 贷款基准利率(2010-2019, PBOC 公告)+1Y LPR(2019-08+, 每月20日); 季度末值; 断点 2019-08 LPR 改革"
2010-Q4,5.81,cn_policy_rate_1y,CN,percent,"1Y 贷款基准利率(2010-2019, PBOC 公告)+1Y LPR(2019-08+, 每月20日); 季度末值; 断点 2019-08 LPR 改革"
2011-Q1,6.06,cn_policy_rate_1y,CN,percent,"1Y 贷款基准利率(2010-2019, PBOC 公告)+1Y LPR(2019-08+, 每月20日); 季度末值; 断点 2019-08 LPR 改革"
2011-Q2,6.31,cn_policy_rate_1y,CN,percent,"1Y 贷款基准利率(2010-2019, PBOC 公告)+1Y LPR(2019-08+, 每月20日); 季度末值; 断点 2019-08 LPR 改革"
2011-Q3,6.56,cn_policy_rate_1y,CN,percent,"1Y 贷款基准利率(2010-2019, PBOC 公告)+1Y LPR(2019-08+, 每月20日); 季度末值; 断点 2019-08 LPR 改革"
2011-Q4,6.56,cn_policy_rate_1y,CN,percent,"1Y 贷款基准利率(2010-2019, PBOC 公告)+1Y LPR(2019-08+, 每月20日); 季度末值; 断点 2019-08 LPR 改革"
2012-Q1,6.56,cn_policy_rate_1y,CN,percent,"1Y 贷款基准利率(2010-2019, PBOC 公告)+1Y LPR(2019-08+, 每月20日); 季度末值; 断点 2019-08 LPR 改革"
2012-Q2,6.31,cn_policy_rate_1y,CN,percent,"1Y 贷款基准利率(2010-2019, PBOC 公告)+1Y LPR(2019-08+, 每月20日); 季度末值; 断点 2019-08 LPR 改革"
2012-Q3,6.0,cn_policy_rate_1y,CN,percent,"1Y 贷款基准利率(2010-2019, PBOC 公告)+1Y LPR(2019-08+, 每月20日); 季度末值; 断点 2019-08 LPR 改革"
2012-Q4,6.0,cn_policy_rate_1y,CN,percent,"1Y 贷款基准利率(2010-2019, PBOC 公告)+1Y LPR(2019-08+, 每月20日); 季度末值; 断点 2019-08 LPR 改革"
2013-Q1,6.0,cn_policy_rate_1y,CN,percent,"1Y 贷款基准利率(2010-2019, PBOC 公告)+1Y LPR(2019-08+, 每月20日); 季度末值; 断点 2019-08 LPR 改革"
2013-Q2,6.0,cn_policy_rate_1y,CN,percent,"1Y 贷款基准利率(2010-2019, PBOC 公告)+1Y LPR(2019-08+, 每月20日); 季度末值; 断点 2019-08 LPR 改革"
2013-Q3,6.0,cn_policy_rate_1y,CN,percent,"1Y 贷款基准利率(2010-2019, PBOC 公告)+1Y LPR(2019-08+, 每月20日); 季度末值; 断点 2019-08 LPR 改革"
2013-Q4,6.0,cn_policy_rate_1y,CN,percent,"1Y 贷款基准利率(2010-2019, PBOC 公告)+1Y LPR(2019-08+, 每月20日); 季度末值; 断点 2019-08 LPR 改革"
2014-Q1,6.0,cn_policy_rate_1y,CN,percent,"1Y 贷款基准利率(2010-2019, PBOC 公告)+1Y LPR(2019-08+, 每月20日); 季度末值; 断点 2019-08 LPR 改革"
2014-Q2,6.0,cn_policy_rate_1y,CN,percent,"1Y 贷款基准利率(2010-2019, PBOC 公告)+1Y LPR(2019-08+, 每月20日); 季度末值; 断点 2019-08 LPR 改革"
2014-Q3,6.0,cn_policy_rate_1y,CN,percent,"1Y 贷款基准利率(2010-2019, PBOC 公告)+1Y LPR(2019-08+, 每月20日); 季度末值; 断点 2019-08 LPR 改革"
2014-Q4,5.6,cn_policy_rate_1y,CN,percent,"1Y 贷款基准利率(2010-2019, PBOC 公告)+1Y LPR(2019-08+, 每月20日); 季度末值; 断点 2019-08 LPR 改革"
2015-Q1,5.35,cn_policy_rate_1y,CN,percent,"1Y 贷款基准利率(2010-2019, PBOC 公告)+1Y LPR(2019-08+, 每月20日); 季度末值; 断点 2019-08 LPR 改革"
2015-Q2,5.1,cn_policy_rate_1y,CN,percent,"1Y 贷款基准利率(2010-2019, PBOC 公告)+1Y LPR(2019-08+, 每月20日); 季度末值; 断点 2019-08 LPR 改革"
2015-Q3,4.6,cn_policy_rate_1y,CN,percent,"1Y 贷款基准利率(2010-2019, PBOC 公告)+1Y LPR(2019-08+, 每月20日); 季度末值; 断点 2019-08 LPR 改革"
2015-Q4,4.35,cn_policy_rate_1y,CN,percent,"1Y 贷款基准利率(2010-2019, PBOC 公告)+1Y LPR(2019-08+, 每月20日); 季度末值; 断点 2019-08 LPR 改革"
2016-Q1,4.35,cn_policy_rate_1y,CN,percent,"1Y 贷款基准利率(2010-2019, PBOC 公告)+1Y LPR(2019-08+, 每月20日); 季度末值; 断点 2019-08 LPR 改革"
2016-Q2,4.35,cn_policy_rate_1y,CN,percent,"1Y 贷款基准利率(2010-2019, PBOC 公告)+1Y LPR(2019-08+, 每月20日); 季度末值; 断点 2019-08 LPR 改革"
2016-Q3,4.35,cn_policy_rate_1y,CN,percent,"1Y 贷款基准利率(2010-2019, PBOC 公告)+1Y LPR(2019-08+, 每月20日); 季度末值; 断点 2019-08 LPR 改革"
2016-Q4,4.35,cn_policy_rate_1y,CN,percent,"1Y 贷款基准利率(2010-2019, PBOC 公告)+1Y LPR(2019-08+, 每月20日); 季度末值; 断点 2019-08 LPR 改革"
2017-Q1,4.35,cn_policy_rate_1y,CN,percent,"1Y 贷款基准利率(2010-2019, PBOC 公告)+1Y LPR(2019-08+, 每月20日); 季度末值; 断点 2019-08 LPR 改革"
2017-Q2,4.35,cn_policy_rate_1y,CN,percent,"1Y 贷款基准利率(2010-2019, PBOC 公告)+1Y LPR(2019-08+, 每月20日); 季度末值; 断点 2019-08 LPR 改革"
2017-Q3,4.35,cn_policy_rate_1y,CN,percent,"1Y 贷款基准利率(2010-2019, PBOC 公告)+1Y LPR(2019-08+, 每月20日); 季度末值; 断点 2019-08 LPR 改革"
2017-Q4,4.35,cn_policy_rate_1y,CN,percent,"1Y 贷款基准利率(2010-2019, PBOC 公告)+1Y LPR(2019-08+, 每月20日); 季度末值; 断点 2019-08 LPR 改革"
2018-Q1,4.35,cn_policy_rate_1y,CN,percent,"1Y 贷款基准利率(2010-2019, PBOC 公告)+1Y LPR(2019-08+, 每月20日); 季度末值; 断点 2019-08 LPR 改革"
2018-Q2,4.35,cn_policy_rate_1y,CN,percent,"1Y 贷款基准利率(2010-2019, PBOC 公告)+1Y LPR(2019-08+, 每月20日); 季度末值; 断点 2019-08 LPR 改革"
2018-Q3,4.35,cn_policy_rate_1y,CN,percent,"1Y 贷款基准利率(2010-2019, PBOC 公告)+1Y LPR(2019-08+, 每月20日); 季度末值; 断点 2019-08 LPR 改革"
2018-Q4,4.35,cn_policy_rate_1y,CN,percent,"1Y 贷款基准利率(2010-2019, PBOC 公告)+1Y LPR(2019-08+, 每月20日); 季度末值; 断点 2019-08 LPR 改革"
2019-Q1,4.35,cn_policy_rate_1y,CN,percent,"1Y 贷款基准利率(2010-2019, PBOC 公告)+1Y LPR(2019-08+, 每月20日); 季度末值; 断点 2019-08 LPR 改革"
2019-Q2,4.35,cn_policy_rate_1y,CN,percent,"1Y 贷款基准利率(2010-2019, PBOC 公告)+1Y LPR(2019-08+, 每月20日); 季度末值; 断点 2019-08 LPR 改革"
2019-Q3,4.25,cn_policy_rate_1y,CN,percent,"1Y 贷款基准利率(2010-2019, PBOC 公告)+1Y LPR(2019-08+, 每月20日); 季度末值; 断点 2019-08 LPR 改革"
2019-Q4,4.2,cn_policy_rate_1y,CN,percent,"1Y 贷款基准利率(2010-2019, PBOC 公告)+1Y LPR(2019-08+, 每月20日); 季度末值; 断点 2019-08 LPR 改革"
2020-Q1,4.15,cn_policy_rate_1y,CN,percent,"1Y 贷款基准利率(2010-2019, PBOC 公告)+1Y LPR(2019-08+, 每月20日); 季度末值; 断点 2019-08 LPR 改革"
2020-Q2,3.85,cn_policy_rate_1y,CN,percent,"1Y 贷款基准利率(2010-2019, PBOC 公告)+1Y LPR(2019-08+, 每月20日); 季度末值; 断点 2019-08 LPR 改革"
2020-Q3,3.85,cn_policy_rate_1y,CN,percent,"1Y 贷款基准利率(2010-2019, PBOC 公告)+1Y LPR(2019-08+, 每月20日); 季度末值; 断点 2019-08 LPR 改革"
2020-Q4,3.85,cn_policy_rate_1y,CN,percent,"1Y 贷款基准利率(2010-2019, PBOC 公告)+1Y LPR(2019-08+, 每月20日); 季度末值; 断点 2019-08 LPR 改革"
2021-Q1,3.85,cn_policy_rate_1y,CN,percent,"1Y 贷款基准利率(2010-2019, PBOC 公告)+1Y LPR(2019-08+, 每月20日); 季度末值; 断点 2019-08 LPR 改革"
2021-Q2,3.85,cn_policy_rate_1y,CN,percent,"1Y 贷款基准利率(2010-2019, PBOC 公告)+1Y LPR(2019-08+, 每月20日); 季度末值; 断点 2019-08 LPR 改革"
2021-Q3,3.85,cn_policy_rate_1y,CN,percent,"1Y 贷款基准利率(2010-2019, PBOC 公告)+1Y LPR(2019-08+, 每月20日); 季度末值; 断点 2019-08 LPR 改革"
2021-Q4,3.85,cn_policy_rate_1y,CN,percent,"1Y 贷款基准利率(2010-2019, PBOC 公告)+1Y LPR(2019-08+, 每月20日); 季度末值; 断点 2019-08 LPR 改革"
2022-Q1,3.7,cn_policy_rate_1y,CN,percent,"1Y 贷款基准利率(2010-2019, PBOC 公告)+1Y LPR(2019-08+, 每月20日); 季度末值; 断点 2019-08 LPR 改革"
2022-Q2,3.7,cn_policy_rate_1y,CN,percent,"1Y 贷款基准利率(2010-2019, PBOC 公告)+1Y LPR(2019-08+, 每月20日); 季度末值; 断点 2019-08 LPR 改革"
2022-Q3,3.7,cn_policy_rate_1y,CN,percent,"1Y 贷款基准利率(2010-2019, PBOC 公告)+1Y LPR(2019-08+, 每月20日); 季度末值; 断点 2019-08 LPR 改革"
2022-Q4,3.65,cn_policy_rate_1y,CN,percent,"1Y 贷款基准利率(2010-2019, PBOC 公告)+1Y LPR(2019-08+, 每月20日); 季度末值; 断点 2019-08 LPR 改革"
2023-Q1,3.65,cn_policy_rate_1y,CN,percent,"1Y 贷款基准利率(2010-2019, PBOC 公告)+1Y LPR(2019-08+, 每月20日); 季度末值; 断点 2019-08 LPR 改革"
2023-Q2,3.65,cn_policy_rate_1y,CN,percent,"1Y 贷款基准利率(2010-2019, PBOC 公告)+1Y LPR(2019-08+, 每月20日); 季度末值; 断点 2019-08 LPR 改革"
2023-Q3,3.55,cn_policy_rate_1y,CN,percent,"1Y 贷款基准利率(2010-2019, PBOC 公告)+1Y LPR(2019-08+, 每月20日); 季度末值; 断点 2019-08 LPR 改革"
2023-Q4,3.45,cn_policy_rate_1y,CN,percent,"1Y 贷款基准利率(2010-2019, PBOC 公告)+1Y LPR(2019-08+, 每月20日); 季度末值; 断点 2019-08 LPR 改革"
2024-Q1,3.45,cn_policy_rate_1y,CN,percent,"1Y 贷款基准利率(2010-2019, PBOC 公告)+1Y LPR(2019-08+, 每月20日); 季度末值; 断点 2019-08 LPR 改革"
2024-Q2,3.45,cn_policy_rate_1y,CN,percent,"1Y 贷款基准利率(2010-2019, PBOC 公告)+1Y LPR(2019-08+, 每月20日); 季度末值; 断点 2019-08 LPR 改革"
2024-Q3,3.35,cn_policy_rate_1y,CN,percent,"1Y 贷款基准利率(2010-2019, PBOC 公告)+1Y LPR(2019-08+, 每月20日); 季度末值; 断点 2019-08 LPR 改革"
2024-Q4,3.1,cn_policy_rate_1y,CN,percent,"1Y 贷款基准利率(2010-2019, PBOC 公告)+1Y LPR(2019-08+, 每月20日); 季度末值; 断点 2019-08 LPR 改革"
2025-Q1,3.1,cn_policy_rate_1y,CN,percent,"1Y 贷款基准利率(2010-2019, PBOC 公告)+1Y LPR(2019-08+, 每月20日); 季度末值; 断点 2019-08 LPR 改革"
2025-Q2,3.1,cn_policy_rate_1y,CN,percent,"1Y 贷款基准利率(2010-2019, PBOC 公告)+1Y LPR(2019-08+, 每月20日); 季度末值; 断点 2019-08 LPR 改革"
2025-Q3,3.0,cn_policy_rate_1y,CN,percent,"1Y 贷款基准利率(2010-2019, PBOC 公告)+1Y LPR(2019-08+, 每月20日); 季度末值; 断点 2019-08 LPR 改革"
2025-Q4,3.0,cn_policy_rate_1y,CN,percent,"1Y 贷款基准利率(2010-2019, PBOC 公告)+1Y LPR(2019-08+, 每月20日); 季度末值; 断点 2019-08 LPR 改革"
2026-Q1,3.0,cn_policy_rate_1y,CN,percent,"1Y 贷款基准利率(2010-2019, PBOC 公告)+1Y LPR(2019-08+, 每月20日); 季度末值; 断点 2019-08 LPR 改革"
2026-Q2,3.0,cn_policy_rate_1y,CN,percent,"1Y 贷款基准利率(2010-2019, PBOC 公告)+1Y LPR(2019-08+, 每月20日); 季度末值; 断点 2019-08 LPR 改革"
