quarter,value,variable,country,unit,source_note
1954-Q2,0.010949,corporate_land_share,JP,ratio,MOF assets land/total assets Q JP-only 1954Q2-2026Q1
1954-Q3,0.011762,corporate_land_share,JP,ratio,MOF assets land/total assets Q JP-only 1954Q2-2026Q1
1954-Q4,0.011992,corporate_land_share,JP,ratio,MOF assets land/total assets Q JP-only 1954Q2-2026Q1
1955-Q1,0.012646,corporate_land_share,JP,ratio,MOF assets land/total assets Q JP-only 1954Q2-2026Q1
1955-Q2,0.012875,corporate_land_share,JP,ratio,MOF assets land/total assets Q JP-only 1954Q2-2026Q1
1955-Q3,0.012997,corporate_land_share,JP,ratio,MOF assets land/total assets Q JP-only 1954Q2-2026Q1
1955-Q4,0.013161,corporate_land_share,JP,ratio,MOF assets land/total assets Q JP-only 1954Q2-2026Q1
1956-Q1,0.013763,corporate_land_share,JP,ratio,MOF assets land/total assets Q JP-only 1954Q2-2026Q1
1956-Q2,0.013824,corporate_land_share,JP,ratio,MOF assets land/total assets Q JP-only 1954Q2-2026Q1
1956-Q3,0.014359,corporate_land_share,JP,ratio,MOF assets land/total assets Q JP-only 1954Q2-2026Q1
1956-Q4,0.01476,corporate_land_share,JP,ratio,MOF assets land/total assets Q JP-only 1954Q2-2026Q1
1957-Q1,0.014561,corporate_land_share,JP,ratio,MOF assets land/total assets Q JP-only 1954Q2-2026Q1
1957-Q2,0.015446,corporate_land_share,JP,ratio,MOF assets land/total assets Q JP-only 1954Q2-2026Q1
1957-Q3,0.016034,corporate_land_share,JP,ratio,MOF assets land/total assets Q JP-only 1954Q2-2026Q1
1957-Q4,0.01599,corporate_land_share,JP,ratio,MOF assets land/total assets Q JP-only 1954Q2-2026Q1
1958-Q1,0.017398,corporate_land_share,JP,ratio,MOF assets land/total assets Q JP-only 1954Q2-2026Q1
1958-Q2,0.016774,corporate_land_share,JP,ratio,MOF assets land/total assets Q JP-only 1954Q2-2026Q1
1958-Q3,0.016801,corporate_land_share,JP,ratio,MOF assets land/total assets Q JP-only 1954Q2-2026Q1
1958-Q4,0.017282,corporate_land_share,JP,ratio,MOF assets land/total assets Q JP-only 1954Q2-2026Q1
