quarter,value,variable,country,unit,source_note
2011-Q1,0.588003,corporate_leverage,CN,ratio,"NBS 规上工业 负债/资产(月末存量→季末) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2011-Q2,0.590974,corporate_leverage,CN,ratio,"NBS 规上工业 负债/资产(月末存量→季末) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2011-Q3,0.59063,corporate_leverage,CN,ratio,"NBS 规上工业 负债/资产(月末存量→季末) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2011-Q4,0.580589,corporate_leverage,CN,ratio,"NBS 规上工业 负债/资产(月末存量→季末) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2012-Q1,0.587376,corporate_leverage,CN,ratio,"NBS 规上工业 负债/资产(月末存量→季末) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2012-Q2,0.590494,corporate_leverage,CN,ratio,"NBS 规上工业 负债/资产(月末存量→季末) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2012-Q3,0.587999,corporate_leverage,CN,ratio,"NBS 规上工业 负债/资产(月末存量→季末) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2012-Q4,0.578359,corporate_leverage,CN,ratio,"NBS 规上工业 负债/资产(月末存量→季末) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2013-Q1,0.585391,corporate_leverage,CN,ratio,"NBS 规上工业 负债/资产(月末存量→季末) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2013-Q2,0.585688,corporate_leverage,CN,ratio,"NBS 规上工业 负债/资产(月末存量→季末) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2013-Q3,0.585961,corporate_leverage,CN,ratio,"NBS 规上工业 负债/资产(月末存量→季末) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2013-Q4,0.578055,corporate_leverage,CN,ratio,"NBS 规上工业 负债/资产(月末存量→季末) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2014-Q1,0.581462,corporate_leverage,CN,ratio,"NBS 规上工业 负债/资产(月末存量→季末) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2014-Q2,0.58184,corporate_leverage,CN,ratio,"NBS 规上工业 负债/资产(月末存量→季末) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2014-Q3,0.577984,corporate_leverage,CN,ratio,"NBS 规上工业 负债/资产(月末存量→季末) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2014-Q4,0.568353,corporate_leverage,CN,ratio,"NBS 规上工业 负债/资产(月末存量→季末) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2015-Q1,0.572009,corporate_leverage,CN,ratio,"NBS 规上工业 负债/资产(月末存量→季末) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2015-Q2,0.571848,corporate_leverage,CN,ratio,"NBS 规上工业 负债/资产(月末存量→季末) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2015-Q3,0.568228,corporate_leverage,CN,ratio,"NBS 规上工业 负债/资产(月末存量→季末) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2015-Q4,0.561706,corporate_leverage,CN,ratio,"NBS 规上工业 负债/资产(月末存量→季末) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2016-Q1,0.569375,corporate_leverage,CN,ratio,"NBS 规上工业 负债/资产(月末存量→季末) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2016-Q2,0.566342,corporate_leverage,CN,ratio,"NBS 规上工业 负债/资产(月末存量→季末) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2016-Q3,0.562525,corporate_leverage,CN,ratio,"NBS 规上工业 负债/资产(月末存量→季末) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2016-Q4,0.557929,corporate_leverage,CN,ratio,"NBS 规上工业 负债/资产(月末存量→季末) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2017-Q1,0.562161,corporate_leverage,CN,ratio,"NBS 规上工业 负债/资产(月末存量→季末) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2017-Q2,0.559423,corporate_leverage,CN,ratio,"NBS 规上工业 负债/资产(月末存量→季末) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2017-Q3,0.557333,corporate_leverage,CN,ratio,"NBS 规上工业 负债/资产(月末存量→季末) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2017-Q4,0.55479,corporate_leverage,CN,ratio,"NBS 规上工业 负债/资产(月末存量→季末) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2018-Q1,0.564469,corporate_leverage,CN,ratio,"NBS 规上工业 负债/资产(月末存量→季末) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2018-Q2,0.565955,corporate_leverage,CN,ratio,"NBS 规上工业 负债/资产(月末存量→季末) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2018-Q3,0.566547,corporate_leverage,CN,ratio,"NBS 规上工业 负债/资产(月末存量→季末) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2018-Q4,0.565307,corporate_leverage,CN,ratio,"NBS 规上工业 负债/资产(月末存量→季末) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2019-Q1,0.570316,corporate_leverage,CN,ratio,"NBS 规上工业 负债/资产(月末存量→季末) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2019-Q2,0.569567,corporate_leverage,CN,ratio,"NBS 规上工业 负债/资产(月末存量→季末) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2019-Q3,0.568678,corporate_leverage,CN,ratio,"NBS 规上工业 负债/资产(月末存量→季末) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2019-Q4,0.565691,corporate_leverage,CN,ratio,"NBS 规上工业 负债/资产(月末存量→季末) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2020-Q1,0.566153,corporate_leverage,CN,ratio,"NBS 规上工业 负债/资产(月末存量→季末) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2020-Q2,0.569433,corporate_leverage,CN,ratio,"NBS 规上工业 负债/资产(月末存量→季末) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2020-Q3,0.566845,corporate_leverage,CN,ratio,"NBS 规上工业 负债/资产(月末存量→季末) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2020-Q4,0.560595,corporate_leverage,CN,ratio,"NBS 规上工业 负债/资产(月末存量→季末) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2021-Q1,0.563124,corporate_leverage,CN,ratio,"NBS 规上工业 负债/资产(月末存量→季末) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2021-Q2,0.56517,corporate_leverage,CN,ratio,"NBS 规上工业 负债/资产(月末存量→季末) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2021-Q3,0.563352,corporate_leverage,CN,ratio,"NBS 规上工业 负债/资产(月末存量→季末) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2021-Q4,0.560762,corporate_leverage,CN,ratio,"NBS 规上工业 负债/资产(月末存量→季末) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2022-Q1,0.564802,corporate_leverage,CN,ratio,"NBS 规上工业 负债/资产(月末存量→季末) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2022-Q2,0.568945,corporate_leverage,CN,ratio,"NBS 规上工业 负债/资产(月末存量→季末) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2022-Q3,0.568046,corporate_leverage,CN,ratio,"NBS 规上工业 负债/资产(月末存量→季末) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2022-Q4,0.565588,corporate_leverage,CN,ratio,"NBS 规上工业 负债/资产(月末存量→季末) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2023-Q1,0.57113,corporate_leverage,CN,ratio,"NBS 规上工业 负债/资产(月末存量→季末) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2023-Q2,0.575605,corporate_leverage,CN,ratio,"NBS 规上工业 负债/资产(月末存量→季末) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2023-Q3,0.575591,corporate_leverage,CN,ratio,"NBS 规上工业 负债/资产(月末存量→季末) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2023-Q4,0.571063,corporate_leverage,CN,ratio,"NBS 规上工业 负债/资产(月末存量→季末) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2024-Q1,0.572607,corporate_leverage,CN,ratio,"NBS 规上工业 负债/资产(月末存量→季末) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2024-Q2,0.575843,corporate_leverage,CN,ratio,"NBS 规上工业 负债/资产(月末存量→季末) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2024-Q3,0.57719,corporate_leverage,CN,ratio,"NBS 规上工业 负债/资产(月末存量→季末) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2024-Q4,0.575281,corporate_leverage,CN,ratio,"NBS 规上工业 负债/资产(月末存量→季末) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2025-Q1,0.576714,corporate_leverage,CN,ratio,"NBS 规上工业 负债/资产(月末存量→季末) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2025-Q2,0.578575,corporate_leverage,CN,ratio,"NBS 规上工业 负债/资产(月末存量→季末) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2025-Q3,0.579577,corporate_leverage,CN,ratio,"NBS 规上工业 负债/资产(月末存量→季末) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2025-Q4,0.576324,corporate_leverage,CN,ratio,"NBS 规上工业 负债/资产(月末存量→季末) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2026-Q1,0.578409,corporate_leverage,CN,ratio,"NBS 规上工业 负债/资产(月末存量→季末) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2026-Q2,0.583343,corporate_leverage,CN,ratio,"NBS 规上工业 负债/资产(月末存量→季末) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
