quarter,value,variable,country,unit,source_note
2001-Q1,0.602792,corporate_leverage,CN,ratio,NBS 规模以上工业企业主要经济指标 月度本月末存量→季度末取值 资产负债率=负债合计/资产总计 全国 连续段2011Q1-2026Q2(2007-2010 GAP;2011规模以上口径调整500万→2000万) 源:data.stats.gov.cn /stream/esData; 前导稀疏点(2007-2010 库内 GAP)仅作 extended 参考不进主窗
2001-Q2,0.60453,corporate_leverage,CN,ratio,NBS 规模以上工业企业主要经济指标 月度本月末存量→季度末取值 资产负债率=负债合计/资产总计 全国 连续段2011Q1-2026Q2(2007-2010 GAP;2011规模以上口径调整500万→2000万) 源:data.stats.gov.cn /stream/esData; 前导稀疏点(2007-2010 库内 GAP)仅作 extended 参考不进主窗
2001-Q3,0.603294,corporate_leverage,CN,ratio,NBS 规模以上工业企业主要经济指标 月度本月末存量→季度末取值 资产负债率=负债合计/资产总计 全国 连续段2011Q1-2026Q2(2007-2010 GAP;2011规模以上口径调整500万→2000万) 源:data.stats.gov.cn /stream/esData; 前导稀疏点(2007-2010 库内 GAP)仅作 extended 参考不进主窗
2001-Q4,0.593571,corporate_leverage,CN,ratio,NBS 规模以上工业企业主要经济指标 月度本月末存量→季度末取值 资产负债率=负债合计/资产总计 全国 连续段2011Q1-2026Q2(2007-2010 GAP;2011规模以上口径调整500万→2000万) 源:data.stats.gov.cn /stream/esData; 前导稀疏点(2007-2010 库内 GAP)仅作 extended 参考不进主窗
2002-Q1,0.592411,corporate_leverage,CN,ratio,NBS 规模以上工业企业主要经济指标 月度本月末存量→季度末取值 资产负债率=负债合计/资产总计 全国 连续段2011Q1-2026Q2(2007-2010 GAP;2011规模以上口径调整500万→2000万) 源:data.stats.gov.cn /stream/esData; 前导稀疏点(2007-2010 库内 GAP)仅作 extended 参考不进主窗
2002-Q2,0.593983,corporate_leverage,CN,ratio,NBS 规模以上工业企业主要经济指标 月度本月末存量→季度末取值 资产负债率=负债合计/资产总计 全国 连续段2011Q1-2026Q2(2007-2010 GAP;2011规模以上口径调整500万→2000万) 源:data.stats.gov.cn /stream/esData; 前导稀疏点(2007-2010 库内 GAP)仅作 extended 参考不进主窗
2002-Q3,0.591468,corporate_leverage,CN,ratio,NBS 规模以上工业企业主要经济指标 月度本月末存量→季度末取值 资产负债率=负债合计/资产总计 全国 连续段2011Q1-2026Q2(2007-2010 GAP;2011规模以上口径调整500万→2000万) 源:data.stats.gov.cn /stream/esData; 前导稀疏点(2007-2010 库内 GAP)仅作 extended 参考不进主窗
2002-Q4,0.587112,corporate_leverage,CN,ratio,NBS 规模以上工业企业主要经济指标 月度本月末存量→季度末取值 资产负债率=负债合计/资产总计 全国 连续段2011Q1-2026Q2(2007-2010 GAP;2011规模以上口径调整500万→2000万) 源:data.stats.gov.cn /stream/esData; 前导稀疏点(2007-2010 库内 GAP)仅作 extended 参考不进主窗
2003-Q1,0.58564,corporate_leverage,CN,ratio,NBS 规模以上工业企业主要经济指标 月度本月末存量→季度末取值 资产负债率=负债合计/资产总计 全国 连续段2011Q1-2026Q2(2007-2010 GAP;2011规模以上口径调整500万→2000万) 源:data.stats.gov.cn /stream/esData; 前导稀疏点(2007-2010 库内 GAP)仅作 extended 参考不进主窗
2003-Q2,0.590949,corporate_leverage,CN,ratio,NBS 规模以上工业企业主要经济指标 月度本月末存量→季度末取值 资产负债率=负债合计/资产总计 全国 连续段2011Q1-2026Q2(2007-2010 GAP;2011规模以上口径调整500万→2000万) 源:data.stats.gov.cn /stream/esData; 前导稀疏点(2007-2010 库内 GAP)仅作 extended 参考不进主窗
2003-Q3,0.591861,corporate_leverage,CN,ratio,NBS 规模以上工业企业主要经济指标 月度本月末存量→季度末取值 资产负债率=负债合计/资产总计 全国 连续段2011Q1-2026Q2(2007-2010 GAP;2011规模以上口径调整500万→2000万) 源:data.stats.gov.cn /stream/esData; 前导稀疏点(2007-2010 库内 GAP)仅作 extended 参考不进主窗
2003-Q4,0.590493,corporate_leverage,CN,ratio,NBS 规模以上工业企业主要经济指标 月度本月末存量→季度末取值 资产负债率=负债合计/资产总计 全国 连续段2011Q1-2026Q2(2007-2010 GAP;2011规模以上口径调整500万→2000万) 源:data.stats.gov.cn /stream/esData; 前导稀疏点(2007-2010 库内 GAP)仅作 extended 参考不进主窗
2004-Q1,0.587957,corporate_leverage,CN,ratio,NBS 规模以上工业企业主要经济指标 月度本月末存量→季度末取值 资产负债率=负债合计/资产总计 全国 连续段2011Q1-2026Q2(2007-2010 GAP;2011规模以上口径调整500万→2000万) 源:data.stats.gov.cn /stream/esData; 前导稀疏点(2007-2010 库内 GAP)仅作 extended 参考不进主窗
2004-Q2,0.59167,corporate_leverage,CN,ratio,NBS 规模以上工业企业主要经济指标 月度本月末存量→季度末取值 资产负债率=负债合计/资产总计 全国 连续段2011Q1-2026Q2(2007-2010 GAP;2011规模以上口径调整500万→2000万) 源:data.stats.gov.cn /stream/esData; 前导稀疏点(2007-2010 库内 GAP)仅作 extended 参考不进主窗
2004-Q3,0.593584,corporate_leverage,CN,ratio,NBS 规模以上工业企业主要经济指标 月度本月末存量→季度末取值 资产负债率=负债合计/资产总计 全国 连续段2011Q1-2026Q2(2007-2010 GAP;2011规模以上口径调整500万→2000万) 源:data.stats.gov.cn /stream/esData; 前导稀疏点(2007-2010 库内 GAP)仅作 extended 参考不进主窗
2004-Q4,0.591665,corporate_leverage,CN,ratio,NBS 规模以上工业企业主要经济指标 月度本月末存量→季度末取值 资产负债率=负债合计/资产总计 全国 连续段2011Q1-2026Q2(2007-2010 GAP;2011规模以上口径调整500万→2000万) 源:data.stats.gov.cn /stream/esData; 前导稀疏点(2007-2010 库内 GAP)仅作 extended 参考不进主窗
2005-Q1,0.580112,corporate_leverage,CN,ratio,NBS 规模以上工业企业主要经济指标 月度本月末存量→季度末取值 资产负债率=负债合计/资产总计 全国 连续段2011Q1-2026Q2(2007-2010 GAP;2011规模以上口径调整500万→2000万) 源:data.stats.gov.cn /stream/esData; 前导稀疏点(2007-2010 库内 GAP)仅作 extended 参考不进主窗
2005-Q2,0.58616,corporate_leverage,CN,ratio,NBS 规模以上工业企业主要经济指标 月度本月末存量→季度末取值 资产负债率=负债合计/资产总计 全国 连续段2011Q1-2026Q2(2007-2010 GAP;2011规模以上口径调整500万→2000万) 源:data.stats.gov.cn /stream/esData; 前导稀疏点(2007-2010 库内 GAP)仅作 extended 参考不进主窗
2005-Q3,0.586864,corporate_leverage,CN,ratio,NBS 规模以上工业企业主要经济指标 月度本月末存量→季度末取值 资产负债率=负债合计/资产总计 全国 连续段2011Q1-2026Q2(2007-2010 GAP;2011规模以上口径调整500万→2000万) 源:data.stats.gov.cn /stream/esData; 前导稀疏点(2007-2010 库内 GAP)仅作 extended 参考不进主窗
2005-Q4,0.582509,corporate_leverage,CN,ratio,NBS 规模以上工业企业主要经济指标 月度本月末存量→季度末取值 资产负债率=负债合计/资产总计 全国 连续段2011Q1-2026Q2(2007-2010 GAP;2011规模以上口径调整500万→2000万) 源:data.stats.gov.cn /stream/esData; 前导稀疏点(2007-2010 库内 GAP)仅作 extended 参考不进主窗
2006-Q1,0.580236,corporate_leverage,CN,ratio,NBS 规模以上工业企业主要经济指标 月度本月末存量→季度末取值 资产负债率=负债合计/资产总计 全国 连续段2011Q1-2026Q2(2007-2010 GAP;2011规模以上口径调整500万→2000万) 源:data.stats.gov.cn /stream/esData; 前导稀疏点(2007-2010 库内 GAP)仅作 extended 参考不进主窗
2006-Q2,0.587543,corporate_leverage,CN,ratio,NBS 规模以上工业企业主要经济指标 月度本月末存量→季度末取值 资产负债率=负债合计/资产总计 全国 连续段2011Q1-2026Q2(2007-2010 GAP;2011规模以上口径调整500万→2000万) 源:data.stats.gov.cn /stream/esData; 前导稀疏点(2007-2010 库内 GAP)仅作 extended 参考不进主窗
2006-Q3,0.586793,corporate_leverage,CN,ratio,NBS 规模以上工业企业主要经济指标 月度本月末存量→季度末取值 资产负债率=负债合计/资产总计 全国 连续段2011Q1-2026Q2(2007-2010 GAP;2011规模以上口径调整500万→2000万) 源:data.stats.gov.cn /stream/esData; 前导稀疏点(2007-2010 库内 GAP)仅作 extended 参考不进主窗
2006-Q4,0.577677,corporate_leverage,CN,ratio,NBS 规模以上工业企业主要经济指标 月度本月末存量→季度末取值 资产负债率=负债合计/资产总计 全国 连续段2011Q1-2026Q2(2007-2010 GAP;2011规模以上口径调整500万→2000万) 源:data.stats.gov.cn /stream/esData; 前导稀疏点(2007-2010 库内 GAP)仅作 extended 参考不进主窗
