quarter,value,variable,country,unit,source_note
1954-Q2,0.959945,mof_interest_burden,JP,ratio,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1954-Q3,1.381093,mof_interest_burden,JP,ratio,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1954-Q4,1.271378,mof_interest_burden,JP,ratio,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1955-Q1,1.179913,mof_interest_burden,JP,ratio,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1955-Q2,0.934827,mof_interest_burden,JP,ratio,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1955-Q3,0.979267,mof_interest_burden,JP,ratio,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1955-Q4,0.789494,mof_interest_burden,JP,ratio,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1956-Q1,0.824506,mof_interest_burden,JP,ratio,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1956-Q2,0.566487,mof_interest_burden,JP,ratio,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1956-Q3,0.687751,mof_interest_burden,JP,ratio,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1956-Q4,0.548806,mof_interest_burden,JP,ratio,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1957-Q1,0.682767,mof_interest_burden,JP,ratio,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1957-Q2,0.533502,mof_interest_burden,JP,ratio,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1957-Q3,0.967749,mof_interest_burden,JP,ratio,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1957-Q4,0.982555,mof_interest_burden,JP,ratio,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1958-Q1,1.259961,mof_interest_burden,JP,ratio,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1958-Q2,1.222416,mof_interest_burden,JP,ratio,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1958-Q3,1.386071,mof_interest_burden,JP,ratio,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1958-Q4,1.103171,mof_interest_burden,JP,ratio,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1959-Q1,0.953703,mof_interest_burden,JP,ratio,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1959-Q2,0.759701,mof_interest_burden,JP,ratio,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1959-Q3,0.883753,mof_interest_burden,JP,ratio,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1959-Q4,0.695428,mof_interest_burden,JP,ratio,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1960-Q1,0.734059,mof_interest_burden,JP,ratio,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1960-Q2,0.676464,mof_interest_burden,JP,ratio,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1960-Q3,0.774043,mof_interest_burden,JP,ratio,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1960-Q4,0.676892,mof_interest_burden,JP,ratio,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1961-Q1,0.742148,mof_interest_burden,JP,ratio,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1961-Q2,0.683831,mof_interest_burden,JP,ratio,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1961-Q3,0.792346,mof_interest_burden,JP,ratio,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1961-Q4,0.817077,mof_interest_burden,JP,ratio,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1962-Q1,0.90316,mof_interest_burden,JP,ratio,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1962-Q2,0.897576,mof_interest_burden,JP,ratio,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1962-Q3,1.069273,mof_interest_burden,JP,ratio,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1962-Q4,1.128667,mof_interest_burden,JP,ratio,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1963-Q1,0.965905,mof_interest_burden,JP,ratio,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1963-Q2,0.919225,mof_interest_burden,JP,ratio,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1963-Q3,0.991794,mof_interest_burden,JP,ratio,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1963-Q4,0.96225,mof_interest_burden,JP,ratio,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1964-Q1,1.0456,mof_interest_burden,JP,ratio,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1964-Q2,0.998959,mof_interest_burden,JP,ratio,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1964-Q3,1.159045,mof_interest_burden,JP,ratio,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1964-Q4,1.222732,mof_interest_burden,JP,ratio,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1965-Q1,1.185652,mof_interest_burden,JP,ratio,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1965-Q2,1.321637,mof_interest_burden,JP,ratio,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1965-Q3,1.589516,mof_interest_burden,JP,ratio,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1965-Q4,1.451896,mof_interest_burden,JP,ratio,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1966-Q1,1.222142,mof_interest_burden,JP,ratio,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1966-Q2,0.994583,mof_interest_burden,JP,ratio,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1966-Q3,1.138908,mof_interest_burden,JP,ratio,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
