quarter,value,country,variable
2006-Q1,99.4,CN,nfc_credit_gdp
2006-Q2,100.9,CN,nfc_credit_gdp
2006-Q3,99.6,CN,nfc_credit_gdp
2006-Q4,97.7,CN,nfc_credit_gdp
2007-Q1,92.4,CN,nfc_credit_gdp
2007-Q2,92.4,CN,nfc_credit_gdp
2007-Q3,91.2,CN,nfc_credit_gdp
2007-Q4,88.8,CN,nfc_credit_gdp
2008-Q1,89.3,CN,nfc_credit_gdp
2008-Q2,88.7,CN,nfc_credit_gdp
2008-Q3,88.4,CN,nfc_credit_gdp
2008-Q4,88.4,CN,nfc_credit_gdp
2009-Q1,99.4,CN,nfc_credit_gdp
2009-Q2,106.9,CN,nfc_credit_gdp
2009-Q3,109.3,CN,nfc_credit_gdp
2009-Q4,109.9,CN,nfc_credit_gdp
2010-Q1,110.8,CN,nfc_credit_gdp
2010-Q2,111.8,CN,nfc_credit_gdp
2010-Q3,111.3,CN,nfc_credit_gdp
2010-Q4,110.7,CN,nfc_credit_gdp
2011-Q1,110.7,CN,nfc_credit_gdp
2011-Q2,110.2,CN,nfc_credit_gdp
2011-Q3,109.0,CN,nfc_credit_gdp
2011-Q4,110.2,CN,nfc_credit_gdp
2012-Q1,113.1,CN,nfc_credit_gdp
2012-Q2,115.2,CN,nfc_credit_gdp
2012-Q3,117.6,CN,nfc_credit_gdp
2012-Q4,120.0,CN,nfc_credit_gdp
2013-Q1,124.8,CN,nfc_credit_gdp
2013-Q2,126.6,CN,nfc_credit_gdp
2013-Q3,128.6,CN,nfc_credit_gdp
2013-Q4,129.2,CN,nfc_credit_gdp
2014-Q1,132.7,CN,nfc_credit_gdp
2014-Q2,135.1,CN,nfc_credit_gdp
2014-Q3,135.2,CN,nfc_credit_gdp
2014-Q4,136.8,CN,nfc_credit_gdp
2015-Q1,140.3,CN,nfc_credit_gdp
2015-Q2,142.2,CN,nfc_credit_gdp
2015-Q3,144.5,CN,nfc_credit_gdp
2015-Q4,148.6,CN,nfc_credit_gdp
2016-Q1,151.8,CN,nfc_credit_gdp
2016-Q2,149.1,CN,nfc_credit_gdp
2016-Q3,146.5,CN,nfc_credit_gdp
2016-Q4,145.1,CN,nfc_credit_gdp
2017-Q1,144.5,CN,nfc_credit_gdp
2017-Q2,141.0,CN,nfc_credit_gdp
2017-Q3,138.1,CN,nfc_credit_gdp
2017-Q4,135.2,CN,nfc_credit_gdp
2018-Q1,134.6,CN,nfc_credit_gdp
2018-Q2,132.0,CN,nfc_credit_gdp
2018-Q3,129.1,CN,nfc_credit_gdp
2018-Q4,126.7,CN,nfc_credit_gdp
2019-Q1,128.9,CN,nfc_credit_gdp
2019-Q2,127.5,CN,nfc_credit_gdp
2019-Q3,126.7,CN,nfc_credit_gdp
2019-Q4,125.5,CN,nfc_credit_gdp
