quarter,value,variable,country,unit,source_note
2000-Q1,13915500.0,property_sales_area,CN,m2,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售面积 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2000-Q2,26816500.0,property_sales_area,CN,m2,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售面积 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2000-Q3,30155000.0,property_sales_area,CN,m2,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售面积 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2000-Q4,98954000.0,property_sales_area,CN,m2,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售面积 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2001-Q1,18287200.0,property_sales_area,CN,m2,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售面积 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2001-Q2,32978500.0,property_sales_area,CN,m2,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售面积 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2001-Q3,38507000.0,property_sales_area,CN,m2,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售面积 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2001-Q4,118019700.0,property_sales_area,CN,m2,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售面积 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2002-Q1,21526600.0,property_sales_area,CN,m2,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售面积 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2002-Q2,41271899.99999999,property_sales_area,CN,m2,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售面积 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
