year,value
2000,-0.8544750296942212
2001,0.46030367488266766
2002,1.0991595273152832
2003,1.5780101340362371
2004,0.8855600907048711
2005,2.3287818110124583
2006,3.489072921603398
2007,5.021357510337488
2008,1.725900235765339
2009,3.2354305048285212
2010,1.1713414894489258
2011,0.7441322453479042
2012,-0.5397687330052134
2013,-0.6191141039354511
2014,-1.074570811000454
2015,-1.5515422528878844
2016,-1.5633548833238988
2017,-1.729637203521179
2018,-1.9404224505426981
2019,-2.1023542959748625
2020,0.750934551832747
2021,1.325570710662447
2022,-2.076505262495207
2023,-3.1022190600901505
2024,-3.3248573036584403
2025,-3.3367340176487
