year,value
1971,0.6113164226575627
1972,0.2615129336546145
1973,0.22944810335378882
1974,-0.5148881080198213
1975,-1.1738476349290665
1976,-0.6274513828219174
1977,-0.5828415667343076
1978,-0.38966305525465766
1979,-0.48979551134243293
1980,-0.30873238562486227
1981,-0.31127345109820714
1982,0.14021362449407976
1983,0.16472062583604896
1984,-0.01026346259000449
1985,-0.37302935917948393
1986,-0.2606586577187149
1987,-0.07621876234561742
1988,-0.10333043210100151
1989,-0.3722729652045669
1990,0.06013694806177333
1991,0.21183665053180167
1992,0.18262659749115706
1993,0.0897792262309412
1994,0.6354652588706415
1995,-0.1562353215243742
1996,0.3295395917860231
1997,0.015227362933412425
1998,0.35759588258842745
1999,0.029804503961571804
2000,0.29534500702125904
2001,0.08378733110243841
2002,0.1737136970585863
2003,-0.052613693229715264
2004,0.0978477299428806
2005,-0.18694770545529535
2006,0.49806732819366206
2007,0.10008554068895387
2008,0.3816366625193732
2009,0.2010074830957363
2010,0.1969588798801876
2011,0.03901717343489203
2012,0.15877753031882952
2013,0.25381739840035394
2014,0.04409930438158177
2015,0.24553889291449107
2016,0.05730308492071712
2017,0.03440561016845048
2018,0.039982708601032674
2019,-0.1388835740260056
2020,0.21572188051134367
2021,-0.11093226037146356
2022,-0.10478962013987994
2023,-0.0451264385839758
2024,-0.04654162731124328
