year,value
1970,12.906965040347966
1971,11.637484186602922
1972,-8.870065535782976
1973,-2.9370190541305234
1974,59.561326386206936
1975,3.985330447591777
1976,7.742620669694521
1977,0.10644378927393738
1978,-14.184720158901808
1979,0.4594137319965501
1980,28.98320276583245
1981,12.24294162407441
1982,6.122960201039917
1983,-2.5693204099145754
1984,4.411043994274589
1985,-3.510307486802933
1986,-22.2618959166675
1987,-13.452623685648618
1988,-8.569488377902683
1989,3.960866712562673
1990,5.218091408158342
1991,2.7164954726323574
1992,-0.7065608703273929
1993,-8.097311232811276
1994,-6.009354684362639
1995,-3.400451120774914
1996,0.39771034004696926
1997,5.202433969962955
1998,-5.208478706518791
1999,-13.399138491256174
2000,-1.9318631046677144
2001,-7.314575372299951
2002,3.2933776707352367
2003,-0.9254194700079026
2004,1.8088606647741639
2005,-1.545839656019706
2006,4.296538039139779
2007,1.4256887005992382
2008,-5.812164859384129
2009,-24.096942446285063
2010,14.006114977922147
2011,-9.154230761205785
2012,-7.265094815264621
2013,4.460319361900664
2014,-1.1636251589785553
2015,-2.334007353312134
2016,-12.03836817054779
2017,4.936240623861389
2018,-2.234959378138732
2019,-9.878320888615653
2020,-3.2142225762000765
2021,-1.7886606209728484
2022,5.0028831971729275
2023,-2.1432042317698334
2024,1.1328806190684206
