year,value
1970,7.282083527869414
1971,5.940977096609643
1972,5.482504267316077
1973,7.541343157453749
1974,6.968441551107244
1975,4.909884275171095
1976,2.6217750265607265
1977,1.8926351561955883
1978,2.092101864397108
1979,3.36054691758002
1980,3.794650215059395
1981,2.7978798889237453
1982,2.0166208225597693
1983,0.0444378442405835
1984,-0.7482918697910499
1985,-0.7249051185478308
1986,-0.8431961390635117
1987,0.12610480809764724
1988,1.2403232921499558
1989,2.372230960633729
1990,3.7525047367902467
1991,3.7823937190932035
1992,2.6394782227989353
1993,1.7570012220198556
1994,0.501612006297318
1995,0.3881717395438997
1996,1.2824529063207741
1997,0.2912829374357031
1998,-1.1988034678269734
1999,-2.109056978037131
2000,-2.8015326249482655
2001,-1.2508361569403128
2002,-2.2599425946616734
2003,-2.4734022223811998
2004,-2.940124469058013
2005,-2.2190397350301296
2006,-2.3719659550177177
2007,-3.1139615164569356
2008,-3.0550203341285744
2009,-3.2049906226387073
2010,-5.37922797826872
2011,-4.155387813027911
2012,-3.5693447004180854
2013,-3.04548859691549
2014,-3.2245336309525676
2015,-3.611372261132871
2016,-3.5539375804029056
2017,-3.7061166078740584
2018,-3.7068749814539252
2019,-3.553610368338145
2020,2.0202102723541664
2021,-0.9887409380893928
2022,-1.03146933426477
2023,-6.058473838912178
