year,value
1970,11.177695921138476
1971,12.85201541675054
1972,17.512384520632562
1973,13.032053111456579
1974,6.6800804835186565
1975,9.014754429727027
1976,6.4660933240396865
1977,4.083240113827305
1978,4.211229684201747
1979,4.344900860619399
1980,4.124844363518559
1981,3.7269494122380404
1982,5.590188902161395
1983,1.4659635395275954
1984,-0.33372808634703066
1985,1.3474273889952784
1986,2.0049051396336406
1987,3.239718580147464
1988,3.276112258143195
1989,2.902801163866293
1990,5.650248218455895
1991,-0.8101831723587543
1992,-4.756937195131667
1993,-4.071947954489033
1994,-4.717901437256369
1995,-3.4927810939506947
1996,-3.688693003423592
1997,-4.315865863637621
1998,-1.7401227823888243
1999,-3.255707413323277
2000,-5.863741920280927
2001,-2.5433719082221176
2002,-2.317841167190759
2003,-5.079162313971993
2004,-6.1460742651305305
2005,-5.630331092126939
2006,-6.878843050977475
2007,-6.2564503460979095
2008,-3.3036801522188077
2009,0.8900585418949527
2010,-5.152957491105516
2011,-3.9254073237455316
2012,-3.5666714579211796
2013,-2.617858979395315
2014,-3.098255339269462
2015,-2.7753899398169515
2016,-2.6401212881988534
2017,-2.653203379199871
2018,-4.103682773208568
2019,-3.9776986766137323
2020,6.22312285243688
2021,-3.394620945054773
2022,-2.8285019073821083
2023,-4.294681113856244
2024,-4.531067975676714
2025,-5.053305417961837
