year,value
1970,7.322399953802513
1971,1.0574790120681472
1972,3.5365645594662602
1973,2.1608082098766186
1974,-2.2670879082433855
1975,3.3230028344196265
1976,-0.5594871450592915
1977,1.2399800132385534
1978,1.9100043581111246
1979,2.11780015890517
1980,1.9667010366610986
1981,2.2406200437866044
1982,3.72513070024956
1983,0.6474744410218551
1984,-0.08384790124142238
1985,1.5581834464508706
1986,0.4333412937084402
1987,1.213970936740207
1988,2.4087821867279215
1989,2.00897165273949
1990,3.2669662400642308
1991,3.585059570053921
1992,-0.09699232514125167
1993,-0.5854800010638439
1994,-1.9376228962219963
1995,-0.8538066529502499
1996,2.2838238698035624
1997,-1.6161295523035684
1998,-4.404474078628298
1999,-2.555118311524099
2000,-2.911479000560342
2001,-0.8119117542267367
2002,-1.3432384072071442
2003,-0.7957017397949002
2004,-1.647553779732374
2005,-1.4325281134246677
2006,-2.2224493076730054
2007,-1.9587321186034972
2008,-2.3088976764207345
2009,-3.3816053091897706
2010,0.35516431095097367
2011,-2.6568787961839226
2012,-0.2023127512013605
2013,0.009467447104882343
2014,-1.4968949697307306
2015,-0.4197501874210092
2016,-1.2354448224936598
2017,-0.9893246862558316
2018,-1.5875070550111579
2019,-2.0980026477434452
2020,1.1460361735639042
2021,-0.9847671290199571
2022,-0.16126904454393798
2023,-1.090202525443546
2024,-1.9462961329675261
2025,-0.8749377222887125
