year,value
1994,51.033244809956344
1995,52.985492600004534
1996,24.55501000255805
1997,15.32738424617925
1998,15.709221452410219
1999,32.03565853904563
2000,39.95520110417934
2001,23.867069301110647
2002,14.342320128533544
2003,14.439095618565418
2004,14.816985962049174
2005,6.437190999228335
2006,-6.076379944108027
2007,-15.976877716568666
2008,-6.798590528005889
2009,9.088160970520391
2010,6.69362574093941
2011,8.991633301371323
2012,7.654482687532592
2013,-18.609239252228804
2014,-24.667811003028675
2015,-31.13783935079995
2016,-18.92434622826906
2017,-24.246016002660795
2018,-25.14302049765847
2019,-21.978694926723705
2020,12.62702053425049
2021,-1.1262202534247479
2022,-11.500800280825786
2023,-45.75503083263567
2024,-49.81963573369667
2025,-48.798295447800115
