year,value
1970,-61.481729504295785
1971,-58.359633977041824
1972,-51.723396023004874
1973,-44.25985240318269
1974,-48.6702739692789
1975,-47.798526801900536
1976,-31.888260435389235
1977,-31.53646211354095
1978,-28.270951045146695
1979,-24.73423211663419
1980,-26.807950532956763
1981,-23.484011022808883
1982,-24.576104063816253
1983,-17.13638453599343
1984,-9.161506549297606
1985,-9.835350743261507
1986,-9.725029027232477
1987,-7.418055205833092
1988,-2.2194582066146715
1989,-0.19808249731101668
1990,1.5577933629701768
1991,0.5330478972453534
1992,3.6454102464075717
1993,3.22689727339872
1994,9.00006352116868
1995,11.277232566213808
1996,14.556500849359914
1997,18.26540401968529
1998,14.06015287311806
1999,15.21750132566822
2000,19.65396024517709
2001,13.111848649179528
2002,12.699694440437938
2003,17.027299955042817
2004,22.498805885388094
2005,22.159922170346857
2006,24.482649569696303
2007,24.018769382624118
2008,18.075116098097556
2009,1.6136751110956533
2010,20.531039067950115
2011,19.576838153074462
2012,17.408880436300315
2013,17.641143447878424
2014,20.231865799445355
2015,20.30019522991028
2016,20.139799627373783
2017,23.086353282602094
2018,24.202864669794675
2019,22.838409597741705
2020,-15.397983310683104
2021,10.82469037860156
2022,4.573292932081433
2023,25.397436048598845
2024,28.198676749723735
2025,33.050003221824554
