year,value
1999,-3.9750289289543694
2000,-2.1645905262267107
2001,-1.5092349886698067
2002,0.6599688234580494
2003,5.325999936832133
2004,5.129301646021688
2005,6.1654102148805325
2006,6.511803357419463
2007,5.782525403630073
2008,-0.8002243223685532
2009,3.606088511126723
2010,0.9913969368758497
2011,1.4959989309335988
2012,0.4036300453082333
2013,1.0033065022792975
2014,-0.7330691048459812
2015,-3.6600386992869165
2016,-3.067715524778489
2017,-1.8227991784316036
2018,-3.7513057402139856
2019,-3.092557308816281
2020,2.722909650688929
2021,0.6422945158491036
2022,-3.3652041665380286
2023,-4.875284947757475
2024,-3.321713861484743
2025,-4.301867176930648
