year,value
1991,8.260379541916812
1992,13.656009858722715
1994,18.03453727563113
1995,12.722506623817264
1996,8.982474170815443
1997,1.5689492775853786
1998,-1.8712455766544291
1999,-1.319224455374851
2000,-2.9592918283608842
2001,-2.936920744282185
2002,-0.28269953990503893
2003,3.0148433341300453
2004,-0.8460963493078673
2005,1.6008541848214701
2006,1.3521349901926225
2007,1.2226212066930202
2008,0.7148351087838805
2009,7.575752862603768
2010,4.440994408140204
2011,-2.67931886565653
2012,-3.1229146275642385
2013,-3.3416600954217284
2014,-4.50187393487694
2015,-3.3662802829401386
2016,-5.6826549138715095
2017,-8.349275993668403
2018,-8.429282117480566
2019,-8.389852578627213
2020,-4.603539976235114
2021,2.134295528123811
2022,2.4692444481113363
2023,-7.193094841480995
2024,-9.595029340249624
2025,-8.280176758130413
