year,value
2000,-1.9104694119435877
2001,-0.30455938033775354
2002,0.011501108256101844
2003,1.1332755844862792
2004,1.095760724961334
2005,3.0807707528993156
2006,4.126186502533368
2007,4.921364612751574
2008,-0.16065568269892871
2009,2.4582233127122706
2010,0.24963915963598993
2011,-0.11803536406547721
2012,-0.2313037710975694
2013,0.2191990436504696
2014,-0.3022099353865535
2015,-1.1656597665265025
2016,-0.9521905715849082
2017,-0.5406059384005308
2018,-1.5917111299726887
2019,-1.3922811092416527
2020,1.4496278662430013
2021,1.0449103372399353
2022,-2.494538203482943
2023,-2.672549045630819
2024,-2.6994462782262287
2025,-3.2542434167735372
